Source,Target,Weight,Type
Anonym_Enfant,Cazotte_Diable,2,undirected
Anonym_Enfant,Diderot_Religieuse,1,undirected
Anonym_Enfant,Genlis_Chevaliers,2,undirected
Anonym_Enfant,Marmontel_Dejeunes,5,undirected
Anonym_Enfant,Mirabeau_Conversion,5,undirected
Anonym_Enfant,Mirabeau_Rideau,60,undirected
Anonym_Enfant,Nerciat_Etourdi,21,undirected
Anonym_Enfant,Nerciat_Felicia,18,undirected
Anonym_Enfant,PigaultLebrun_Enfant,95,undirected
Anonym_Enfant,Retif_AntiJustine,65,undirected
Anonym_Enfant,Retif_Sara,5,undirected
Arnaud_Adelson,Arnaud_Anne,4,undirected
Arnaud_Adelson,Arnaud_Batilde,4,undirected
Arnaud_Adelson,Arnaud_Epoux,54,undirected
Arnaud_Adelson,Arnaud_Fanny,20,undirected
Arnaud_Adelson,Arnaud_Lucie,21,undirected
Arnaud_Adelson,Arnaud_Matinees,35,undirected
Arnaud_Adelson,Arnaud_Nancy,10,undirected
Arnaud_Adelson,Arnaud_Sargines,5,undirected
Arnaud_Adelson,Arnaud_Selicourt,27,undirected
Arnaud_Anne,Arnaud_Adelson,4,undirected
Arnaud_Anne,Arnaud_Clary,12,undirected
Arnaud_Anne,Arnaud_Epoux,49,undirected
Arnaud_Anne,Arnaud_Fanny,71,undirected
Arnaud_Anne,Arnaud_Julie,44,undirected
Arnaud_Anne,Arnaud_Lucie,26,undirected
Arnaud_Anne,Arnaud_Nancy,49,undirected
Arnaud_Anne,Arnaud_Sargines,18,undirected
Arnaud_Anne,Arnaud_Sidney,41,undirected
Arnaud_Anne,Arnaud_Zenothemis,23,undirected
Arnaud_Bal,Arnaud_Batilde,4,undirected
Arnaud_Bal,Arnaud_Epoux,48,undirected
Arnaud_Bal,Arnaud_Fanny,2,undirected
Arnaud_Bal,Arnaud_Lucie,13,undirected
Arnaud_Bal,Arnaud_Matinees,2,undirected
Arnaud_Bal,Arnaud_Selicourt,27,undirected
Arnaud_Batilde,Arnaud_Adelson,4,undirected
Arnaud_Batilde,Arnaud_Bal,4,undirected
Arnaud_Batilde,Arnaud_Epoux,41,undirected
Arnaud_Batilde,Arnaud_Lucie,46,undirected
Arnaud_Batilde,Arnaud_Sargines,1,undirected
Arnaud_Batilde,Arnaud_Selicourt,16,undirected
Arnaud_Batilde,Arnaud_Zenothemis,5,undirected
Arnaud_Clary,Arnaud_Anne,12,undirected
Arnaud_Clary,Arnaud_Epoux,50,undirected
Arnaud_Clary,Arnaud_Fanny,30,undirected
Arnaud_Clary,Arnaud_Julie,43,undirected
Arnaud_Clary,Arnaud_Sidney,19,undirected
Arnaud_Epoux,Arnaud_Adelson,54,undirected
Arnaud_Epoux,Arnaud_Anne,49,undirected
Arnaud_Epoux,Arnaud_Bal,48,undirected
Arnaud_Epoux,Arnaud_Batilde,41,undirected
Arnaud_Epoux,Arnaud_Clary,50,undirected
Arnaud_Epoux,Arnaud_Fanny,2,undirected
Arnaud_Epoux,Arnaud_Lucie,89,undirected
Arnaud_Epoux,Arnaud_Matinees,87,undirected
Arnaud_Epoux,Arnaud_Selicourt,30,undirected
Arnaud_Epoux,Arnaud_Sidney,50,undirected
Arnaud_Fanny,Arnaud_Adelson,20,undirected
Arnaud_Fanny,Arnaud_Anne,71,undirected
Arnaud_Fanny,Arnaud_Bal,2,undirected
Arnaud_Fanny,Arnaud_Clary,30,undirected
Arnaud_Fanny,Arnaud_Epoux,2,undirected
Arnaud_Fanny,Arnaud_Nancy,21,undirected
Arnaud_Fanny,Arnaud_Sargines,6,undirected
Arnaud_Fanny,Arnaud_Zenothemis,7,undirected
Arnaud_Julie,Arnaud_Anne,44,undirected
Arnaud_Julie,Arnaud_Clary,43,undirected
Arnaud_Julie,Arnaud_Nancy,3,undirected
Arnaud_Julie,Arnaud_Sidney,9,undirected
Arnaud_Julie,Arnaud_Zenothemis,4,undirected
Arnaud_Lucie,Arnaud_Adelson,21,undirected
Arnaud_Lucie,Arnaud_Anne,26,undirected
Arnaud_Lucie,Arnaud_Bal,13,undirected
Arnaud_Lucie,Arnaud_Batilde,46,undirected
Arnaud_Lucie,Arnaud_Epoux,89,undirected
Arnaud_Lucie,Arnaud_Selicourt,44,undirected
Arnaud_Matinees,Arnaud_Adelson,35,undirected
Arnaud_Matinees,Arnaud_Bal,2,undirected
Arnaud_Matinees,Arnaud_Epoux,87,undirected
Arnaud_Matinees,Arnaud_Nancy,23,undirected
Arnaud_Matinees,Arnaud_Sargines,18,undirected
Arnaud_Matinees,Arnaud_Selicourt,58,undirected
Arnaud_Matinees,Arnaud_Zenothemis,20,undirected
Arnaud_Matinees,Cazotte_Honneur,7,undirected
Arnaud_Nancy,Arnaud_Adelson,10,undirected
Arnaud_Nancy,Arnaud_Anne,49,undirected
Arnaud_Nancy,Arnaud_Fanny,21,undirected
Arnaud_Nancy,Arnaud_Julie,3,undirected
Arnaud_Nancy,Arnaud_Matinees,23,undirected
Arnaud_Sargines,Arnaud_Adelson,5,undirected
Arnaud_Sargines,Arnaud_Anne,18,undirected
Arnaud_Sargines,Arnaud_Batilde,1,undirected
Arnaud_Sargines,Arnaud_Fanny,6,undirected
Arnaud_Sargines,Arnaud_Matinees,18,undirected
Arnaud_Sargines,Arnaud_Zenothemis,48,undirected
Arnaud_Selicourt,Arnaud_Adelson,27,undirected
Arnaud_Selicourt,Arnaud_Bal,27,undirected
Arnaud_Selicourt,Arnaud_Batilde,16,undirected
Arnaud_Selicourt,Arnaud_Epoux,30,undirected
