Source,Target,Weight,Type
Anonym_Enfant,Mirabeau_Conversion,1,undirected
Anonym_Enfant,Mirabeau_Rideau,4,undirected
Anonym_Enfant,Nerciat_Etourdi,1,undirected
Anonym_Enfant,Nerciat_Felicia,1,undirected
Anonym_Enfant,PigaultLebrun_Enfant,6,undirected
Anonym_Enfant,Retif_AntiJustine,4,undirected
Anonym_Enfant,Retif_Sara,1,undirected
Arnaud_Adelson,Arnaud_Epoux,3,undirected
Arnaud_Adelson,Arnaud_Lucie,2,undirected
Arnaud_Adelson,Arnaud_Matinees,1,undirected
Arnaud_Adelson,Arnaud_Nancy,1,undirected
Arnaud_Adelson,Arnaud_Selicourt,4,undirected
Arnaud_Anne,Arnaud_Epoux,4,undirected
Arnaud_Anne,Arnaud_Fanny,3,undirected
Arnaud_Anne,Arnaud_Julie,3,undirected
Arnaud_Anne,Arnaud_Lucie,4,undirected
Arnaud_Anne,Arnaud_Nancy,4,undirected
Arnaud_Anne,Arnaud_Sargines,2,undirected
Arnaud_Anne,Arnaud_Zenothemis,2,undirected
Arnaud_Bal,Arnaud_Batilde,1,undirected
Arnaud_Bal,Arnaud_Epoux,3,undirected
Arnaud_Bal,Arnaud_Selicourt,2,undirected
Arnaud_Batilde,Arnaud_Bal,1,undirected
Arnaud_Batilde,Arnaud_Epoux,3,undirected
Arnaud_Batilde,Arnaud_Lucie,2,undirected
Arnaud_Batilde,Arnaud_Selicourt,1,undirected
Arnaud_Clary,Arnaud_Epoux,3,undirected
Arnaud_Clary,Arnaud_Fanny,3,undirected
Arnaud_Clary,Arnaud_Julie,2,undirected
Arnaud_Clary,Arnaud_Sidney,3,undirected
Arnaud_Epoux,Arnaud_Adelson,3,undirected
Arnaud_Epoux,Arnaud_Anne,4,undirected
Arnaud_Epoux,Arnaud_Bal,3,undirected
Arnaud_Epoux,Arnaud_Batilde,3,undirected
Arnaud_Epoux,Arnaud_Clary,3,undirected
Arnaud_Epoux,Arnaud_Lucie,6,undirected
Arnaud_Epoux,Arnaud_Matinees,5,undirected
Arnaud_Epoux,Arnaud_Selicourt,3,undirected
Arnaud_Epoux,Arnaud_Sidney,3,undirected
Arnaud_Fanny,Arnaud_Anne,3,undirected
Arnaud_Fanny,Arnaud_Clary,3,undirected
