"","Anonym_Enfant","Arnaud_Adelson","Arnaud_Anne","Arnaud_Bal","Arnaud_Batilde","Arnaud_Clary","Arnaud_Epoux","Arnaud_Fanny","Arnaud_Julie","Arnaud_Lucie","Arnaud_Matinees","Arnaud_Nancy","Arnaud_Sargines","Arnaud_Selicourt","Arnaud_Sidney","Arnaud_Zenothemis","Beaumont_Belle","Beaumont_Clarice","Beaumont_Prince","Cazotte_Diable","Cazotte_Honneur","Cazotte_Ollivier","Charriere_Caliste","Charriere_Femmes","Charriere_Lausanne","Charriere_Neuchateloises","Charriere_Noble","Charriere_Observations","Charriere_Ruines","Charriere_Sainte","Crebillon_Atheniennes","Crebillon_Conte","Crebillon_Nuit","Diderot_Ceci","Diderot_Jacques","Diderot_Neveu","Diderot_Oiseau","Diderot_Pensees","Diderot_Religieuse","Diderot_Supplement","Ducray_Cinquante","Ducray_Coelina","Ducray_Soirees","Ducray_Victor","Duvernet_Devotions","Duvernet_Guillaume","Duvernet_Retraite","Florian_Estelle","Florian_Galatee","Florian_Numa","Genlis_Adele","Genlis_Chevaliers","Genlis_Emigres","Genlis_Meres","Loaisel_Ainsi","Loaisel_Comtesse","Loaisel_Dolbreuse","Marmontel_Belisaire","Marmontel_Contes","Marmontel_Dejeunes","Marmontel_Incas","Mercier_An","Mercier_Jezennemours","Mercier_Songes","Mirabeau_Conversion","Mirabeau_Rideau","Nerciat_Aphrodites","Nerciat_Doctorat","Nerciat_Etourdi","Nerciat_Felicia","Nerciat_Monrose","PigaultLebrun_Adele","PigaultLebrun_Enfant","PigaultLebrun_Kinglin","PigaultLebrun_Metusko","Retif_AntiJustine","Retif_Paysan","Retif_Paysanne","Retif_Sara","Retif_Vie","Riccoboni_Ernestine","Riccoboni_Histoire","Riccoboni_LettreJuliette","Riccoboni_LettresAdelaide","Riccoboni_LettresFanni","Riccoboni_MissJenny","Riccoboni_MylordRivers","Rousseau_Emile","Rousseau_Julie","Rousseau_Reine","Rousseau_Reveries","Sade_120","Sade_Aline","Sade_Crimes","Sade_Infortunes","Sade_Justine","Sade_Philosophie","Voltaire_Amabed","Voltaire_Bramin","Voltaire_Candide","Voltaire_Consoles","Voltaire_Eloge","Voltaire_Homme","Voltaire_Ingenu","Voltaire_Jenni","Voltaire_Micromegas","Voltaire_Oreilles","Voltaire_Princesse","Voltaire_Scarmentado","Voltaire_Songe","Voltaire_Taureau"
"Anonym_Enfant",0,1.0744792858914,1.12794677373825,0.98840109288105,1.12989578064029,1.11173068072865,1.13409035236132,1.11763173919627,1.10826236675561,1.14394186307709,1.15488533037849,1.09696330934697,1.06086966345206,1.13914232488958,1.14162893715434,1.16387069129803,0.961256955025159,0.977111731113877,1.00118079103657,0.843868175940219,1.02751622733667,0.93487717918079,0.947914116487462,1.02380282015043,1.07751685049103,0.953250399641781,0.990362719749012,1.06631233472305,1.03980268553981,1.010397907222,1.19386170192401,1.08599568606458,1.08399219444204,1.00563961598833,0.939977852102144,1.06918980884581,0.893212899991345,1.15198836413705,0.847716047878318,1.10026872206719,0.902078216019044,0.988223817984896,0.903202617711835,0.965939565104333,0.997369508138827,1.0944844832692,0.965809020355482,0.977157373519171,0.911435936661311,1.06726683275232,1.01199272749953,0.853209602944046,0.872918615407464,0.941202979042488,1.0578443821031,1.01233085659403,1.02879756306463,1.19175640089319,1.13430748707882,0.880985585788209,1.12569173349594,1.080622508187,0.970857230762949,1.04009168263358,0.838106197372756,0.698401423039426,0.892211971301762,0.902575347361707,0.803906808373762,0.750561905888061,0.821277695803339,0.978490142829576,0.654736938183861,0.882150358078566,1.02189711871063,0.665928663676308,1.02225607974921,1.01441127568864,0.799594890377874,0.983670458766557,1.01294510704618,1.03294054695251,1.10401858692766,1.09759642780072,1.1330590757188,0.979629613177513,1.12439183207177,1.21082816249797,1.19822999118808,1.02712805430069,1.05820332621207,0.7971538203703,0.98527754663448,1.08605852560175,0.854273282100372,0.900872866257899,1.0574975994468,1.03378203984335,1.06234104913194,0.904407072133553,1.0107800371016,1.04667965984719,1.02118517996655,1.01882730122484,1.03903942748322,0.974163330478375,1.04184373949199,0.94211219110618,0.9334419784243,1.04370588212983,0.989635108971861
"Arnaud_Adelson",1.0744792858914,0,0.63209206059027,0.854434609168344,0.68440360129752,0.716972234774534,0.57256296150961,0.648926756530954,0.776785142582799,0.631223716284755,0.624112717680297,0.678460909019225,0.780792682136961,0.623232697585501,0.692683135069858,0.685337653155923,1.04621568678745,1.08395681323553,1.04414203960957,1.00663082052731,0.940143196037172,0.94243038644964,1.1070932972958,1.14647111052307,1.16681633580644,1.1852549866958,1.05116851454356,1.11876895672351,1.09809900933716,1.16879238820124,1.04383732365263,1.1168985021339,1.07360498234189,1.05368584935945,1.12624299124097,1.15723370890574,1.17091798762016,1.0806419777566,1.07261073712856,1.08651750015959,0.9784904350028,0.919271367092265,1.01209154357839,0.857257878007791,1.1664151186858,1.1256540068182,1.1147539006056,0.892069500439782,0.92248715222931,0.890831874970229,1.09115104885015,0.929737161116707,1.14630954780765,1.04527658088594,0.973994902783865,0.755642906074992,0.899005518359725,1.03815838279723,1.04203146819966,1.04150265761029,0.898632926272295,1.05871130634878,0.87982725842687,0.935081416050235,1.03517114220782,1.09041220587991,1.11590176742153,1.07341228710029,1.06790954556295,1.09697173758649,1.11444493107582,1.09944876115842,1.11808508607115,1.16992324006235,0.891816253287065,1.13301298424756,1.08972438092723,1.10510589678719,1.05632835395501,1.18705130343565,0.946575253961937,0.981079384494961,0.913274706685301,0.922409867905414,0.954313706352575,0.898927198833061,0.964815501680375,1.15823433791868,1.01290485861194,1.13700551020645,1.07931301400243,1.14287607275108,1.0615996086646,0.865265914927983,1.02944731351611,1.0018266878282,1.0701887962575,1.11179602902087,1.08482706143858,1.17284049993232,1.09943172018405,1.13547270984541,1.20461600422639,1.10449757158758,1.14317739927623,1.15124133429908,1.1463681106621,1.14060815438286,1.14392027480689,1.14446082058649,1.12939403768667
"Arnaud_Anne",1.12794677373825,0.63209206059027,0,0.94222667667396,0.698544668293025,0.657163878106751,0.585524484329734,0.609095911269176,0.663619451761072,0.638722528729519,0.702894318942263,0.656887490868134,0.807863548404221,0.720188444403983,0.623074682513784,0.700608646429548,1.07153189722185,1.04478734115577,1.00993608769481,1.0712220786568,0.992075749489418,1.01965853783247,1.11216254009753,1.12427235092445,1.13300243663163,1.15458344965569,1.04759733631038,1.11389771908316,1.07141194822742,1.13142759726876,1.03156063145847,1.11937775286667,1.08832448870351,1.04134421408443,1.11531838146408,1.15483060797744,1.16622177330181,1.07099230330956,1.02836621973155,1.02088502862958,0.965470952951628,0.963773762892854,1.02652099565514,0.908969896505625,1.11936664145615,1.08744258531068,1.07365302274634,0.918801729627078,0.969715711724255,0.870591488304552,1.09159705565969,1.03444510507631,1.17106159160767,1.09020548811648,0.998273448855845,0.739575119322435,0.858033718758315,0.982326713990763,1.0377242254749,1.06403831062203,0.908012291309101,1.02508605667481,0.910774487798495,0.887251842383568,1.06345656600061,1.12989307299563,1.16165300099777,1.10990272144652,1.10463392425443,1.19160436308659,1.20083730500601,1.0726593315014,1.14971739827007,1.1733238062685,0.901763682128371,1.1702443283781,1.10637230078207,1.1130595914432,1.14779659408834,1.09380507066362,0.952005239908207,0.969435096822125,0.9545569211086,0.980991400677693,0.96271316183761,0.893735327090713,1.00412406515264,1.07480368397598,1.0057269560667,1.07785176626957,1.10660952368638,1.17783912091749,1.06361778357188,0.918766240569944,1.07416068947754,1.02149745941151,1.02641651961492,1.08829160476573,1.07460806456946,1.17161429544936,1.08071526388925,1.09558767460229,1.14246186863243,1.11111145165776,1.09106348191504,1.14936744555839,1.11211186610321,1.17563059682362,1.15201551548003,1.0991014534,1.11412607693375
"Arnaud_Bal",0.98840109288105,0.854434609168344,0.94222667667396,0,0.868873956674269,0.910120710687696,0.750543025356808,0.831689934273745,0.908301370193499,0.827659990475343,0.855587318670441,0.895001752335547,0.922085137855438,0.822903917713458,0.882253872434499,0.98242548733221,1.00794621286202,1.10548537129955,1.05328143531381,1.07096141464602,0.997334654447434,1.06045179632514,1.09503983995223,1.04957659684996,1.08326796644439,1.08114067063225,1.02450477954475,1.04385205723589,1.069908952242,1.06075991565991,0.980659783470287,0.944490819362737,0.964919282855268,1.00724453435818,1.0037588861469,1.05685485054237,0.975055515606657,1.07728641685331,1.11014390889284,1.05310648086608,0.97904764593504,1.0224424011155,1.04771847137365,1.01467881776295,1.05045410311151,1.10124484827878,1.0373726496618,0.998402299071094,1.00882370766522,1.04857250224604,1.04563258738716,1.02090743562755,1.12386801175195,1.05871890819805,0.994259585366513,0.990579069517892,0.987007923239804,1.07124757766871,0.868922232435061,1.03803780454705,1.03103189176493,1.11040278370798,0.968326317295798,1.02543561574026,0.89555960915343,0.94573854172927,0.975837542221136,0.987714626418495,0.946057726376132,0.919139634141873,1.02882091968805,1.00989666373702,1.08859075175719,1.05716994945463,0.964849024934671,0.976528604487151,1.01562378786293,1.03844644612597,0.976427252666929,1.08707442443368,0.933266725413314,0.897592236707419,0.980351745854202,0.962679913602197,0.895261910471111,1.00157000003615,0.983206330822292,1.07847590601469,1.00779093443054,1.01667600792412,1.07956765413249,1.02450814267872,1.07886444792328,0.967399092948709,1.0864304384946,1.06412334371069,1.02248021376942,1.06691480352059,1.04228815064515,1.08078421157392,1.03999160715972,1.09168020425894,1.10293104386614,1.02429662983533,1.11614546734624,1.06654376120691,1.10921267386307,1.08437068679351,1.13422646465217,1.06996392982605,1.09086032466656
"Arnaud_Batilde",1.12989578064029,0.68440360129752,0.698544668293025,0.868873956674269,0,0.75517508755112,0.628583172774683,0.750952423764317,0.798795683594364,0.612709893740643,0.690237337955812,0.769966372525177,0.793424010737687,0.643870222283405,0.69745466334851,0.683593489893662,1.11205270236749,1.06708892823725,1.04586221489243,0.969018252596113,0.921059948421201,1.01660676411721,1.11578110869882,1.13763939860328,1.13643432880011,1.15258870218747,1.02268396729438,1.06504642285608,1.09435098023421,1.17305979430869,0.929517518697847,1.03809868830427,1.03584810345596,1.05155643394177,1.17204334109117,1.17786370601869,1.12861963345456,1.06813099296299,1.05519055914879,1.07750011776535,1.00360023498931,0.99101196442686,1.10399445353731,0.97446293216038,1.09755683363292,1.08404365122628,1.07067541670703,0.921844151623164,0.950470258666912,0.840697335204387,1.03357916774999,0.956043864148941,1.17145599447012,1.04104598264723,0.971521980490093,0.862947654020094,0.929296669225764,0.932508928553283,0.909937776543358,1.01885634619858,0.914529538619563,1.03462535395464,0.916268613550153,0.936705182378471,1.05389567062278,1.11171768525764,1.16165790025636,1.10940698802267,1.09802530894277,1.1811314935675,1.19978988518314,1.0993247590807,1.18157850505133,1.20895174412729,0.886213947434363,1.16929584984153,1.06776286068454,1.0914138806856,1.11483396531575,1.1264674595146,0.900666135767499,0.940828812249391,0.890800839490131,0.900112948010307,0.898436846635087,0.855773197956417,0.935891294918333,1.09955307810819,0.958025343013358,1.08493194465107,1.10654059209868,1.2233479498078,1.07917678692488,0.952440080710017,1.12961883288222,1.08101305438028,1.04996149152287,1.10411366061643,1.06651244934386,1.20918479119053,1.07934632019963,1.10894655656547,1.17978736047957,1.16020133318581,1.16016392792351,1.16617165883726,1.12676036721522,1.16217827595149,1.09909342290002,1.09936918862586,1.07893874785863
"Arnaud_Clary",1.11173068072865,0.716972234774534,0.657163878106751,0.910120710687696,0.75517508755112,0,0.618736079152108,0.680379257542358,0.670990435649564,0.746394291815941,0.740022342441648,0.755340036572594,0.876821782298345,0.719551412718022,0.669773867348235,0.75682262788348,1.09329774816517,1.01607619274676,1.1131857693722,1.01135431334729,0.985854466652811,1.06251464621714,1.08380031538483,1.12602537171865,1.12130287335515,1.11567393027566,1.06927789932457,1.10759708351795,1.08121258534881,1.17082506328669,1.04084583540824,1.15523459621808,1.05320569680891,0.999480125587761,1.10861174856373,1.15238331683528,1.14970290686051,1.07821940889461,1.05050817014338,1.04840040121894,0.966290515351516,0.994414627020429,1.02332447420829,0.929162129302028,1.12632768829671,1.0980930602578,1.08898807915103,0.964885429877799,0.961387450981959,0.930021699439499,1.02094566266772,0.984967445015562,1.07067056558052,1.01844338361185,0.970002017032589,0.901853969366659,0.857026013856859,0.992832901019746,0.957116625835435,1.02505672786598,0.96353328709858,1.02125556604829,0.896791339433051,0.926710121301682,1.023360126499,1.02705949196196,1.14681752065675,1.05760876405483,1.03976570981808,1.10627897693839,1.12429639771968,1.11613043184199,1.10650363886971,1.20593033407185,0.995711463740155,1.11736058162686,0.9967690939385,1.03077927210995,1.03264654647107,1.06939362664897,0.94433915902948,0.997439894342342,0.918852987866441,0.952110396833294,0.91160988436901,0.892647410235237,0.947885095607795,1.07218387627849,0.92381431136245,1.13610258826101,1.05055433499303,1.18868939943745,1.03704006148047,0.950435140082483,1.01742874380783,1.01950627724991,1.03777524688615,1.07080672729101,1.06570575662005,1.15515858539016,1.08777892905293,1.08871200913974,1.14462802651138,1.12244251476305,1.10473837922665,1.13616136251068,1.11064382470859,1.16556563293341,1.11084430245406,1.08574160719506,1.1379880275322
"Arnaud_Epoux",1.13409035236132,0.57256296150961,0.585524484329734,0.750543025356808,0.628583172774683,0.618736079152108,0,0.679672273140757,0.743827481925072,0.54905263428253,0.533535180268672,0.695384287771073,0.820061692631709,0.584855703025193,0.585214651823169,0.69418806976621,1.13726134962691,1.02290664862313,1.10685450102488,0.999072727877533,0.985664508964142,1.11631576871805,1.05391788901806,1.13484106119104,1.13900978868156,1.116159403233,1.11940581256044,1.11452234366816,1.0939508688283,1.18468833343504,0.907178243448397,1.0482126932064,0.955138466324368,1.05948957868393,1.18476958050798,1.18529484673497,1.20439225816219,1.06083669003048,1.07111471927382,1.06803574515879,0.955405569931063,0.962588015570756,1.0347990917906,0.897899773272151,1.18636633071696,1.1458300528381,1.17854348375385,0.978625434126372,0.987320871625411,0.968920690928575,1.04925704938121,0.974709183938049,1.14320247922632,1.04192852231924,0.948580090285016,0.842750463982349,0.871370692870819,1.02309594006585,0.957707391752948,1.03202904662955,0.975644800707274,1.09548312410751,0.860946148165636,0.935314848343092,1.06258341464582,1.03669122949046,1.13617808502541,1.04122775975555,1.03761803180106,1.08317653197593,1.12982737548514,1.13752397789454,1.15960445146043,1.24120932823433,0.992696367842118,1.15130048199632,1.01297224096489,1.07329018748306,1.03468133489166,1.16976386584304,0.947808367738304,0.947600274322015,0.873181915241386,0.884906842573131,0.832135488147102,0.868977928331394,0.948978174124391,1.11480430662069,0.89240111395138,1.14788964072585,1.00108760564807,1.23639304338268,1.01306912579837,0.901861956129859,1.03091696714404,1.0145310510141,1.0162660930695,1.08695787873783,1.05888332550714,1.23526348653654,1.12981305662588,1.13395437029735,1.19617463781669,1.14960955661458,1.16162939296272,1.18444078434462,1.14293484952835,1.25229639860165,1.15414533043544,1.15722396248902,1.18861592563747
"Arnaud_Fanny",1.11763173919627,0.648926756530954,0.609095911269176,0.831689934273745,0.750952423764317,0.680379257542358,0.679672273140757,0,0.746052498939194,0.731264620837955,0.716864376177101,0.704677073581225,0.796702950643653,0.774653737729255,0.698541070517361,0.732128048829384,1.05053769361534,1.0624244762205,1.04217306044033,1.07872708604368,0.999600642152268,1.02321514096478,1.12135707189283,1.15660927262348,1.14347917487582,1.17758094094298,1.03789730447734,1.09422776555433,1.05771040086864,1.13292425630266,1.14337159100186,1.16170828072866,1.11374220895156,1.0154445977692,1.03840784264117,1.07283827585915,1.14258176112223,1.083734174255,1.13088822323594,0.996195281549256,0.990997729147039,0.958498836709998,0.990484553455983,0.934726228134295,1.07057685780869,1.05000040967091,1.04920331230538,0.944654689149069,0.959029471715001,0.87497593630581,1.12179267424378,1.03223550019341,1.11729065327686,1.08519139204061,1.04692966416044,0.826346301102365,0.908455015433394,0.991273554924414,0.985324728448306,1.02012648202272,0.908817521973783,1.01496678644963,0.956238195888655,0.909025376206869,0.963779214848138,1.12465819574187,1.08668641716769,1.07708372422744,1.11185755451114,1.13162545839037,1.13043523236149,1.06664128082814,1.14930447797058,1.13009244021919,0.916970006101975,1.06455471696287,1.04898170668592,1.05382163052851,1.10588384999786,1.03253731089786,0.998629269102166,1.03789744290215,1.05330218997505,1.03664448094606,0.995242287350215,1.00905216856123,1.04498077134602,1.11657004016831,1.0504815336262,1.08895319989121,1.15785959876292,1.13778623219724,1.09173431124304,0.913643810669908,1.06742419053625,1.03973964725363,1.03695349114781,1.05016692758916,1.04587367448019,1.09777098359639,1.06728423080522,1.09243366295064,1.10537888694069,1.04447426014241,1.07304466378866,1.13423672394659,1.07921087368971,1.05187037699044,1.08680101963109,1.08464003626365,1.07278558224332
"Arnaud_Julie",1.10826236675561,0.776785142582799,0.663619451761072,0.908301370193499,0.798795683594364,0.670990435649564,0.743827481925072,0.746052498939194,0,0.756266117230512,0.765291139090591,0.736372434387049,0.81579235031549,0.825314588231775,0.71089438114727,0.724556334690847,1.09519662945711,1.03918418560018,1.03975863517516,1.04682004094448,0.998747725859307,1.05435031940341,1.13939347430408,1.12941864651593,1.12144923479577,1.18849953515691,1.03678343192824,1.05622851109026,1.10057444832724,1.1656947816866,1.02641623470748,1.08019092266069,1.08268816737366,1.05405503635695,1.15809715272496,1.09159706713718,1.13462790814003,1.03673812862934,1.09959982629915,1.0151932347981,1.00279803868118,1.03227122267623,1.0732547197394,0.993224959536065,1.08364114970635,1.07754784763723,1.0105846816273,1.02902582334092,1.07690104333257,0.989658788056362,0.997679295198794,1.02217990364035,1.12330621585862,1.02500878103606,0.951583203191332,0.837192197382683,0.793019087384436,0.948496037919696,0.921188597501851,1.08361429532162,0.967695246052023,0.940511112799996,0.936774164687645,0.908177617527953,1.04475809650511,1.08569224755775,1.10879855242675,1.08652328092719,1.02152094109312,1.10118986824416,1.1009089091814,1.01468559724191,1.15299541413766,1.13194258504684,0.925244445204394,1.1926689742647,1.03557303722133,1.06283378474944,1.10021468763406,1.01915037451709,0.92877406932815,0.941111958815045,0.940056871114471,0.984716295114113,1.02801211953326,0.950461308404597,0.955381662310022,0.972199355772414,0.963455137754518,1.05082094269026,1.02675805376537,1.11371368901837,1.05286645504534,0.951482906664662,1.03368771282296,1.01095624211749,1.00571549451921,1.07839161879908,1.07851416067652,1.14861298374178,1.06964885204511,1.0700117271873,1.10732496040969,1.08655494812112,1.07763519344718,1.12800411071582,1.097241868833,1.11081557740251,1.13889618414619,1.04419327894565,1.08612713021531
"Arnaud_Lucie",1.14394186307709,0.631223716284755,0.638722528729519,0.827659990475343,0.612709893740643,0.746394291815941,0.54905263428253,0.731264620837955,0.756266117230512,0,0.650759058975602,0.733378874091607,0.858178209087775,0.566458983400362,0.703887564851028,0.711162047233755,1.08100432994802,1.13951130698616,1.09187520684985,1.03999650096168,0.992344618354845,1.09437668517559,1.11473229543535,1.14582079701175,1.13309683388392,1.13121985606111,1.04297062634089,1.09800964962787,1.10109066313096,1.15776700095536,0.977709336034415,1.06354158793389,1.0254025317079,1.03103983117894,1.15596119961654,1.18252694574254,1.16354454161786,1.09180496385253,1.04826609920536,1.10536531764605,0.969956382236894,0.976783744873757,1.07407484440393,0.921898750899343,1.10907237687993,1.1197334658962,1.07387253717578,0.941605838310196,0.948800547857518,0.892325739138125,1.07038415496847,0.95958872894808,1.17292150972104,1.04191851517589,0.977617279930759,0.789890877972543,0.905992300882652,1.05753621440527,0.953001664758191,1.04120546885382,0.931855627238637,1.083996808875,0.894714185979188,0.984352567261904,1.05770635568888,1.07221811476644,1.12096392200757,1.0980368880581,1.08486122629001,1.14255973146178,1.17529382071513,1.09267915876215,1.18382525085418,1.17949829577512,0.92630306199685,1.13136445908417,1.08252530334897,1.06934530827238,1.08742392925685,1.14574539981723,0.932390096742562,0.912417983879023,0.899273684820945,0.867202879341593,0.888987186092507,0.871133459017281,0.953978056842872,1.1504207721267,1.00121875838446,1.1029679413843,1.10265687286829,1.18157507900336,1.04590651275378,0.905176455370748,1.08468730243619,1.05211776629327,1.04826324390653,1.10789980745636,1.05011613676426,1.20939675412078,1.05314743383849,1.09086827983153,1.20074953142051,1.1119216584503,1.16417761869771,1.14497031648616,1.13823409754213,1.18934151156996,1.12102017587528,1.07866841257319,1.12805464486296
