Source,Target,Weight,Type
Anonym_Enfant,Cazotte_Diable,1,undirected
Anonym_Enfant,Nerciat_Etourdi,25,undirected
Anonym_Enfant,Nerciat_Felicia,3,undirected
Anonym_Enfant,PigaultLebrun_Enfant,96,undirected
Anonym_Enfant,Retif_AntiJustine,64,undirected
Anonym_Enfant,Retif_Sara,3,undirected
Cazotte_Diable,Anonym_Enfant,1,undirected
Cazotte_Diable,Cazotte_Honneur,64,undirected
Cazotte_Diable,Cazotte_Ollivier,80,undirected
Cazotte_Diable,Diderot_Religieuse,1,undirected
Cazotte_Diable,Nerciat_Etourdi,7,undirected
Cazotte_Diable,PigaultLebrun_Enfant,10,undirected
Cazotte_Honneur,Cazotte_Diable,64,undirected
Cazotte_Honneur,Cazotte_Ollivier,96,undirected
Cazotte_Honneur,Ducray_Victor,16,undirected
Cazotte_Ollivier,Cazotte_Diable,80,undirected
Cazotte_Ollivier,Cazotte_Honneur,96,undirected
Cazotte_Ollivier,Ducray_Victor,14,undirected
Cazotte_Ollivier,Nerciat_Aphrodites,1,undirected
Cazotte_Ollivier,PigaultLebrun_Enfant,1,undirected
Charriere_Caliste,Charriere_Femmes,27,undirected
Charriere_Caliste,Charriere_Lausanne,70,undirected
Charriere_Caliste,Charriere_Neuchateloises,67,undirected
Charriere_Caliste,Charriere_Noble,43,undirected
Charriere_Caliste,Diderot_Religieuse,1,undirected
Charriere_Caliste,Retif_Sara,64,undirected
Charriere_Femmes,Charriere_Caliste,27,undirected
Charriere_Femmes,Charriere_Lausanne,71,undirected
Charriere_Femmes,Charriere_Neuchateloises,21,undirected
Charriere_Femmes,Charriere_Noble,2,undirected
Charriere_Lausanne,Charriere_Caliste,70,undirected
Charriere_Lausanne,Charriere_Femmes,71,undirected
Charriere_Lausanne,Charriere_Neuchateloises,96,undirected
Charriere_Lausanne,Charriere_Noble,7,undirected
Charriere_Lausanne,Diderot_Neveu,15,undirected
Charriere_Lausanne,Retif_Paysan,2,undirected
Charriere_Neuchateloises,Charriere_Caliste,67,undirected
Charriere_Neuchateloises,Charriere_Femmes,21,undirected
Charriere_Neuchateloises,Charriere_Lausanne,96,undirected
Charriere_Neuchateloises,Retif_Paysan,33,undirected
Charriere_Neuchateloises,Retif_Paysanne,44,undirected
Charriere_Noble,Charriere_Caliste,43,undirected
Charriere_Noble,Charriere_Femmes,2,undirected
Charriere_Noble,Charriere_Lausanne,7,undirected
Charriere_Noble,Retif_Sara,10,undirected
Charriere_Noble,Voltaire_Ingenu,34,undirected
Diderot_Jacques,Diderot_Neveu,96,undirected
Diderot_Jacques,Diderot_Religieuse,80,undirected
Diderot_Jacques,Nerciat_Aphrodites,7,undirected
Diderot_Jacques,Voltaire_Candide,9,undirected
Diderot_Neveu,Charriere_Lausanne,15,undirected
Diderot_Neveu,Diderot_Jacques,96,undirected
Diderot_Neveu,Diderot_Religieuse,37,undirected
Diderot_Neveu,Nerciat_Aphrodites,3,undirected
Diderot_Neveu,Voltaire_Homme,4,undirected
Diderot_Neveu,Voltaire_Micromegas,3,undirected
Diderot_Religieuse,Cazotte_Diable,1,undirected
Diderot_Religieuse,Charriere_Caliste,1,undirected
Diderot_Religieuse,Diderot_Jacques,80,undirected
Diderot_Religieuse,Diderot_Neveu,37,undirected
Diderot_Religieuse,PigaultLebrun_Enfant,43,undirected
Diderot_Religieuse,Retif_Sara,4,undirected
Ducray_Cinquante,Ducray_Coelina,50,undirected
Ducray_Cinquante,Ducray_Soirees,61,undirected
Ducray_Cinquante,Ducray_Victor,43,undirected
Ducray_Cinquante,Retif_Paysan,3,undirected
Ducray_Coelina,Ducray_Cinquante,50,undirected
Ducray_Coelina,Ducray_Soirees,56,undirected
Ducray_Coelina,Ducray_Victor,88,undirected
Ducray_Soirees,Ducray_Cinquante,61,undirected
Ducray_Soirees,Ducray_Coelina,56,undirected
Ducray_Soirees,Ducray_Victor,86,undirected
Ducray_Victor,Cazotte_Honneur,16,undirected
Ducray_Victor,Cazotte_Ollivier,14,undirected
Ducray_Victor,Ducray_Cinquante,43,undirected
Ducray_Victor,Ducray_Coelina,88,undirected
Ducray_Victor,Ducray_Soirees,86,undirected
Nerciat_Aphrodites,Cazotte_Ollivier,1,undirected
