Source,Target,Weight,Type
Arnaud_Adelson,Arnaud_Epoux,20,undirected
Arnaud_Adelson,Arnaud_Lucie,4,undirected
Arnaud_Adelson,Arnaud_Matinees,2,undirected
Arnaud_Adelson,Arnaud_Sargines,1,undirected
Arnaud_Adelson,Arnaud_Selicourt,12,undirected
Arnaud_Adelson,Arnaud_Zenothemis,1,undirected
Arnaud_Anne,Arnaud_Clary,2,undirected
Arnaud_Anne,Arnaud_Epoux,18,undirected
Arnaud_Anne,Arnaud_Fanny,30,undirected
Arnaud_Anne,Arnaud_Julie,15,undirected
Arnaud_Anne,Arnaud_Nancy,14,undirected
Arnaud_Anne,Arnaud_Sidney,18,undirected
Arnaud_Anne,Arnaud_Zenothemis,12,undirected
Arnaud_Bal,Arnaud_Epoux,18,undirected
Arnaud_Bal,Arnaud_Lucie,12,undirected
Arnaud_Bal,Arnaud_Selicourt,6,undirected
Arnaud_Bal,Marmontel_Contes,4,undirected
Arnaud_Batilde,Arnaud_Epoux,6,undirected
Arnaud_Batilde,Arnaud_Lucie,24,undirected
Arnaud_Batilde,Arnaud_Sargines,5,undirected
Arnaud_Batilde,Arnaud_Selicourt,12,undirected
Arnaud_Batilde,Arnaud_Zenothemis,5,undirected
Arnaud_Clary,Arnaud_Anne,2,undirected
Arnaud_Clary,Arnaud_Epoux,18,undirected
Arnaud_Clary,Arnaud_Fanny,20,undirected
Arnaud_Clary,Arnaud_Julie,22,undirected
Arnaud_Clary,Arnaud_Sidney,5,undirected
Arnaud_Epoux,Arnaud_Adelson,20,undirected
Arnaud_Epoux,Arnaud_Anne,18,undirected
Arnaud_Epoux,Arnaud_Bal,18,undirected
Arnaud_Epoux,Arnaud_Batilde,6,undirected
Arnaud_Epoux,Arnaud_Clary,18,undirected
Arnaud_Epoux,Arnaud_Fanny,7,undirected
Arnaud_Epoux,Arnaud_Julie,1,undirected
Arnaud_Epoux,Arnaud_Lucie,30,undirected
Arnaud_Epoux,Arnaud_Matinees,26,undirected
Arnaud_Epoux,Arnaud_Nancy,6,undirected
Arnaud_Epoux,Arnaud_Selicourt,22,undirected
Arnaud_Epoux,Arnaud_Sidney,18,undirected
Arnaud_Epoux,Arnaud_Zenothemis,18,undirected
Arnaud_Fanny,Arnaud_Anne,30,undirected
Arnaud_Fanny,Arnaud_Clary,20,undirected
Arnaud_Fanny,Arnaud_Epoux,7,undirected
Arnaud_Julie,Arnaud_Anne,15,undirected
Arnaud_Julie,Arnaud_Clary,22,undirected
Arnaud_Julie,Arnaud_Epoux,1,undirected
Arnaud_Julie,Arnaud_Nancy,4,undirected
Arnaud_Julie,Arnaud_Zenothemis,1,undirected
Arnaud_Lucie,Arnaud_Adelson,4,undirected
Arnaud_Lucie,Arnaud_Bal,12,undirected
Arnaud_Lucie,Arnaud_Batilde,24,undirected
Arnaud_Lucie,Arnaud_Epoux,30,undirected
Arnaud_Lucie,Arnaud_Matinees,6,undirected
Arnaud_Lucie,Arnaud_Selicourt,34,undirected
Arnaud_Matinees,Arnaud_Adelson,2,undirected
Arnaud_Matinees,Arnaud_Epoux,26,undirected
Arnaud_Matinees,Arnaud_Lucie,6,undirected
Arnaud_Matinees,Arnaud_Nancy,16,undirected
Arnaud_Matinees,Arnaud_Sargines,12,undirected
Arnaud_Matinees,Arnaud_Selicourt,18,undirected
Arnaud_Nancy,Arnaud_Anne,14,undirected
Arnaud_Nancy,Arnaud_Epoux,6,undirected
Arnaud_Nancy,Arnaud_Julie,4,undirected
Arnaud_Nancy,Arnaud_Matinees,16,undirected
Arnaud_Sargines,Arnaud_Adelson,1,undirected
Arnaud_Sargines,Arnaud_Batilde,5,undirected
Arnaud_Sargines,Arnaud_Matinees,12,undirected
Arnaud_Sargines,Arnaud_Zenothemis,18,undirected
