"","Arnaud_Adelson","Arnaud_Anne","Arnaud_Bal","Arnaud_Batilde","Arnaud_Clary","Arnaud_Epoux","Arnaud_Fanny","Arnaud_Julie","Arnaud_Lucie","Arnaud_Matinees","Arnaud_Nancy","Arnaud_Sargines","Arnaud_Selicourt","Arnaud_Sidney","Arnaud_Zenothemis","Beaumont_Belle","Beaumont_Clarice","Beaumont_Prince","Cazotte_Diable","Cazotte_Honneur","Cazotte_Ollivier","Charriere_Caliste","Charriere_Femmes","Charriere_Lausanne","Charriere_Neuchateloises","Charriere_Noble","Charriere_Observations","Charriere_Ruines","Charriere_Sainte","Crebillon_Atheniennes","Crebillon_Conte","Crebillon_Nuit","Diderot_Ceci","Diderot_Jacques","Diderot_Neveu","Diderot_Oiseau","Diderot_Pensees","Diderot_Religieuse","Diderot_Supplement","Ducray_Cinquante","Ducray_Coelina","Ducray_Soirees","Ducray_Victor","Duvernet_Devotions","Duvernet_Guillaume","Duvernet_Retraite","Florian_Estelle","Florian_Galatee","Florian_Numa","Genlis_Adele","Genlis_Chevaliers","Genlis_Emigres","Genlis_Meres","Loaisel_Ainsi","Loaisel_Comtesse","Loaisel_Dolbreuse","Marmontel_Belisaire","Marmontel_Contes","Marmontel_Dejeunes","Marmontel_Incas","Mercier_An","Mercier_Jezennemours","Mercier_Songes","Nerciat_Aphrodites","Nerciat_Doctorat","Nerciat_Etourdi","Nerciat_Felicia","Nerciat_Monrose","PigaultLebrun_Adele","PigaultLebrun_Enfant","PigaultLebrun_Kinglin","PigaultLebrun_Metusko","Retif_AntiJustine","Retif_Paysan","Retif_Paysanne","Retif_Sara","Retif_Vie","Riccoboni_Ernestine","Riccoboni_Histoire","Riccoboni_LettreJuliette","Riccoboni_LettresAdelaide","Riccoboni_LettresFanni","Riccoboni_MissJenny","Riccoboni_MylordRivers","Rousseau_Emile","Rousseau_Julie","Rousseau_Reine","Rousseau_Reveries","Sade_120","Sade_Aline","Sade_Crimes","Sade_Infortunes","Sade_Justine","Sade_Philosophie","Voltaire_Amabed","Voltaire_Bramin","Voltaire_Candide","Voltaire_Consoles","Voltaire_Eloge","Voltaire_Homme","Voltaire_Ingenu","Voltaire_Jenni","Voltaire_Micromegas","Voltaire_Oreilles","Voltaire_Princesse","Voltaire_Scarmentado","Voltaire_Songe","Voltaire_Taureau"
"Arnaud_Adelson",0,0.565474502552854,0.81719475252231,0.516533664780149,0.626561028463826,0.519386417204627,0.594268691825191,0.73803400965194,0.539454778062543,0.479189390352482,0.661792943121601,0.647853523906446,0.539943547322919,0.59748324717273,0.553748642215135,1.15742428255916,1.0999332318375,1.08084711248483,0.933532781541495,0.938822676683838,0.986183049714865,1.20292464492159,1.25955536724221,1.23942802648159,1.20716043018885,1.08598128991199,1.1221776742696,1.18280864371678,1.19529347419176,1.05455023503729,1.15677893653787,1.10610842422373,1.05866511362198,1.11889198731518,1.23492519756354,1.19396887040493,1.10689284662541,1.08538010163598,1.09677914940111,1.0052994584662,0.875848014485672,1.03973077599576,0.805899180625208,1.16988928408433,1.09574406926213,1.14522649133522,0.838022755130135,0.844978275896367,0.809881167790239,1.0824624597215,0.874574585113355,1.20800470987025,1.0235627698937,0.976269371940882,0.730990090545962,0.880557482054609,0.999946190259088,0.944034674049916,0.994428868227547,0.849942725003725,1.06217137239753,0.767237059331457,0.879349392407512,1.17649290670029,1.12808581576603,1.09434617531004,1.18653491805122,1.15147889054744,1.12317053797012,1.10712965790553,1.13756788634818,0.886476894112301,1.14938112811624,1.09088211640359,1.13782161299624,1.04791168265241,1.22327423984793,0.874203300245466,0.886786196224891,0.80029050381975,0.751640883004824,0.829013555491885,0.822016943576915,0.845620963390888,1.22821536430949,1.01739768924462,1.2449859767132,1.16885001382545,1.25628888927994,1.1539223977288,0.911878149285447,1.12717276615978,1.07760605850891,1.06745125347371,1.10870905747575,1.06895418027001,1.21511994684142,1.10304958342264,1.21563637912229,1.25340961989423,1.14327879421263,1.19561529990738,1.1856476976407,1.21998683260711,1.19169712928594,1.2412102453754,1.13186713857828,1.09840797353295
"Arnaud_Anne",0.565474502552854,0,0.796342781570565,0.527195869946145,0.562465475130247,0.461329541989465,0.441952316604842,0.513137139365436,0.504771026381049,0.57953103523185,0.486702054511223,0.62174302482134,0.628373387576577,0.477786951687709,0.492593831879478,1.17821999815075,1.09988554137685,1.1014001907612,1.08253302597502,0.958747654466511,1.05763346369444,1.18186056204617,1.25579351035742,1.24068862030276,1.2137858907388,1.07855109882389,1.09777230912239,1.15351076553231,1.22042538587285,1.08482131844002,1.18675146564093,1.17103209937974,1.09174572950002,1.16953779137965,1.28424441741782,1.21750164621369,1.10559271936117,1.12618633187828,0.996232546929816,0.887660138711249,0.907007773592227,1.02173271828073,0.776338986489807,1.12259558376133,1.18197227840504,1.09129439330143,0.841317926137821,0.909351996771191,0.751886053051031,1.13264638379887,0.989078338339657,1.23917907978724,1.09748347974507,0.974844098538737,0.659233825785043,0.820933084613472,0.949226334667852,0.899617935742635,0.985742060288383,0.799689179599435,1.06538809037043,0.871929018543041,0.854512838525392,1.25756724085469,1.12672919370621,1.10764743751379,1.22941103196958,1.24752533414698,1.05479504887772,1.18931847092916,1.20119994957076,0.779300705064197,1.18576528616547,1.15344305293268,1.13546223355806,1.10554914869431,1.10256611161385,0.87054723603689,0.894231772020159,0.903500417380101,0.890666008125545,0.955659449256847,0.835247010162348,0.945233365948818,1.10949214192881,1.04082620703522,1.07201195239826,1.22530527471654,1.24467564131933,1.11903292139342,0.890272948092015,1.10071790190782,1.06089966922413,1.04373019685027,1.0956062707984,1.10138508468975,1.29912177681055,1.11333589760418,1.17729396786593,1.21923512276699,1.1378058984469,1.14974961812721,1.21671976424239,1.23447005853721,1.18849476287197,1.2536657053495,1.15930236155927,1.13997558367703
"Arnaud_Bal",0.81719475252231,0.796342781570565,0,0.817341869966812,0.852633138748367,0.665685649330034,0.746381358557925,0.851499173095682,0.758237128221532,0.736056844613313,0.804587635743959,0.857430712381764,0.724245152401389,0.802295847671454,0.909674970714035,1.02199160731492,1.15011472522336,1.10840218885623,1.05514233682081,0.988787627025468,1.02157413721289,1.10977997511891,1.1097551061494,1.1287298838611,1.11376411931754,1.02776515619442,1.03507314118901,1.12668085176728,1.14210091617448,1.0289592136556,1.02088912039738,0.999369134125701,1.04031054645947,0.99827949701625,1.11925892792048,0.987755256965239,1.14033020485982,1.14828874383721,0.994648661692121,0.914787934677211,0.953035390259723,0.98427459955743,0.891464437738906,1.09632343603103,1.14291066258647,1.03038052182828,0.933645627274181,0.948224974464571,0.994486372717803,1.07574855766245,1.00803652755243,1.22895256627485,1.08339705628031,0.932194495815541,0.949232215512363,0.935229516987755,1.12341925691832,0.888177981472971,1.0610135574221,1.07779075285267,1.10278637043486,0.884670113117803,0.967941098486228,0.936708410104545,0.96966927953794,0.921289945422974,0.919339039022074,1.01122874715834,0.974206028871413,1.10827590953073,1.02981176249635,0.96650817457988,0.997748415155637,0.982178439187557,1.05639613511776,1.01085239557655,1.13917058312191,0.826172599918573,0.819241427128051,0.922914502778643,0.898350014724073,0.819100611768107,0.954488134680884,0.910224618334018,1.0735181891895,0.951120294013241,1.04612148294246,1.10411922149795,1.04976152551777,1.09941855338234,0.935767219924182,1.08115058254386,1.07755719444965,0.98464678434396,1.12863598250148,1.04039803565985,1.20719693256904,1.10002988260109,1.2132291025293,1.16091945125221,1.05834861458798,1.22668175017135,1.13064346702934,1.11584515329854,1.21888386195574,1.24653480617288,1.13623424362756,1.12299131069674
"Arnaud_Batilde",0.516533664780149,0.527195869946145,0.817341869966812,0,0.577126157391728,0.470864114660894,0.596518865331945,0.731276707285391,0.500772344023485,0.532782332986037,0.683400061136362,0.683265070189664,0.512932793716249,0.621897729395623,0.55325180917864,1.16342169293997,1.06301405244425,1.1314952020069,0.887134016926192,0.833456492935571,0.994098654505435,1.12917600986752,1.19777435559579,1.16095940062233,1.13768372308117,1.1295274168173,1.06306499527642,1.15428672404782,1.23904843581271,0.933546082930488,1.14454680822939,1.05299258287589,1.11703418774618,1.15526761340332,1.23507862434839,1.17563204204747,1.11800445767126,1.12481140598829,1.12244379786515,0.954247704415183,0.90912416512753,1.11165656159929,0.858877664821883,1.16147394566166,1.14887141990639,1.17739580839645,0.84298570280207,0.853074466361696,0.740343060266698,1.04753928251153,0.930068357807632,1.19262768686856,1.00792502902022,0.909344285058598,0.782536386583143,0.857263403812423,0.986415829055657,0.882529044099726,1.03056730072926,0.913923926038672,1.11675188631114,0.861686210986748,0.953974903291124,1.19965782090893,1.13979058098356,1.14179763921114,1.24828286240213,1.25241011638401,1.1349491775026,1.17822744913882,1.29917082920132,0.932430620931517,1.17372633549681,0.989053846866184,1.00677955841045,1.06823584602731,1.12785244809667,0.825080718118699,0.955368620071387,0.825445244274406,0.790260143178911,0.808900470650024,0.794025187128618,0.83662711469475,1.15705501168997,0.902712561752892,1.18393156092735,1.14309862410938,1.32339506918258,1.13977206679742,0.937731303200233,1.20137027864282,1.13284980326828,1.05124968801927,1.11110459697272,1.09458498937037,1.31969266486394,1.10915582497343,1.15868518678191,1.28150794359777,1.22329064125732,1.27103877320339,1.23666093755172,1.17139014682418,1.24817236741861,1.23064209448327,1.1454017222793,1.03611819457136
"Arnaud_Clary",0.626561028463826,0.562465475130247,0.852633138748367,0.577126157391728,0,0.455182065011447,0.485843362761205,0.537441639465546,0.635062474360471,0.657686817742287,0.713542801947834,0.730408556559412,0.629290640355975,0.51966511281883,0.565611322336538,1.17435135247478,0.976485252221471,1.21030006514044,0.942810692867736,1.01214637117645,1.09758809446459,1.14701419290915,1.24339235073069,1.14722508879894,1.10787748878504,1.22852876549432,1.11910869454846,1.17681638079219,1.26855561212407,1.06682453582989,1.26404199732201,1.11104803053239,1.07217679293464,1.08345195993043,1.15361720683415,1.19583039577619,1.08533255033223,1.0043431663916,1.00644450925152,0.98301013305428,0.99144801862635,1.04961387588015,0.875293490971776,1.11612730037754,1.14781289357321,1.18421769279676,0.898376506168024,0.913931170466232,0.844605594384995,1.067237382125,0.992521556158371,1.06945604414058,1.01309158705616,0.895125369126203,0.875914348946253,0.797033694110988,0.951983247177808,0.966318531108614,0.970742025471866,0.909637331373976,1.01572896977088,0.800628355728257,0.843163817226635,1.19578988546387,1.06472544842019,0.970662610849138,1.20573528955021,1.24175493895721,1.24080515381257,1.09771530326588,1.30438194940039,1.01853765817251,1.12894061076827,0.936577116363098,0.974590153409729,1.01735667498918,1.09683559890821,0.981967298523736,1.06696143819404,0.858721533455828,0.884317093404269,0.840641877745768,0.86564071856707,0.932274262620189,1.11286299369081,0.892366953931181,1.23864740180254,1.05453315483113,1.32740494826157,1.05955211004097,0.964145847196789,1.07301182780164,1.03416592987946,1.01333811768225,1.04297561583985,1.03939439765263,1.22057378384572,1.11411931931624,1.09123684475939,1.15394159612181,1.20811842951199,1.16497710918864,1.12325813411716,1.13676782582649,1.21313231513054,1.17456035222539,1.12978490066554,1.16184591678006
"Arnaud_Epoux",0.519386417204627,0.461329541989465,0.665685649330034,0.470864114660894,0.455182065011447,0,0.554423443783487,0.642150180604949,0.420216563385554,0.414419568045503,0.611634963695402,0.749865309504447,0.471479305187929,0.45338067476861,0.602066819415002,1.19741336011199,1.00100320628522,1.21255047372469,0.912082018551107,1.02893345953719,1.21383110730746,1.0333780194118,1.1978280959153,1.14755209175659,1.04810897397274,1.17389130354289,1.14225440431984,1.10861724301085,1.20017946188742,0.876023597619363,1.06934269366427,0.901550586325725,1.07663854391385,1.18021054147927,1.2228304730783,1.2639694686701,1.11029997876345,1.07652818770393,1.05305300835719,0.841011168152908,0.885494327676759,1.00232409922047,0.780358433639378,1.22362910663458,1.17569119831568,1.27116087815606,0.946825036660433,0.966007255348307,0.89147573171974,1.03427978050279,1.01043247117224,1.15424692973362,1.04192083248325,0.907400249687503,0.877067561443776,0.86391863873405,1.0578909629322,0.89857141533492,0.987987761424518,0.98200773591689,1.18559454493211,0.815855636436208,1.00391469859955,1.16016362022043,0.970043032428373,1.05208895407933,1.16935065373323,1.12559357353317,1.23653221242094,1.21339805615311,1.36012228332007,1.0862416886192,1.16773213081504,0.920228511803744,0.983250663589881,0.991458821284971,1.19180757221179,0.956203338124012,1.02756696618064,0.761271282037717,0.793031628006866,0.741444947438286,0.882672878993628,0.908428076616368,1.13852000517883,0.813082346153618,1.19592922458105,0.99901448402041,1.3606134095327,0.982616340447996,0.828868937301882,1.0536147332477,1.02530255365822,0.994822787698869,1.09448313804785,1.04001319356803,1.33833814053737,1.20454621150329,1.21821638417144,1.26271346968638,1.26345823779662,1.20050983786846,1.20969502036355,1.17211439365861,1.40373501134598,1.30013601355896,1.2085561679113,1.25105487403926
"Arnaud_Fanny",0.594268691825191,0.441952316604842,0.746381358557925,0.596518865331945,0.485843362761205,0.554423443783487,0,0.602185560345501,0.557759790463215,0.64345386334644,0.56942575535163,0.636411508314957,0.725534598440679,0.581330400523924,0.52339375786057,1.10394459511358,1.12423875145081,1.0776661392431,1.04371854858813,0.962616498061108,1.07178858681091,1.2503976992272,1.25298841561546,1.21795464078509,1.19805032619132,1.08009435749968,1.11906781261538,1.14875702704965,1.23040548831979,1.27567286416586,1.32981986287865,1.20557922936168,1.01699432572921,0.99375632551626,1.12318666972525,1.17080079250978,1.11586984552456,1.14301387581218,0.938017846072935,0.893726173409289,0.898036048906623,0.981825578015024,0.828668542788966,1.01917468720062,1.07532721145143,1.06169116333835,0.896898175012096,0.927964999484495,0.767465177647795,1.2062280076508,1.04452953948421,1.22910135441707,1.16522641689569,1.03221085060694,0.759420793870302,0.859432715512544,0.973724771102603,0.909626015932217,1.02954952987206,0.824344550773379,1.06184420841758,0.86973949746383,0.835561060526106,1.14576243105675,1.09676662285247,1.17582013412799,1.24383790288111,1.25260385458789,1.10652233346424,1.10570781034711,1.1303412800931,0.893070447874811,1.01598495663601,1.00979317714479,1.0084107636663,1.08922803314487,1.01172909779962,0.943328706351378,1.07874115936479,1.00527584192929,0.952310409688219,0.926390701547084,0.982633124040689,1.01284089889477,1.20045477194329,1.00095137429681,1.12568868358467,1.32726285749833,1.21696385222462,1.12818740332466,0.885018109634193,1.1844428442319,1.11644757602222,0.995422039704841,1.02050813813553,1.05495230022105,1.15823607597493,1.09249576812482,1.17101267533379,1.18554587791462,1.08404050713716,1.086273751901,1.14688543841967,1.16479474558329,1.07619517865704,1.19799814964558,1.1063482263779,1.0414871736104
"Arnaud_Julie",0.73803400965194,0.513137139365436,0.851499173095682,0.731276707285391,0.537441639465546,0.642150180604949,0.602185560345501,0,0.650934343889832,0.692588214856434,0.635282590554946,0.737807950309168,0.735309966386452,0.616314233953258,0.58594292568793,1.06350221359803,1.07081024062991,1.10127199408484,1.05683617300203,0.975155701598128,1.0367825523406,1.20457651217565,1.16028326447216,1.18671703938835,1.30123323849342,1.03023856992388,1.03165621716098,1.13625552389662,1.1870105990332,1.1074845342934,1.13596977404591,1.13524217392964,1.04106289985632,1.16411353899463,1.19533504233203,1.09739670202949,1.06130768049778,1.07982811172174,1.01608760577821,0.916009205483903,1.03489205274969,1.03962786381041,0.999019953930145,1.01296578861686,1.11193472387503,0.99922295956748,0.987370854523887,1.03732402980356,0.950735319536341,1.03854697185704,1.0078759381266,1.1577835837031,1.05323149558532,0.957788287078709,0.810438940355278,0.788334937747241,0.963176862424912,0.943843946169195,1.07645070169969,0.903719151649941,0.975426088191791,0.90446677915729,0.837087592770948,1.19830505615313,1.2064011852907,0.988881124362944,1.15161437342631,1.17487389107314,0.950534538823014,1.1121783383471,1.12493357187778,0.880680341037407,1.22027510304809,1.1021731327734,1.10493765949851,1.10937414095797,0.99665454932312,0.890614307105278,0.878037984519793,0.981708849457753,0.942538571461435,1.08199185078144,0.906181055087098,0.922106225696213,1.05997401787388,1.05914962597436,0.999542056218729,1.09703067308442,1.1951562224221,1.12280828463859,0.95682089937329,1.03976194472482,1.06718946150484,1.0803324572331,1.12635978557379,1.11213880312452,1.15508378917837,1.08854214285396,1.06481163261073,1.1390624144702,1.03862624128265,1.09894518125529,1.15217792322337,1.18367997723956,1.0880286653233,1.18658560887632,1.06337610291577,1.06607557763153
"Arnaud_Lucie",0.539454778062543,0.504771026381049,0.758237128221532,0.500772344023485,0.635062474360471,0.420216563385554,0.557759790463215,0.650934343889832,0,0.567142802797667,0.606653168577269,0.734130848126537,0.524083539157639,0.595036083220874,0.585433889116407,1.12318236737713,1.13079381444461,1.14459805606832,1.01153142628135,0.95993841956845,1.11639255063587,1.09374070570072,1.2150711206232,1.18504825606292,1.10594673741323,1.057048203348,1.1118152120403,1.1214150756419,1.15544614277189,0.964311558251861,1.08121783105277,1.03700389885756,1.04469495907178,1.16726386012795,1.27479182822942,1.22053788369472,1.09128478829758,1.04960008053017,1.11981857117049,0.951347609030541,0.984504185800444,1.08361497791001,0.900407920699891,1.14549578126926,1.17438338816544,1.13376795044956,0.892769923739415,0.904449624529276,0.862370178578999,1.08223704252834,0.948974302650515,1.19199742305639,1.01709418458153,0.935975012274507,0.761082009618518,0.87276660106508,1.05902027100593,0.927869506158923,1.0198196534824,0.950730347330893,1.17082824030621,0.923761511598158,1.00589703317634,1.14726441325598,1.08306956309705,1.06217985745244,1.17627984039146,1.14564253965036,1.10784168447453,1.23145755009637,1.25486162084807,0.925117415468816,1.15306777039861,1.02375403523767,0.98851835801711,1.02117539917509,1.10447260188085,0.880384151525664,0.928950515530397,0.816319036970407,0.807343309667398,0.840531836776229,0.825443455302947,0.927038134868327,1.19916494302416,0.959236696351264,1.16014376083402,1.12921243171654,1.29464368068107,1.12142300737532,0.857738664996015,1.15727051240665,1.10505199505957,1.09003186237418,1.12985682318237,1.07197947153715,1.30098356410529,1.09726196442174,1.16889947275406,1.24963632617933,1.15518512697121,1.20657061390738,1.2312489025215,1.19449628296067,1.2369179506874,1.25717470165954,1.12646993733187,1.14370415745302
"Arnaud_Matinees",0.479189390352482,0.57953103523185,0.736056844613313,0.532782332986037,0.657686817742287,0.414419568045503,0.64345386334644,0.692588214856434,0.567142802797667,0,0.557342023306843,0.668511140395561,0.465355182926254,0.60560113205485,0.562544979825552,1.18913098929748,0.975628330698632,1.14665609624773,1.0302252362772,0.922862942146988,1.0506947696012,1.10011694848969,1.15086128553589,1.10354158600846,1.1020999298374,1.10255331104698,1.06699938099925,1.06587971280407,1.03991552486312,0.851225993151644,1.00540627144838,0.952328867962303,0.980886385964663,1.14707542859345,1.18697946295866,1.12029456321778,1.05108400848322,1.17632074362264,1.09512567798153,0.827597365108686,0.891878516966635,0.998032412957489,0.855049282255918,1.1832112328423,1.17717093375841,1.17494846580733,0.990455502972177,1.02903622992051,1.02657482112583,0.967778021614485,0.966232732679904,1.15703276908003,1.00032133707548,1.0026458733268,0.899343470979139,0.919483935450478,1.06348519639387,0.908412937012307,1.06486184391404,1.10440446410083,1.17191303926472,0.911230135524633,1.03373451418208,1.03032259707126,1.00756656612632,0.994905667299933,1.04401194464945,0.967547250610901,0.993129521518424,1.23982946036727,1.16055640316535,0.946985875541852,1.2359255827297,1.00880935257458,1.07881655226729,1.04359611377645,1.13298979380537,0.842861673727942,0.855500450379592,0.844929196687379,0.797354683013461,0.859938996020377,0.840696304089929,0.816883814485275,1.11011366894259,0.953577258566595,1.14444571791548,1.10218065255077,1.27885607891169,1.08379333530783,0.893952170862096,1.11407594192223,1.08741456482061,1.04814853544974,1.2269113145731,1.11214076051035,1.33606696393185,1.17052874748796,1.19970997180939,1.27696996282503,1.25601930365308,1.27429973230773,1.24738709637854,1.23727170021277,1.3425685000367,1.32308054688988,1.12756333235154,1.26080710595213
