Source,Target,Weight,Type
Abbes_Voyage,Dulaurens_Compere,2,undirected
Abbes_Voyage,Mercier_An,1,undirected
Abbes_Voyage,Tiphaigne_Amilec,3,undirected
AndreSerieys_Comte,Anonym_Enfant,2,undirected
AndreSerieys_Comte,Anonym_Suzon,1,undirected
AndreSerieys_Comte,Gimat_Voyage,1,undirected
AndreSerieys_Comte,Maubert_Paisan,4,undirected
AndreSerieys_Comte,Quesne_Folies,3,undirected
AndreSerieys_Comte,Voltaire_Candide,1,undirected
Anonym_Enfant,AndreSerieys_Comte,2,undirected
Anonym_Enfant,Anonyme_Venus,4,undirected
Anonym_Enfant,Boufflers_Reine,3,undirected
Anonym_Enfant,Falconet_Debut,2,undirected
Anonym_Enfant,Mirabeau_Rideau,3,undirected
Anonym_Enfant,PigaultLebrun_Enfant,5,undirected
Anonym_Enfant,Retif_AntiJustine,5,undirected
Anonym_Enfant,Reveroni_Pauliska,1,undirected
Anonym_Histoire,Dulaurens_Compere,5,undirected
Anonym_Histoire,Maubert_Paisan,6,undirected
Anonym_Histoire,Tiphaigne_Galligenes,1,undirected
Anonym_Suzon,AndreSerieys_Comte,1,undirected
Anonym_Suzon,Doppet_Memoires,6,undirected
Anonym_Suzon,Dorvigny_Tante,2,undirected
Anonyme_Venus,Anonym_Enfant,4,undirected
Anonyme_Venus,Cazotte_Diable,1,undirected
Anonyme_Venus,Denon_Point,1,undirected
Anonyme_Venus,Dorvigny_Tante,3,undirected
Anonyme_Venus,Mirabeau_Rideau,1,undirected
Anonyme_Venus,PigaultLebrun_Enfant,1,undirected
Anonyme_Venus,Retif_AntiJustine,3,undirected
Anonyme_Zoloe,Beckford_Vathek,1,undirected
Anonyme_Zoloe,Chaussard_Diable,2,undirected
Anonyme_Zoloe,Mirabeau_Conversion,3,undirected
Arnaud_Adelson,Arnaud_Epoux,3,undirected
Arnaud_Adelson,Arnaud_Fanny,3,undirected
Arnaud_Adelson,Arnaud_Matinees,1,undirected
Arnaud_Adelson,Arnaud_Nancy,1,undirected
Arnaud_Adelson,Arnaud_Selicourt,2,undirected
Arnaud_Adelson,Brument_Henriette,1,undirected
Arnaud_Anne,Arnaud_Clary,2,undirected
Arnaud_Anne,Arnaud_Epoux,3,undirected
Arnaud_Anne,Arnaud_Fanny,5,undirected
Arnaud_Anne,Arnaud_Julie,2,undirected
Arnaud_Anne,Arnaud_Nancy,3,undirected
Arnaud_Anne,Arnaud_Sidney,3,undirected
Arnaud_Bal,Arnaud_Epoux,3,undirected
Arnaud_Bal,Arnaud_Selicourt,1,undirected
Arnaud_Bal,Merard_Bergeries,2,undirected
Arnaud_Batilde,Arnaud_Epoux,2,undirected
Arnaud_Batilde,Arnaud_Lucie,4,undirected
Arnaud_Batilde,Arnaud_Sargines,1,undirected
Arnaud_Batilde,Arnaud_Selicourt,1,undirected
Arnaud_Clary,Arnaud_Anne,2,undirected
Arnaud_Clary,Arnaud_Epoux,3,undirected
Arnaud_Clary,Arnaud_Fanny,1,undirected
Arnaud_Clary,Arnaud_Julie,4,undirected
Arnaud_Epoux,Arnaud_Adelson,3,undirected
Arnaud_Epoux,Arnaud_Anne,3,undirected
Arnaud_Epoux,Arnaud_Bal,3,undirected
Arnaud_Epoux,Arnaud_Batilde,2,undirected
Arnaud_Epoux,Arnaud_Clary,3,undirected
