Source,Target,Weight,Type
Abbes_Voyage,Chaussard_Diable,1,undirected
Abbes_Voyage,Dulaurens_Compere,35,undirected
Abbes_Voyage,Mercier_An,4,undirected
Abbes_Voyage,Moreau_Memoire,17,undirected
Abbes_Voyage,Morelly_Naufrage,1,undirected
Abbes_Voyage,Tiphaigne_Amilec,70,undirected
Abbes_Voyage,Tiphaigne_Galligenes,5,undirected
AndreSerieys_Comte,Anonym_Enfant,49,undirected
AndreSerieys_Comte,Anonym_Suzon,27,undirected
AndreSerieys_Comte,Boufflers_Reine,13,undirected
AndreSerieys_Comte,Gimat_Voyage,13,undirected
AndreSerieys_Comte,Lesuire_Aventurier,3,undirected
AndreSerieys_Comte,Maubert_Paisan,81,undirected
AndreSerieys_Comte,PigaultLebrun_Enfant,16,undirected
AndreSerieys_Comte,Prevost_Monde,5,undirected
AndreSerieys_Comte,Quesne_Folies,37,undirected
AndreSerieys_Comte,Reveroni_Pauliska,1,undirected
AndreSerieys_Comte,Voltaire_Candide,3,undirected
AndreSerieys_Comte,Voltaire_Scarmentado,3,undirected
Anonym_Enfant,AndreSerieys_Comte,49,undirected
Anonym_Enfant,Anonyme_Venus,75,undirected
Anonym_Enfant,Bellin_Nuit,5,undirected
Anonym_Enfant,Boufflers_Reine,41,undirected
Anonym_Enfant,Dorvigny_Tante,3,undirected
Anonym_Enfant,Falconet_Debut,46,undirected
Anonym_Enfant,Genlis_Chevaliers,2,undirected
Anonym_Enfant,Lesuire_Aventurier,21,undirected
Anonym_Enfant,Mirabeau_Rideau,64,undirected
Anonym_Enfant,PigaultLebrun_Enfant,112,undirected
Anonym_Enfant,Retif_AntiJustine,84,undirected
Anonym_Enfant,Reveroni_Pauliska,32,undirected
Anonym_Histoire,Beaumont_Clarice,5,undirected
Anonym_Histoire,Dulaurens_Compere,104,undirected
Anonym_Histoire,Maubert_Paisan,126,undirected
Anonym_Histoire,Prevost_Monde,6,undirected
Anonym_Histoire,Tiphaigne_Galligenes,15,undirected
Anonym_Suzon,AndreSerieys_Comte,27,undirected
Anonym_Suzon,Boufflers_Reine,10,undirected
Anonym_Suzon,Doppet_Memoires,110,undirected
Anonym_Suzon,Dorvigny_Tante,21,undirected
Anonym_Suzon,Mirabeau_Rideau,14,undirected
Anonym_Suzon,Prevost_Monde,13,undirected
Anonym_Suzon,Rosny_Firmin,8,undirected
Anonyme_Venus,Anonym_Enfant,75,undirected
Anonyme_Venus,Cazotte_Diable,3,undirected
Anonyme_Venus,Denon_Point,15,undirected
Anonyme_Venus,Dorvigny_Tante,50,undirected
Anonyme_Venus,Falconet_Debut,8,undirected
Anonyme_Venus,Gimat_Voyage,3,undirected
Anonyme_Venus,Mirabeau_Conversion,13,undirected
Anonyme_Venus,Mirabeau_Rideau,21,undirected
Anonyme_Venus,PigaultLebrun_Enfant,23,undirected
Anonyme_Venus,Retif_AntiJustine,74,undirected
Anonyme_Zoloe,Barthe_Femme,6,undirected
Anonyme_Zoloe,Beckford_Vathek,33,undirected
Anonyme_Zoloe,Bernardin_Paul,1,undirected
Anonyme_Zoloe,Cazotte_Honneur,3,undirected
Anonyme_Zoloe,Cazotte_Ollivier,2,undirected
Anonyme_Zoloe,Chaussard_Diable,54,undirected
Anonyme_Zoloe,Mirabeau_Conversion,24,undirected
Anonyme_Zoloe,Montdorge_Nadir,2,undirected
Anonyme_Zoloe,Nerciat_Aphrodites,3,undirected
Anonyme_Zoloe,Puget_Periphas,1,undirected
Arnaud_Adelson,Arnaud_Anne,2,undirected
Arnaud_Adelson,Arnaud_Batilde,5,undirected
Arnaud_Adelson,Arnaud_Epoux,64,undirected
Arnaud_Adelson,Arnaud_Fanny,32,undirected
Arnaud_Adelson,Arnaud_Lucie,16,undirected
Arnaud_Adelson,Arnaud_Matinees,37,undirected
Arnaud_Adelson,Arnaud_Nancy,7,undirected
Arnaud_Adelson,Arnaud_Sargines,3,undirected
Arnaud_Adelson,Arnaud_Selicourt,36,undirected
Arnaud_Adelson,Brument_Henriette,4,undirected
Arnaud_Anne,Arnaud_Adelson,2,undirected
Arnaud_Anne,Arnaud_Clary,24,undirected
Arnaud_Anne,Arnaud_Epoux,71,undirected
Arnaud_Anne,Arnaud_Fanny,98,undirected
Arnaud_Anne,Arnaud_Julie,54,undirected
Arnaud_Anne,Arnaud_Lucie,24,undirected
Arnaud_Anne,Arnaud_Nancy,66,undirected
Arnaud_Anne,Arnaud_Sargines,16,undirected
Arnaud_Anne,Arnaud_Sidney,53,undirected
Arnaud_Anne,Arnaud_Zenothemis,28,undirected
Arnaud_Bal,Arnaud_Epoux,63,undirected
Arnaud_Bal,Arnaud_Lucie,8,undirected
Arnaud_Bal,Arnaud_Matinees,1,undirected
Arnaud_Bal,Arnaud_Selicourt,15,undirected
Arnaud_Bal,Merard_Bergeries,52,undirected
Arnaud_Batilde,Arnaud_Adelson,5,undirected
Arnaud_Batilde,Arnaud_Epoux,53,undirected
Arnaud_Batilde,Arnaud_Lucie,66,undirected
Arnaud_Batilde,Arnaud_Sargines,8,undirected
Arnaud_Batilde,Arnaud_Selicourt,22,undirected
Arnaud_Batilde,Arnaud_Zenothemis,8,undirected
Arnaud_Batilde,Beauharnais_Lettres,2,undirected
Arnaud_Batilde,Mouhy_Opuscule,11,undirected
Arnaud_Clary,Arnaud_Anne,24,undirected
Arnaud_Clary,Arnaud_Epoux,55,undirected
Arnaud_Clary,Arnaud_Fanny,42,undirected
Arnaud_Clary,Arnaud_Julie,84,undirected
Arnaud_Clary,Arnaud_Sidney,1,undirected
Arnaud_Epoux,Arnaud_Adelson,64,undirected
Arnaud_Epoux,Arnaud_Anne,71,undirected
Arnaud_Epoux,Arnaud_Bal,63,undirected
Arnaud_Epoux,Arnaud_Batilde,53,undirected
Arnaud_Epoux,Arnaud_Clary,55,undirected
Arnaud_Epoux,Arnaud_Fanny,1,undirected
Arnaud_Epoux,Arnaud_Julie,5,undirected
Arnaud_Epoux,Arnaud_Lucie,111,undirected
Arnaud_Epoux,Arnaud_Matinees,120,undirected
Arnaud_Epoux,Arnaud_Nancy,15,undirected
Arnaud_Epoux,Arnaud_Selicourt,49,undirected
Arnaud_Epoux,Arnaud_Sidney,70,undirected
Arnaud_Epoux,Arnaud_Zenothemis,10,undirected
Arnaud_Epoux,Beauharnais_Lettres,19,undirected
Arnaud_Epoux,Merard_Bergeries,1,undirected
Arnaud_Epoux,Mouhy_Opuscule,38,undirected
Arnaud_Epoux,Popeliniere_Daira,26,undirected
Arnaud_Fanny,Arnaud_Adelson,32,undirected
Arnaud_Fanny,Arnaud_Anne,98,undirected
Arnaud_Fanny,Arnaud_Clary,42,undirected
Arnaud_Fanny,Arnaud_Epoux,1,undirected
Arnaud_Fanny,Arnaud_Nancy,22,undirected
Arnaud_Fanny,Arnaud_Sargines,5,undirected
Arnaud_Fanny,Arnaud_Zenothemis,9,undirected
Arnaud_Julie,Arnaud_Anne,54,undirected
Arnaud_Julie,Arnaud_Clary,84,undirected
Arnaud_Julie,Arnaud_Epoux,5,undirected
Arnaud_Julie,Arnaud_Sidney,13,undirected
Arnaud_Julie,Arnaud_Zenothemis,3,undirected
Arnaud_Lucie,Arnaud_Adelson,16,undirected
Arnaud_Lucie,Arnaud_Anne,24,undirected
Arnaud_Lucie,Arnaud_Bal,8,undirected
Arnaud_Lucie,Arnaud_Batilde,66,undirected
Arnaud_Lucie,Arnaud_Epoux,111,undirected
Arnaud_Lucie,Arnaud_Selicourt,67,undirected
Arnaud_Matinees,Arnaud_Adelson,37,undirected
Arnaud_Matinees,Arnaud_Bal,1,undirected
Arnaud_Matinees,Arnaud_Epoux,120,undirected
Arnaud_Matinees,Arnaud_Nancy,26,undirected
Arnaud_Matinees,Arnaud_Sargines,31,undirected
Arnaud_Matinees,Arnaud_Selicourt,71,undirected
Arnaud_Matinees,Arnaud_Zenothemis,18,undirected
Arnaud_Matinees,Cazotte_Honneur,12,undirected
Arnaud_Nancy,Arnaud_Adelson,7,undirected
Arnaud_Nancy,Arnaud_Anne,66,undirected
Arnaud_Nancy,Arnaud_Epoux,15,undirected
Arnaud_Nancy,Arnaud_Fanny,22,undirected
Arnaud_Nancy,Arnaud_Matinees,26,undirected
Arnaud_Sargines,Arnaud_Adelson,3,undirected
Arnaud_Sargines,Arnaud_Anne,16,undirected
Arnaud_Sargines,Arnaud_Batilde,8,undirected
Arnaud_Sargines,Arnaud_Fanny,5,undirected
Arnaud_Sargines,Arnaud_Matinees,31,undirected
Arnaud_Sargines,Arnaud_Zenothemis,63,undirected
Arnaud_Sargines,Tressan_Jehan,4,undirected
Arnaud_Selicourt,Arnaud_Adelson,36,undirected
Arnaud_Selicourt,Arnaud_Bal,15,undirected
Arnaud_Selicourt,Arnaud_Batilde,22,undirected
Arnaud_Selicourt,Arnaud_Epoux,49,undirected
Arnaud_Selicourt,Arnaud_Lucie,67,undirected
Arnaud_Selicourt,Arnaud_Matinees,71,undirected
Arnaud_Selicourt,Beauharnais_Lettres,2,undirected
Arnaud_Selicourt,Mouhy_Opuscule,6,undirected
Arnaud_Sidney,Arnaud_Anne,53,undirected
Arnaud_Sidney,Arnaud_Clary,1,undirected
Arnaud_Sidney,Arnaud_Epoux,70,undirected
Arnaud_Sidney,Arnaud_Julie,13,undirected
Arnaud_Sidney,Arnaud_Zenothemis,80,undirected
Arnaud_Zenothemis,Arnaud_Anne,28,undirected
Arnaud_Zenothemis,Arnaud_Batilde,8,undirected
Arnaud_Zenothemis,Arnaud_Epoux,10,undirected
Arnaud_Zenothemis,Arnaud_Fanny,9,undirected
Arnaud_Zenothemis,Arnaud_Julie,3,undirected
Arnaud_Zenothemis,Arnaud_Matinees,18,undirected
Arnaud_Zenothemis,Arnaud_Sargines,63,undirected
Arnaud_Zenothemis,Arnaud_Sidney,80,undirected
BarbeMarbois_Parisienne,Barthe_Femme,126,undirected
