Source,Target,Weight,Type
Arnaud_Adelson,Arnaud_Anne,6,undirected
Arnaud_Adelson,Arnaud_Batilde,3,undirected
Arnaud_Adelson,Arnaud_Epoux,73,undirected
Arnaud_Adelson,Arnaud_Fanny,29,undirected
Arnaud_Adelson,Arnaud_Lucie,22,undirected
Arnaud_Adelson,Arnaud_Matinees,40,undirected
Arnaud_Adelson,Arnaud_Nancy,13,undirected
Arnaud_Adelson,Arnaud_Sargines,7,undirected
Arnaud_Adelson,Arnaud_Selicourt,41,undirected
Arnaud_Adelson,Arnaud_Zenothemis,2,undirected
Arnaud_Anne,Arnaud_Adelson,6,undirected
Arnaud_Anne,Arnaud_Clary,23,undirected
Arnaud_Anne,Arnaud_Epoux,64,undirected
Arnaud_Anne,Arnaud_Fanny,95,undirected
Arnaud_Anne,Arnaud_Julie,60,undirected
Arnaud_Anne,Arnaud_Lucie,26,undirected
Arnaud_Anne,Arnaud_Nancy,66,undirected
Arnaud_Anne,Arnaud_Sargines,18,undirected
Arnaud_Anne,Arnaud_Sidney,53,undirected
Arnaud_Anne,Arnaud_Zenothemis,23,undirected
Arnaud_Bal,Arnaud_Batilde,2,undirected
Arnaud_Bal,Arnaud_Epoux,63,undirected
Arnaud_Bal,Arnaud_Fanny,6,undirected
Arnaud_Bal,Arnaud_Lucie,23,undirected
Arnaud_Bal,Arnaud_Matinees,2,undirected
Arnaud_Bal,Arnaud_Selicourt,30,undirected
Arnaud_Batilde,Arnaud_Adelson,3,undirected
Arnaud_Batilde,Arnaud_Bal,2,undirected
Arnaud_Batilde,Arnaud_Epoux,51,undirected
Arnaud_Batilde,Arnaud_Lucie,67,undirected
Arnaud_Batilde,Arnaud_Sargines,4,undirected
Arnaud_Batilde,Arnaud_Selicourt,21,undirected
Arnaud_Batilde,Arnaud_Zenothemis,9,undirected
Arnaud_Clary,Arnaud_Anne,23,undirected
Arnaud_Clary,Arnaud_Epoux,65,undirected
Arnaud_Clary,Arnaud_Fanny,39,undirected
Arnaud_Clary,Arnaud_Julie,52,undirected
Arnaud_Clary,Arnaud_Sidney,23,undirected
Arnaud_Epoux,Arnaud_Adelson,73,undirected
Arnaud_Epoux,Arnaud_Anne,64,undirected
Arnaud_Epoux,Arnaud_Bal,63,undirected
Arnaud_Epoux,Arnaud_Batilde,51,undirected
Arnaud_Epoux,Arnaud_Clary,65,undirected
Arnaud_Epoux,Arnaud_Fanny,2,undirected
Arnaud_Epoux,Arnaud_Lucie,115,undirected
Arnaud_Epoux,Arnaud_Matinees,116,undirected
Arnaud_Epoux,Arnaud_Nancy,2,undirected
Arnaud_Epoux,Arnaud_Selicourt,44,undirected
Arnaud_Epoux,Arnaud_Sidney,65,undirected
Arnaud_Epoux,Arnaud_Zenothemis,4,undirected
Arnaud_Fanny,Arnaud_Adelson,29,undirected
Arnaud_Fanny,Arnaud_Anne,95,undirected
Arnaud_Fanny,Arnaud_Bal,6,undirected
Arnaud_Fanny,Arnaud_Clary,39,undirected
Arnaud_Fanny,Arnaud_Epoux,2,undirected
Arnaud_Fanny,Arnaud_Nancy,21,undirected
Arnaud_Fanny,Arnaud_Sargines,5,undirected
Arnaud_Fanny,Arnaud_Zenothemis,6,undirected
Arnaud_Julie,Arnaud_Anne,60,undirected
Arnaud_Julie,Arnaud_Clary,52,undirected
Arnaud_Julie,Arnaud_Nancy,7,undirected
Arnaud_Julie,Arnaud_Sidney,11,undirected
Arnaud_Julie,Arnaud_Zenothemis,3,undirected
Arnaud_Lucie,Arnaud_Adelson,22,undirected
Arnaud_Lucie,Arnaud_Anne,26,undirected
Arnaud_Lucie,Arnaud_Bal,23,undirected
Arnaud_Lucie,Arnaud_Batilde,67,undirected
Arnaud_Lucie,Arnaud_Epoux,115,undirected
Arnaud_Lucie,Arnaud_Selicourt,69,undirected
Arnaud_Matinees,Arnaud_Adelson,40,undirected
Arnaud_Matinees,Arnaud_Bal,2,undirected
