"","Arnaud_Adelson","Arnaud_Anne","Arnaud_Bal","Arnaud_Batilde","Arnaud_Clary","Arnaud_Epoux","Arnaud_Fanny","Arnaud_Julie","Arnaud_Lucie","Arnaud_Matinees","Arnaud_Nancy","Arnaud_Sargines","Arnaud_Selicourt","Arnaud_Sidney","Arnaud_Zenothemis","Beaumont_Belle","Beaumont_Clarice","Beaumont_Prince","Cazotte_Diable","Cazotte_Honneur","Cazotte_Ollivier","Charriere_Caliste","Charriere_Femmes","Charriere_Lausanne","Charriere_Neuchateloises","Charriere_Noble","Charriere_Observations","Charriere_Ruines","Charriere_Sainte","Crebillon_Atheniennes","Crebillon_Conte","Crebillon_Nuit","Diderot_Ceci","Diderot_Jacques","Diderot_Neveu","Diderot_Oiseau","Diderot_Pensees","Diderot_Religieuse","Diderot_Supplement","Ducray_Cinquante","Ducray_Coelina","Ducray_Soirees","Ducray_Victor","Duvernet_Devotions","Duvernet_Guillaume","Duvernet_Retraite","Florian_Estelle","Florian_Galatee","Florian_Numa","Genlis_Adele","Genlis_Chevaliers","Genlis_Emigres","Genlis_Meres","Loaisel_Ainsi","Loaisel_Comtesse","Loaisel_Dolbreuse","Marmontel_Belisaire","Marmontel_Contes","Marmontel_Dejeunes","Marmontel_Incas","Mercier_An","Mercier_Jezennemours","Mercier_Songes","Nerciat_Aphrodites","Nerciat_Doctorat","Nerciat_Felicia","Nerciat_Monrose","Neufville_Almanach_text_only","Neufville_Confessions","PigaultLebrun_Adele","PigaultLebrun_Enfant","PigaultLebrun_Kinglin","PigaultLebrun_Metusko","Retif_AntiJustine","Retif_Paysan","Retif_Paysanne","Retif_Sara","Retif_Vie","Riccoboni_Ernestine","Riccoboni_Histoire","Riccoboni_LettreJuliette","Riccoboni_LettresAdelaide","Riccoboni_LettresFanni","Riccoboni_MissJenny","Riccoboni_MylordRivers","Rousseau_Emile","Rousseau_Julie","Rousseau_Reine","Rousseau_Reveries","Sade_120","Sade_Aline","Sade_Crimes","Sade_Infortunes","Sade_Justine","Sade_Philosophie","Voltaire_Amabed","Voltaire_Bramin","Voltaire_Candide","Voltaire_Consoles","Voltaire_Eloge","Voltaire_Homme","Voltaire_Ingenu","Voltaire_Jenni","Voltaire_Micromegas","Voltaire_Oreilles","Voltaire_Princesse","Voltaire_Scarmentado","Voltaire_Songe","Voltaire_Taureau","XXX_Etourdi"
"Arnaud_Adelson",0,0.633142092839286,0.852026107517152,0.686659802816276,0.719231468654624,0.573369237936758,0.649558556348854,0.774321285299386,0.632940518577992,0.625817952305177,0.678445335058319,0.782449176163192,0.622455091937431,0.692850577378249,0.684526565752647,1.04904762142823,1.08832933106096,1.04875531200841,0.99828154444808,0.940362818469477,0.942173895018899,1.11042145228633,1.14847039788485,1.16634970667125,1.1854496942496,1.0531646462689,1.12028361025655,1.10127589027886,1.17288367942715,1.04915367108911,1.12052180521852,1.07691612108921,1.05578462656425,1.12243327377001,1.15481756943067,1.16470176220252,1.08288504981478,1.06836770992799,1.08328521999605,0.973701863609703,0.918556250628102,1.00914797505723,0.8557387359714,1.16398739751851,1.12479415654412,1.11340120988226,0.891702836161471,0.921392794239651,0.888288827948721,1.09192290153074,0.932896765375333,1.14613015374778,1.04590019678197,0.972861090668433,0.757696519205906,0.896578568738227,1.03728727279339,1.04019208424806,1.03895313013177,0.897251950700125,1.05758205771871,0.875967262120499,0.930157818512536,1.10866982215775,1.07298521049777,1.09287252208251,1.11292382850549,1.16432599873667,1.07491542063691,1.09855292861003,1.11060569633752,1.16845582268493,0.890813998115108,1.12063848227667,1.08761163256974,1.10338662479318,1.05060512183733,1.18703574013333,0.951508062288301,0.985026306019537,0.91633479407583,0.925151532670124,0.954877682166809,0.902073067732403,0.96873930417116,1.16013089542552,1.01174622451379,1.13773926333676,1.08277888410976,1.13447258912695,1.05712443202621,0.865088621940111,1.02692842497147,0.994652137012776,1.06344405370604,1.1099201397193,1.0856963988216,1.16972573571676,1.10144759861258,1.13869774722286,1.20556876065054,1.10444265320816,1.14023938398575,1.14921754552807,1.14393072757969,1.14055247899195,1.14433978474117,1.1457598135199,1.12968485538116,1.06177322926011
"Arnaud_Anne",0.633142092839286,0,0.933643069363191,0.702130891298441,0.657299968303161,0.586624535308548,0.608714255687939,0.663354256264621,0.639020403422626,0.704731726020168,0.655401397133757,0.811249073298787,0.720715295590471,0.622566584182789,0.703891498842746,1.0733099261308,1.05178601420869,1.01397807803396,1.06790267006982,0.989839269630437,1.0191299533762,1.11371242280888,1.12646367735086,1.13568163024748,1.15557548037453,1.04968782494661,1.11515568460643,1.07598854009131,1.13393104728083,1.03557409637799,1.12203636530923,1.08974016796544,1.04189531565121,1.11258614605445,1.15360303444258,1.16330287014364,1.07370190600039,1.02748425908138,1.01990803676143,0.96244193200843,0.962982313209816,1.02649670163252,0.907883494633924,1.11694302831835,1.09103635736465,1.07029300249096,0.91868362645388,0.969490105826343,0.868600439830175,1.09429335108427,1.03438833014858,1.17435348242766,1.09175117231745,0.99709859257898,0.739756386514817,0.85387804759363,0.989922245492149,1.03778418051195,1.06183667170545,0.908474200141933,1.02902555028491,0.907916666570698,0.887359699469655,1.15460866548438,1.10564329706851,1.18592654401618,1.19741812843784,1.19176680077551,1.11137571070491,1.07420482628654,1.14650399988354,1.17376378759804,0.903298887031613,1.16067522183657,1.10584886797012,1.11203270631138,1.14450951214784,1.09721390318265,0.954755817617635,0.970852619046243,0.95628348008836,0.982760815751365,0.960593661267238,0.89666688966197,1.00767129737496,1.07785523560354,1.00719911889098,1.0785537562933,1.10985063349916,1.17070193774919,1.0614911900047,0.918057713322542,1.0728010204919,1.01641407995164,1.02354760382863,1.08635905505138,1.07572691144844,1.16990271792919,1.08204457626932,1.09792753651849,1.14334754696155,1.11242073752037,1.09170750148459,1.14840821208551,1.11288612191621,1.17546466588591,1.15160405044042,1.09980964941595,1.11319082201218,1.09890862963916
"Arnaud_Bal",0.852026107517152,0.933643069363191,0,0.874129340543246,0.910234495482952,0.750312667193794,0.827292818508836,0.904945826153097,0.825267044478331,0.85643919442215,0.889606430215812,0.925351583693459,0.825320893599947,0.877664532268397,0.982797575921969,1.00978556435224,1.11013929768376,1.05074277162725,1.06422070758,0.995668732466499,1.06289167506344,1.09744716161359,1.05291830662528,1.08569039108523,1.08252424824869,1.02999791558636,1.04535537841867,1.0757928183546,1.06508818994291,0.985558776389492,0.949855817802938,0.96792000257065,1.01073917045343,1.00015429467412,1.05473695815642,0.969333709839339,1.07938863914876,1.10570061041593,1.04152776401428,0.972322657548296,1.02002397580383,1.04536691499079,1.00838542991441,1.04844781801828,1.10002616665709,1.03190846342352,0.996419381658063,1.00679161844775,1.0432759582865,1.0461882237795,1.02187238227561,1.1217412358144,1.05856862003591,0.987565463945382,0.979478174716363,0.973191367150177,1.06784482111027,0.86950584084796,1.03693391516539,1.02604001625862,1.11200644089654,0.961016795262389,1.01969931117015,0.96357785718793,0.980544197725075,0.908202852459074,1.02179547353188,0.986611903410029,1.05096123058958,1.00738236543807,1.07965236043316,1.05978234708783,0.963900846415883,0.960246414184351,1.00823400734383,1.03390398615435,0.969853609951065,1.08800176413481,0.937598063547264,0.902416389542945,0.982862969493338,0.964271227063499,0.888297243614337,1.00364638930713,0.984444881400189,1.07865234507932,1.00115968384597,1.01690945963043,1.0758492166895,1.01604092346785,1.07405756882075,0.96720509971445,1.08408658119577,1.05269246539806,1.01091931638317,1.06562056027898,1.04329351129738,1.08122592878754,1.04150825304245,1.09440583910276,1.10523951329016,1.03065286761915,1.11671544252764,1.06782453843703,1.10544371026203,1.08329580562138,1.13484240147048,1.07398534226238,1.08789394300729,0.93617354378189
"Arnaud_Batilde",0.686659802816276,0.702130891298441,0.874129340543246,0,0.755662597023472,0.628626255600958,0.756324006041027,0.795535581501405,0.611626954508176,0.692287902041312,0.770977185273118,0.793786708204068,0.645006820141739,0.700174019746555,0.684401936451485,1.11477975605046,1.06945932143013,1.05073042889697,0.965528860712974,0.922126505688058,1.00583012706048,1.11838383735363,1.13745243205757,1.12895909768938,1.15001801184334,1.01845964968283,1.06595889155612,1.09856168290431,1.17688275030569,0.932539414501902,1.03941840344769,1.03180154199649,1.0497057126937,1.16813540103211,1.17609742726863,1.12403036373387,1.07186264486059,1.05380888652962,1.07701604108046,1.00140513909445,0.989236134546227,1.10164097236465,0.972874157524163,1.09942757194295,1.08590434964616,1.07526791402575,0.920614406667295,0.950374192318234,0.839179762838355,1.03414195641173,0.955630758937729,1.1724204781391,1.04229372808809,0.969934942629055,0.863305127224386,0.930134995636383,0.932495152786904,0.912422871881304,1.01666014854717,0.916797193474325,1.02835054680067,0.917638102319176,0.93332003999311,1.15767999017218,1.1099058144855,1.17975222622437,1.20070932967038,1.19513443491917,1.11322785788403,1.10233254763267,1.17726874666563,1.20665231267257,0.887167738420042,1.16219229615724,1.06770598064157,1.0905870746329,1.11222783200161,1.12788616270072,0.90163585024163,0.944296660749032,0.888093527187017,0.904049024348903,0.901629631799393,0.85824342421399,0.935787926188175,1.10211759479608,0.9613122038273,1.08956746465858,1.10943361139685,1.21681051233185,1.07464262872299,0.94527784995666,1.12686785928491,1.07307927193155,1.04657567862356,1.10185375431501,1.06656228254448,1.20519287334412,1.08108697434733,1.10748966134541,1.18139385984006,1.16279493334697,1.15692953746533,1.16486108824663,1.12602202888231,1.16105572838746,1.09878248248517,1.10271793803514,1.0779182084627,1.09587717849213
"Arnaud_Clary",0.719231468654624,0.657299968303161,0.910234495482952,0.755662597023472,0,0.61796525087181,0.680343455139928,0.676331424699935,0.746544139777061,0.741522644448092,0.757530775516644,0.880219659186367,0.719879393652569,0.669929598224252,0.761997791966856,1.09369642055093,1.01885343678683,1.1144166428984,1.0100423805005,0.98516012925871,1.05870752014344,1.08262360590698,1.12740784395294,1.12132000696656,1.11200921367537,1.06981346212291,1.10787871392188,1.08250314989854,1.17203995529474,1.04355825438113,1.15646411314706,1.05171807175891,0.997201886254737,1.10526942415554,1.15192938573441,1.14900893011317,1.08060133947275,1.04665253867331,1.05099833076762,0.96483553596466,0.992997922467893,1.02182660497192,0.926043295633319,1.1242715005604,1.10054300741184,1.09032610553653,0.961584859174847,0.95659386154709,0.925968450727238,1.02325661032436,0.984091122006333,1.06919160843065,1.0193034068351,0.969357297560543,0.902819270620062,0.857407861283486,1.0009837396853,0.961679681329204,1.02006815973428,0.963110664095844,1.0236541341452,0.895606366482823,0.9260645336848,1.14190404912336,1.05105533319995,1.10051756859322,1.12368218723981,1.15008820327373,1.03160657777248,1.11903583238426,1.10144556125328,1.20478848373348,0.996201668863374,1.10465137362909,0.994573033995045,1.02815630736612,1.02831379110252,1.07329564103482,0.945351071809424,0.998054083257027,0.918605666419933,0.953043785173345,0.910228974814604,0.892436936152609,0.948897058851373,1.07567971711822,0.926515640619152,1.13699154449656,1.05290034860249,1.18255331580865,1.036247729122,0.949720639412637,1.01513489924786,1.01709162411487,1.03502942608336,1.0704905379572,1.06618635946964,1.1517041390329,1.08802760314714,1.08944388224797,1.14642018609449,1.12546334472684,1.10421010626123,1.13552370166404,1.10990982152607,1.16658194630043,1.10944073473121,1.08732404112904,1.13747808075124,1.03880749514323
"Arnaud_Epoux",0.573369237936758,0.586624535308548,0.750312667193794,0.628626255600958,0.61796525087181,0,0.6815385473344,0.73911330556777,0.549118558589274,0.534901250918895,0.69718361111734,0.825746857851971,0.586361307390181,0.585222472849729,0.698978426996547,1.14085818369515,1.0272056423429,1.11112967588474,0.991971611240702,0.986327152575859,1.11530985506142,1.05651221467278,1.13528840202741,1.14080038148267,1.11762317696602,1.11997768397659,1.11718922961589,1.09949016094754,1.19105294129488,0.912380941904799,1.05285042027882,0.955873161679037,1.06347472200796,1.17851070403069,1.18600907165186,1.20169932995596,1.06662606919194,1.06969047973078,1.06594524876486,0.950368388229505,0.960872226994469,1.03176713531929,0.894193875632289,1.18703764985821,1.14877414337189,1.17819477292973,0.97809120387609,0.985797560304388,0.966422158851932,1.04965538234545,0.975468005928996,1.14301254397162,1.04207685343737,0.94700916830897,0.841969367472291,0.86920674015553,1.02222824485697,0.959152375841345,1.02750084736512,0.973520015330752,1.09660735325997,0.858394587450601,0.930532383127511,1.13056299427199,1.03709631259764,1.0780059368163,1.12779552125334,1.20570638258003,1.01171201866379,1.1396959686545,1.15248431114561,1.24156926735511,0.994965719645742,1.13758818501312,1.01113417850432,1.07104593731651,1.0267682541976,1.17183568125646,0.950559569042434,0.952520218413623,0.872782974912868,0.888969013518426,0.833733932267732,0.871587420122635,0.951697310962338,1.1183124700295,0.892425631408584,1.15293438206058,1.00368831839011,1.22668773305866,1.00547677691512,0.89404497344388,1.02546229848589,0.999700754973991,1.00667982944658,1.08415332894903,1.06049880777964,1.23289630942865,1.13194077455067,1.13774060615059,1.19870946657766,1.15267437791759,1.16162399614403,1.18501602690188,1.14088270348694,1.25465283196376,1.15183642610691,1.16073349432245,1.18758828894649,1.03420937168271
"Arnaud_Fanny",0.649558556348854,0.608714255687939,0.827292818508836,0.756324006041027,0.680343455139928,0.6815385473344,0,0.746690435849128,0.730060438500741,0.719799651851404,0.703609045948606,0.7980378603128,0.77662243779957,0.698202665577923,0.734068929156659,1.05124440472485,1.06708570743924,1.04116049761619,1.07438034746579,0.996901727408286,1.02012965504066,1.12252417057967,1.15555483353122,1.14625826425175,1.17756383350817,1.04130105977861,1.09534875217964,1.06036001377308,1.13597604619561,1.14753238723855,1.16548453685064,1.11573888149041,1.01539022031258,1.03611300140514,1.07048034879468,1.14278147177011,1.08300646203436,1.12913729833444,0.994757236959636,0.989638281569919,0.956741572665127,0.985942395841323,0.931782193251939,1.06579448273138,1.05034825567654,1.04650203119125,0.944815730785244,0.956366687625543,0.872013579829301,1.12196047608514,1.03233860823096,1.11997238185341,1.0865829815671,1.04451858187074,0.82539434309595,0.906988947130233,0.9904167047421,0.986810098951653,1.02211432702721,0.907020083548872,1.01605499684906,0.951843132569985,0.904298684834245,1.0793592568852,1.07149268181758,1.12522175125716,1.12834755004691,1.13630129522519,1.1359457556757,1.06708611092038,1.14459253012534,1.12843270871894,0.91635954533331,1.05825368332749,1.04848788664138,1.05181959909841,1.1051514247194,1.03463367171161,1.00194759060612,1.04180847286912,1.0561953591046,1.04011201994326,0.993093008114482,1.01196237594427,1.04937614021452,1.11711700890199,1.04816939550038,1.08750219750528,1.1568687532253,1.13014714376354,1.09021442983502,0.91373198154353,1.06514205248638,1.03296617503694,1.03289383382729,1.04818654186398,1.04808711882474,1.09758861792754,1.06857870556748,1.09537007589367,1.10682725201581,1.04557835795351,1.07098656053608,1.13351678477438,1.08147282560477,1.05234758298786,1.08591056729871,1.08657777659521,1.06964186265252,1.1062186499828
"Arnaud_Julie",0.774321285299386,0.663354256264621,0.904945826153097,0.795535581501405,0.676331424699935,0.73911330556777,0.746690435849128,0,0.760893450487747,0.767470576325663,0.74332750832131,0.825238301028288,0.825237974697006,0.71583540568968,0.731762909978642,1.09799664290621,1.04559027397801,1.04450575414759,1.04934551788146,1.0016861389485,1.05266303373727,1.13934115869354,1.13023063688643,1.12316254016423,1.1877401810136,1.04222354620372,1.0582060884704,1.10348839048072,1.16910397552797,1.03020406128738,1.08330298165261,1.08343718586704,1.05594287999249,1.15518833173255,1.08941723205554,1.13566268692753,1.03901450753926,1.09735785275048,1.0184976569348,1.00187459504455,1.03214746926277,1.07581639330671,0.991611334580852,1.0854755129426,1.07908575584854,1.01539858569135,1.02413328227839,1.07369811040438,0.985334112425764,1.00564952548899,1.01946592156375,1.12190661806384,1.02596018903368,0.950668972609623,0.836610362668863,0.792861788805359,0.955346608636243,0.928716366176546,1.08201188988513,0.967243498028963,0.945969512269749,0.938642706984935,0.911128477187057,1.10299925774056,1.08417346208769,1.09795129947549,1.10012906193943,1.07691087207591,1.07972350459323,1.01575357707393,1.14861444814605,1.12910687741764,0.924821625443957,1.18459032396536,1.03490604518634,1.0611529666407,1.09805596768485,1.02851866900436,0.927741767645036,0.942463733416897,0.944845557054074,0.985774431952852,1.02450619933091,0.952181420116132,0.95353028166333,0.979539749015204,0.967295182982631,1.05211271989608,1.03018719032891,1.11221575869783,1.04826564352821,0.944701972500248,1.0302110635672,1.0039658414231,1.00447354612022,1.07315253679598,1.07832904985256,1.14617090696622,1.07121563384623,1.07259768442155,1.11006681906016,1.08875971721237,1.07728980567382,1.12722620322081,1.09538779899275,1.11373882273258,1.13621285928481,1.0461598268249,1.09362481349158,1.01734219884645
"Arnaud_Lucie",0.632940518577992,0.639020403422626,0.825267044478331,0.611626954508176,0.746544139777061,0.549118558589274,0.730060438500741,0.760893450487747,0,0.652906430527543,0.736894865604489,0.859757428824227,0.566826298641917,0.705017548527826,0.71564898250702,1.08179480955371,1.14126775869178,1.09304847261181,1.04449183453679,0.993296860241076,1.0932756329315,1.11332234592422,1.14595475840526,1.1329830762065,1.12950980574086,1.03967679899441,1.09834531128857,1.10266315342615,1.15897578120524,0.979619883266356,1.0648336825629,1.02233148709107,1.0302692986569,1.15176184239839,1.18129044690674,1.16327651265271,1.09186381020325,1.04492882776502,1.10460587350577,0.967890175444495,0.975938334229233,1.07262353739054,0.921411446592785,1.10988933504478,1.12312752061905,1.07223765926353,0.940649489154259,0.946933321383361,0.890927359289786,1.0688351323098,0.961601270780949,1.17145427089064,1.04176151935018,0.975777514294561,0.794675772317077,0.90507026099646,1.06230417949438,0.957304400243791,1.04050850191825,0.934665947414933,1.08464978382756,0.900796031348658,0.986600585071054,1.11564814108652,1.09893986198915,1.13916900217657,1.17392662390849,1.16492710646004,1.08927159370415,1.09267961668931,1.17784699085077,1.17780027032731,0.927361140702543,1.1263765191235,1.08075812454456,1.06599218595163,1.08601698555589,1.14848282898875,0.932120255536889,0.914140710021211,0.900232458920277,0.870356874678423,0.887041415758806,0.871043266038978,0.951779956222733,1.15203049243901,1.00303924598375,1.10287409473902,1.10316645744577,1.18278995023369,1.04537038130884,0.903780680642144,1.08376895983056,1.05198023553873,1.04891911699392,1.10488860093572,1.04984458559251,1.20865183097151,1.05387359589121,1.09204860373708,1.20226945927748,1.11330330775748,1.16489722662641,1.14404037163044,1.14055962857637,1.18965982041725,1.12166164689135,1.07882819528966,1.12751640774558,1.08273847195832
"Arnaud_Matinees",0.625817952305177,0.704731726020168,0.85643919442215,0.692287902041312,0.741522644448092,0.534901250918895,0.719799651851404,0.767470576325663,0.652906430527543,0,0.661855997765297,0.75278573814882,0.590210404453106,0.682835303777088,0.670771946432214,1.15631799154529,0.983053200176898,1.10097029874048,1.04911203039595,0.895494393619016,1.06649609330216,1.09766321278826,1.12168691959515,1.09381241717862,1.14684429234369,1.09356027486083,1.05125752124358,1.06602077561581,1.09563698996215,0.866506178929258,1.0317623674845,0.969025827722707,1.00602024006698,1.15868689409163,1.17810998496997,1.16140709521523,1.04598186862502,1.13168019382919,1.10938710927925,0.947496392596269,0.97541631224968,1.0444960089117,0.947082462009063,1.13967889954598,1.13736142478614,1.11059393682591,1.03845037859332,1.08803387558327,1.02944850713068,0.940419286085636,0.950190166061376,1.09582579711076,0.975199628165641,0.996890133519612,0.916823027133339,0.957588881921298,1.06031068777422,0.961815132107216,1.01905290612453,1.05992028372379,1.11645105042385,0.971501697394999,1.04155667180492,1.05365653165413,1.00563608003084,1.03791749024185,0.990520662531869,1.10330259001683,1.06545917664593,1.00283565757321,1.21147037485057,1.15868345533827,0.963215499197928,1.18790972114221,1.02866901570717,1.08460019101696,1.06374694054006,1.08162209525841,0.885752086853568,0.891174141428833,0.891403484267449,0.866825901658649,0.903488813197901,0.806166811903519,0.82533071128207,1.08380707323883,0.979441506536519,1.09402565018048,1.03919207038874,1.1723555709166,1.04382687164582,0.901246501300328,1.07072404671436,1.0415448177466,1.02138347689063,1.15849366220014,1.07731816359939,1.26081651376912,1.12491662494342,1.15364614365062,1.1953682178713,1.19036456275953,1.20834511451872,1.17535880185325,1.14467058841819,1.22610279588587,1.19427641574102,1.09993474422239,1.1591511962974,0.998603261654759
