"","Anonym_Enfant","Arnaud_Adelson","Arnaud_Anne","Arnaud_Bal","Arnaud_Batilde","Arnaud_Clary","Arnaud_Epoux","Arnaud_Fanny","Arnaud_Julie","Arnaud_Lucie","Arnaud_Matinees","Arnaud_Nancy","Arnaud_Sargines","Arnaud_Selicourt","Arnaud_Sidney","Arnaud_Zenothemis","Beaumont_Belle","Beaumont_Clarice","Beaumont_Prince","Cazotte_Diable","Cazotte_Honneur","Cazotte_Ollivier","Charriere_Caliste","Charriere_Femmes","Charriere_Lausanne","Charriere_Neuchateloises","Charriere_Noble","Charriere_Observations","Charriere_Ruines","Charriere_Sainte","Crebillon_Atheniennes","Crebillon_Conte","Crebillon_Nuit","Diderot_Ceci","Diderot_Jacques","Diderot_Neveu","Diderot_Oiseau","Diderot_Pensees","Diderot_Religieuse","Diderot_Supplement","Ducray_Cinquante","Ducray_Coelina","Ducray_Soirees","Ducray_Victor","Duvernet_Devotions","Duvernet_Guillaume","Duvernet_Retraite","Florian_Estelle","Florian_Galatee","Florian_Numa","Genlis_Adele","Genlis_Chevaliers","Genlis_Emigres","Genlis_Meres","Loaisel_Ainsi","Loaisel_Comtesse","Loaisel_Dolbreuse","Marmontel_Belisaire","Marmontel_Contes","Marmontel_Dejeunes","Marmontel_Incas","Mercier_An","Mercier_Jezennemours","Mercier_Songes","Mirabeau_Conversion","Mirabeau_Rideau","Nerciat_Aphrodites","Nerciat_Doctorat","Nerciat_Felicia","Nerciat_Monrose","Neufville_Almanach_text_only","Neufville_Confessions","PigaultLebrun_Adele","PigaultLebrun_Enfant","PigaultLebrun_Kinglin","PigaultLebrun_Metusko","Retif_AntiJustine","Retif_Paysan","Retif_Paysanne","Retif_Sara","Retif_Vie","Riccoboni_Ernestine","Riccoboni_Histoire","Riccoboni_LettreJuliette","Riccoboni_LettresAdelaide","Riccoboni_LettresFanni","Riccoboni_MissJenny","Riccoboni_MylordRivers","Rousseau_Emile","Rousseau_Julie","Rousseau_Reine","Rousseau_Reveries","Sade_120","Sade_Aline","Sade_Crimes","Sade_Infortunes","Sade_Justine","Sade_Philosophie","Voltaire_Amabed","Voltaire_Bramin","Voltaire_Candide","Voltaire_Consoles","Voltaire_Eloge","Voltaire_Homme","Voltaire_Ingenu","Voltaire_Jenni","Voltaire_Micromegas","Voltaire_Oreilles","Voltaire_Princesse","Voltaire_Scarmentado","Voltaire_Songe","Voltaire_Taureau","XXX_Etourdi"
"Anonym_Enfant",0,1.07358266533416,1.12565045173009,0.990269929479614,1.12842942067787,1.11131725084875,1.13332334675344,1.11613155349557,1.10879280723167,1.14328450539426,1.15352955759182,1.09671725973885,1.05978505632906,1.13806752129962,1.13729885828328,1.16359084483594,0.962959973080443,0.981054267638822,1.00338287285222,0.846651243012089,1.02631317571458,0.935208632967619,0.952676384402376,1.02625122871932,1.08090155294299,0.956976772521574,0.993468604610566,1.06574007255045,1.04329839022114,1.01388368718254,1.19647288649449,1.09146161307717,1.08719249766737,1.00846059408684,0.941190728340313,1.06891813160874,0.900597938305305,1.15174930614031,0.852575762655252,1.09789463930993,0.907668026464109,0.988080937263998,0.906386153615924,0.967732309273565,0.999442780496849,1.09602540752934,0.965782674852246,0.976683566776269,0.912837518894748,1.0642656750134,1.01313647906691,0.857509454408194,0.876910097166619,0.944050632630064,1.05509937622636,1.0090209897201,1.02685555428513,1.18732546179543,1.13984328232392,0.888742556625883,1.12343734237478,1.08026021693529,0.972791206546806,1.03760415819732,0.840851959534141,0.700895640942953,0.892269917927278,0.901924552813041,0.754226662180109,0.824550979472789,0.937380660022856,0.893037362025682,0.978381135357875,0.65829688045723,0.884766710758755,1.02089593102981,0.669122692471086,1.02389608370928,1.01630050647186,0.807496147581729,0.987932683042087,1.01576016290308,1.03689043473193,1.10617093206378,1.09974803081149,1.13147116803439,0.983293510237938,1.12559808121255,1.21064922543689,1.19947262710173,1.03019922358832,1.05909541425768,0.800022039310546,0.988028070250849,1.08711154950697,0.856887994195922,0.900985580831141,1.05479263392832,1.03295132569347,1.06194085118716,0.908003789383744,1.01157079514244,1.04539278647913,1.02163946329106,1.02151766466998,1.04253352438755,0.976248954132743,1.04332788855484,0.945520275626848,0.937844736032127,1.04401893930351,0.99052723487499,0.810494769146588
"Arnaud_Adelson",1.07358266533416,0,0.627947651316153,0.851559587344431,0.680594368679861,0.717586470068477,0.570952434798974,0.645590453258269,0.77205578066884,0.629155531718822,0.624791406451691,0.679170663387326,0.781335047449845,0.621110347591417,0.690673653905064,0.68225608598356,1.04664739639841,1.08533625952492,1.04513558562429,1.00063512570572,0.939021798925313,0.940745020290026,1.10687442736532,1.14242146233805,1.16077373663509,1.18376500286085,1.05427952080432,1.1201368920643,1.09873976497179,1.1676570747675,1.04307510088103,1.11648300877375,1.07344393777401,1.05170787677694,1.12337841418656,1.15563894777713,1.16338398427748,1.07873163132302,1.06959798569558,1.08068397357083,0.971191855569285,0.91919325460417,1.01170653796645,0.85590613232235,1.1628766209098,1.12130413749854,1.113804194921,0.888618308958743,0.921445018317143,0.887606075024942,1.08861623928662,0.927719229427516,1.14482516342285,1.0427857342112,0.969679900271262,0.755638657690116,0.893555013461139,1.03299735421578,1.03435880520119,1.03848639874601,0.894379096619115,1.05434991097662,0.875154366628483,0.931900539742084,1.02708159564618,1.08914342304286,1.11290445075609,1.0766417870834,1.09763119389416,1.11517364241263,1.16479155869411,1.07387265443588,1.10025316759678,1.1157662331411,1.16939322499134,0.891225698587356,1.12964396329966,1.08745950418035,1.10309893306193,1.05392485871633,1.18500450058011,0.94587729373502,0.980100781982815,0.912746238682935,0.920962412601282,0.951624775551434,0.897902044679112,0.963590024087421,1.15544012019747,1.00769323197584,1.13692448387203,1.07945477952254,1.13868436275625,1.05611759677282,0.860222291599876,1.02740847366019,0.998273872112085,1.06423860345522,1.10814095218319,1.08428923350914,1.16893300666233,1.09924327698275,1.13492105898941,1.20358853761168,1.10243685287138,1.13548318553148,1.14933058283859,1.14150371625449,1.13741486597364,1.14308556529446,1.14378591437825,1.1277790992427,1.06523300903142
"Arnaud_Anne",1.12565045173009,0.627947651316153,0,0.938135143832601,0.695663264855859,0.652074172427994,0.581169627810805,0.603356510977331,0.657605198990515,0.635164842354707,0.699194477264218,0.653368199174299,0.806332940411939,0.715570048301364,0.620425462506051,0.698717228629754,1.07021280982217,1.04440684116068,1.01095092937702,1.0670757489537,0.990074615855075,1.02160769708294,1.10832072496263,1.12303720437547,1.13104248425931,1.15684353573673,1.04646286346052,1.11671336405662,1.07027561415522,1.12952571135077,1.03178015176723,1.11829824002106,1.08494193768564,1.03798946400729,1.11237889999688,1.15163194037509,1.16386851443649,1.06759806745266,1.02528417250633,1.01596350173778,0.960728205470229,0.961922164050529,1.02271108143312,0.904667357522684,1.11893020454276,1.08551916851892,1.07192653836828,0.916149455612241,0.964946891940829,0.867311052863864,1.08757942676725,1.03034238567949,1.16818737280558,1.08685068181262,0.994414938680313,0.738339303337206,0.854496628683958,0.982024042126919,1.03266488971732,1.05988931514037,0.904989207041386,1.02213158290154,0.903223714214832,0.882621381455879,1.05880134001802,1.12635600403773,1.15804987890615,1.10677253002251,1.18907631795198,1.19871053839023,1.19140050698116,1.10564362190988,1.07370196437707,1.14728535837201,1.17229006492331,0.899359076913893,1.1672507284756,1.10265921526867,1.10913310868185,1.14413705755992,1.09160929378419,0.94915370564041,0.966979591912688,0.950452281071781,0.977896007634176,0.959227367124761,0.89053542462106,1.00285588479245,1.07149735343871,1.002122059088,1.07691705145602,1.10538461528137,1.17597099778488,1.05907585781772,0.915201384716485,1.06986777573259,1.01808533425741,1.0215566922042,1.08843321883078,1.0735569619216,1.17031232736264,1.07974866542678,1.09634121279543,1.13965326796942,1.10695768375327,1.09107378890295,1.14773266745658,1.10908533679285,1.17303605432783,1.15036852461712,1.09763300965295,1.1124245261439,1.10161888440554
"Arnaud_Bal",0.990269929479614,0.851559587344431,0.938135143832601,0,0.865527651992302,0.910164513472679,0.747541516170991,0.830143134644427,0.906124777049241,0.826454209642019,0.85342270165661,0.896518208131605,0.922321972388542,0.820682254496757,0.879034284367291,0.981804479282056,1.01164255363886,1.10904478632777,1.05391186559755,1.06858325487959,0.996964281136471,1.06022787248765,1.09854943935672,1.05000968519583,1.08284418766556,1.08466230303857,1.02882661649091,1.04374631487664,1.07518114883618,1.06364306079309,0.980387435074219,0.947305450240528,0.966610202688428,1.00811676577835,1.0025718916217,1.05612529393287,0.974042119653263,1.07777289807931,1.1104081717173,1.0462515794655,0.977424827068132,1.02169239290453,1.04948799016459,1.01334857193088,1.05151744863129,1.09863847660458,1.03630747060189,0.996731087224359,1.00903683509417,1.04556859192284,1.04623632367986,1.02274882766799,1.12488069629827,1.05885960288094,0.990961387673666,0.985057727083028,0.982969788225961,1.06169763393656,0.866640121832666,1.03942398120679,1.02623017457365,1.1107671657227,0.967747713410451,1.02297040709843,0.893803487744751,0.946861684299898,0.975554988893048,0.987714997530691,0.920903023878737,1.03022712843282,0.986939434928812,1.05230607505198,1.01000046684792,1.08932505130834,1.06216018880534,0.96616856166742,0.97578962536824,1.01356600038158,1.0378325723432,0.978000866833138,1.09008316285694,0.934469729994158,0.899657799733207,0.980737539729983,0.96315850392251,0.892638636041011,1.00352266919326,0.982904361063673,1.07579651191027,1.00363040050873,1.01955059653377,1.07722639579959,1.02634040709483,1.07662770212276,0.96425765540333,1.08641728084771,1.06176154325556,1.01786185770256,1.06599963645518,1.04217548351286,1.08194691608233,1.04074340235005,1.09178766506584,1.10406040085899,1.02696085400973,1.11610927857941,1.06984622284421,1.10521745017503,1.08672184603456,1.13546574684918,1.07066768464988,1.09092362732935,0.944143955309967
"Arnaud_Batilde",1.12842942067787,0.680594368679861,0.695663264855859,0.865527651992302,0,0.752170159097327,0.625960665352491,0.749083479346739,0.795046315624505,0.610134910303244,0.688336362759574,0.7675283315174,0.790955243059163,0.64112754625945,0.694407388900829,0.679252558233393,1.11090181266635,1.06588568508108,1.04499401735805,0.964458635734596,0.919416715962238,1.01416468960793,1.11371805909985,1.13524840255897,1.13205247067628,1.15002206990927,1.02157208135253,1.06564729050799,1.09276416703718,1.17107817128196,0.929216685521379,1.03572588278603,1.03426570545681,1.04969050523675,1.16911779058381,1.17437796056027,1.12384519271934,1.06583505345182,1.05165317672121,1.07376467398511,0.998413739227075,0.988085399313276,1.10002328886691,0.970867766997216,1.09381084773758,1.08091716388257,1.07022273502859,0.918053318820839,0.947187189813308,0.836970348230307,1.03037884760445,0.95244174001051,1.16952524156118,1.03821140694857,0.967909957819299,0.861540974457819,0.925844388334549,0.92993507824961,0.904974931212792,1.01602419270404,0.910799781285346,1.02994986119066,0.910609295166271,0.931938508018652,1.04789942860318,1.10943694896146,1.15719898365948,1.10906387185221,1.17929827165483,1.19881989734709,1.19206729691743,1.10909096264718,1.10001920400829,1.17943352967393,1.20654431552767,0.883833940262382,1.16662723295077,1.06412203360483,1.08820029526862,1.11185706581589,1.12294377460878,0.898856497357532,0.940118037206875,0.888330878445137,0.898033454131256,0.895738099443084,0.854280493178646,0.934294780483353,1.09764983281183,0.954471386684173,1.0834746211128,1.1055855605181,1.21947835173192,1.07443600240196,0.948432487047354,1.12734042675285,1.07755634582586,1.04643217716852,1.10232564312651,1.06556813859125,1.20615049143639,1.07845214673044,1.10648161212811,1.17855319035747,1.15786993300117,1.1550067349674,1.16297413546919,1.12370025922474,1.1582849164451,1.09817068463358,1.09815265135502,1.07589027774641,1.09555063787941
"Arnaud_Clary",1.11131725084875,0.717586470068477,0.652074172427994,0.910164513472679,0.752170159097327,0,0.618992460652669,0.675159912259215,0.664236233291984,0.742710289507518,0.740583952386922,0.754248484599184,0.874580970018826,0.716706924115406,0.665991385682603,0.754738947834777,1.09270607650935,1.01618861084268,1.11192571911146,1.01111659943356,0.98362862302383,1.06055977380597,1.08407062630139,1.12252209007392,1.1188130754676,1.11414090302658,1.07083793317481,1.10814471861063,1.08112400539148,1.16953530824982,1.03913511242615,1.15498848220598,1.0531132632789,0.996011811484218,1.10773440446308,1.15271649590221,1.14904611045671,1.07751963018353,1.05064449533071,1.0453740625618,0.96478356203914,0.994325405674904,1.02354401442089,0.929846756052424,1.12301086854449,1.09664393156362,1.08558367017299,0.962646108549883,0.958818837010239,0.927469330377144,1.01874043944163,0.983935876470406,1.06943895338388,1.0174041417634,0.96475759053337,0.899193830554792,0.850796845928039,0.991217643201207,0.953758635955389,1.02627937319074,0.960596100681869,1.01718711730077,0.894699393818542,0.921675516464993,1.01968697687267,1.02663934295808,1.14576856581235,1.05842311977184,1.10712546073698,1.1266050700775,1.1498067102552,1.03365477422503,1.11685844664311,1.10595362873847,1.20510507597287,0.994407675437695,1.11635153967258,0.995985150424093,1.02978138934601,1.03432750512872,1.06862451113317,0.942010201344167,0.994521339961301,0.917954804571964,0.950553852567072,0.909138188542446,0.890732284746846,0.946899428919367,1.06852386452398,0.920558922602947,1.1350103090124,1.05111355085516,1.18685866116979,1.03552673366852,0.946947494171989,1.01613240083946,1.01752720372524,1.03358684732946,1.06746479626794,1.06492319677746,1.1536827183199,1.08712370817655,1.08595036735978,1.14301885655324,1.12075385323008,1.09952091469669,1.13396903061609,1.10964519717624,1.16289249580357,1.11082441993339,1.08414387218874,1.13604747961164,1.0403669670699
"Arnaud_Epoux",1.13332334675344,0.570952434798974,0.581169627810805,0.747541516170991,0.625960665352491,0.618992460652669,0,0.675667790194738,0.737664150374028,0.546387990336106,0.532349087236856,0.694631702918821,0.819856195906969,0.58210631542431,0.582374152102817,0.693637496731552,1.13709287767249,1.02475616227169,1.10599471977053,0.995672178195237,0.984187363678968,1.11679605856152,1.05459694480291,1.13146469972218,1.13662663591467,1.11832891228101,1.12215230588671,1.1159846126863,1.09538792098636,1.1844035311302,0.907033154467159,1.04890815320538,0.955435590861081,1.05738948775973,1.18098385959324,1.18361594236167,1.19910347026796,1.06078683249306,1.0700868571639,1.0601242433235,0.949210816997912,0.960924154366009,1.03425615713411,0.896013499472427,1.18531165228376,1.14206537981822,1.17543803739076,0.975692104938348,0.985310476078702,0.965174051607471,1.04686016680449,0.973018551381294,1.14145596335822,1.03970516715066,0.943283714344225,0.838977517890833,0.865278380667297,1.01532765384615,0.950153350839502,1.02904382695555,0.969535890295947,1.0922896557257,0.85637372720925,0.930217096572866,1.05799036231975,1.03647595047927,1.13433188837791,1.04254162108312,1.08441522883916,1.1307386561929,1.20581555691597,1.01238744405832,1.1376844210558,1.15874418442873,1.24222441104557,0.992183083709704,1.14880647558632,1.01060405620319,1.0714752959551,1.03374696389164,1.16794123031836,0.945517108905795,0.94617782158522,0.871816665476628,0.883425845888579,0.830071752789397,0.868052449918779,0.947424262143439,1.11053226638407,0.887840181674303,1.14850430621734,1.00046358105923,1.23465092815319,1.00843845256917,0.896606342449089,1.02883139960096,1.01093546612457,1.00972211550682,1.08481218722193,1.05836165447902,1.23297090694764,1.12892908191647,1.13177873020813,1.19395888996528,1.14713677931692,1.15816545560812,1.1830615590046,1.1387404073846,1.24969327916984,1.15391156353977,1.15622889765265,1.18606032924209,1.03485504064314
"Arnaud_Fanny",1.11613155349557,0.645590453258269,0.603356510977331,0.830143134644427,0.749083479346739,0.675159912259215,0.675667790194738,0,0.745406594019126,0.729256371678766,0.712483839746913,0.701550480045523,0.793093277076864,0.77439059185495,0.694627938947542,0.730407614630944,1.04992776516248,1.06045537065078,1.03875651500121,1.07623277928551,0.995573222898977,1.01710436072181,1.11951327368038,1.15332216592407,1.14240338591364,1.17516795376214,1.03760848812647,1.09017986177341,1.05674472922403,1.13185745892261,1.14263995257021,1.16090213663408,1.11334453295915,1.01499820676091,1.03648917290381,1.06928218142638,1.14189885770543,1.08124344750813,1.12852569690384,0.995534099604655,0.988815815716033,0.953711943684991,0.98488749723038,0.9293269793312,1.06658531904764,1.05015542715212,1.04890081068132,0.939228291060492,0.954777249226169,0.869873397245742,1.11843490100844,1.03026863549389,1.11618841571328,1.08262092710311,1.04174775190776,0.822863854172006,0.903507497906627,0.987175497344319,0.983721652288031,1.02081972354815,0.905472019859712,1.01115411580667,0.952017249698629,0.903755758632747,0.959019756160053,1.1237256057153,1.08361592791374,1.07544455675789,1.12959490062305,1.12937947652426,1.13762232763774,1.13486129718431,1.06615951472848,1.14752155682087,1.12957001912545,0.914836072113862,1.0620056890662,1.04529486894901,1.05135672101881,1.10498600448222,1.03091892040402,0.999224127763391,1.03913433870214,1.0496309482347,1.03438667987485,0.991521549083494,1.00784444025621,1.04312568111534,1.11549625612601,1.04508177114601,1.08798534387284,1.15502597902652,1.13626612513492,1.08797722754243,0.907847839161793,1.06562201895571,1.03531370375922,1.03562073539975,1.04577256106601,1.04544597719978,1.0957742798776,1.06705780908858,1.0900758404933,1.10667210031668,1.04647054346979,1.06830411413643,1.13324158238028,1.07821735136793,1.05226256929128,1.08564457078642,1.08385590248493,1.06957247149036,1.11075284752239
"Arnaud_Julie",1.10879280723167,0.77205578066884,0.657605198990515,0.906124777049241,0.795046315624505,0.664236233291984,0.737664150374028,0.745406594019126,0,0.752353895667603,0.759105275303799,0.735865606333532,0.813909864268483,0.823566840108349,0.70968219894277,0.722511417438752,1.09573049465168,1.04000602269842,1.0421154904047,1.04430123469057,0.994958376289089,1.05190060848158,1.1397456486428,1.12733611932565,1.12023311963157,1.18739276833661,1.03575817075986,1.05288886826471,1.1009525131221,1.16510485848091,1.02623867075424,1.08081376536646,1.08249427330569,1.05678261723447,1.15642239181056,1.08806589365653,1.13228866068287,1.03561880791865,1.09794758076268,1.01701437885797,0.998496998891095,1.02804016899135,1.06974916499716,0.987371316199442,1.08147576600011,1.07886081853012,1.01415021525992,1.02360550627739,1.07428368136116,0.98448965233293,0.997660763934058,1.01950281981826,1.12416794468535,1.02241574518256,0.949571553774178,0.836623022432264,0.790840862858825,0.948257882787099,0.920186788136318,1.08189175048076,0.965345280714073,0.939825971967401,0.932646247594259,0.906125073980146,1.04007322689435,1.08650931056974,1.10676361337065,1.08827772922562,1.10244095500836,1.10131468724528,1.07766932732386,1.07877155606144,1.01455129297218,1.15478230141963,1.13352672723997,0.922870402527328,1.19102101408766,1.03281684651792,1.06058815478698,1.09963788314078,1.01958471974171,0.929302107654568,0.942223975320848,0.936680677880292,0.980348061271794,1.02434886245053,0.949377237603115,0.95256727704854,0.975980200164925,0.960791546236741,1.05156363129213,1.02829586380141,1.1128857355038,1.04816445619334,0.946460972127483,1.03353591724142,1.00706542014508,1.0046140927684,1.07530228372035,1.0779847506472,1.14781609696682,1.0695845869605,1.07039835998095,1.11233689260386,1.09069544443144,1.07384126806411,1.12842095963179,1.09585363956581,1.11255371091764,1.13915520512052,1.04338714410139,1.08516621269721,1.02415723044365
"Arnaud_Lucie",1.14328450539426,0.629155531718822,0.635164842354707,0.826454209642019,0.610134910303244,0.742710289507518,0.546387990336106,0.729256371678766,0.752353895667603,0,0.645475610749958,0.729656128755393,0.854100604721803,0.563610089978049,0.701370494666219,0.710851951687898,1.08071046485503,1.13965066152991,1.09169430797048,1.03888279193422,0.989254683378821,1.09134061670064,1.11311734986498,1.14257544048263,1.13240763204305,1.12931933786605,1.04172938439988,1.09529992770232,1.10064278831824,1.15613042138235,0.975767050411765,1.06262834067127,1.02457163893118,1.02793064143395,1.1537957829726,1.17961496267353,1.16344683329106,1.08948889908921,1.04587758614018,1.10194461649392,0.967660964382919,0.972674966811101,1.06946955648887,0.918751976640782,1.10729175671351,1.11951001752371,1.06969886658842,0.938423774081858,0.946072793197963,0.888854015389692,1.0669880118959,0.957790482490315,1.17052370230351,1.03924812343533,0.971798502502341,0.788448579937032,0.90059821674134,1.05548058389613,0.949942749922293,1.04175821352923,0.930002130344179,1.08071426781603,0.892184401180049,0.980466493953599,1.05512165676377,1.07125196595369,1.11782569279077,1.09546299477159,1.14131120554898,1.17405216367548,1.16393263922005,1.08758032915824,1.09154645232787,1.18196641753764,1.17913640603228,0.924883134592679,1.13004874035971,1.07911688935861,1.06680357043699,1.08708857928585,1.14502085776257,0.93024289679298,0.909775942490229,0.896966134794319,0.864096775058128,0.885670471148559,0.868952992135205,0.951416602699843,1.14592998092363,0.995488343305496,1.10307726086462,1.10055280742014,1.1805406815583,1.04256113867792,0.900116331612054,1.08099788538079,1.04791863850266,1.0450484534188,1.10435557910632,1.04998116347005,1.20772505537448,1.05270443607677,1.08901891969214,1.19916092065557,1.11039354690036,1.16114994293312,1.14472706761834,1.13808408088867,1.18836001967298,1.12017287841894,1.07778536338887,1.12718664640079,1.08239092353326
