Source,Target,Weight,Type
a_Arnaud_Epoux,a_Arnaud_Fanny,1,undirected
a_Arnaud_Epoux,a_Arnaud_Sidney,3,undirected
a_Arnaud_Epoux,he_Arnaud_Adelson,3,undirected
a_Arnaud_Epoux,he_Arnaud_Anne,3,undirected
a_Arnaud_Epoux,he_Arnaud_Batilde,1,undirected
a_Arnaud_Epoux,he_Arnaud_Lucie,4,undirected
a_Arnaud_Epoux,he_Arnaud_Matinees,6,undirected
a_Arnaud_Epoux,he_Arnaud_Nancy,1,undirected
a_Arnaud_Epoux,he_Arnaud_Selicourt,3,undirected
a_Arnaud_Epoux,he_Arnaud_Zenothemis,3,undirected
a_Arnaud_Epoux,ho_Arnaud_Bal,3,undirected
a_Arnaud_Epoux,mi_Arnaud_Clary,3,undirected
a_Arnaud_Fanny,a_Arnaud_Epoux,1,undirected
a_Arnaud_Fanny,he_Arnaud_Anne,5,undirected
a_Arnaud_Fanny,mi_Arnaud_Clary,3,undirected
a_Arnaud_Sidney,a_Arnaud_Epoux,3,undirected
a_Arnaud_Sidney,he_Arnaud_Anne,3,undirected
a_Arnaud_Sidney,mi_Arnaud_Clary,1,undirected
a_Cazotte_Diable,a_PigaultLebrun_Enfant,1,undirected
a_Cazotte_Diable,he_Cazotte_Honneur,4,undirected
a_Cazotte_Diable,he_Cazotte_Ollivier,6,undirected
a_Diderot_Religieuse,a_PigaultLebrun_Enfant,4,undirected
a_Diderot_Religieuse,d_Diderot_Jacques,3,undirected
a_Diderot_Religieuse,d_Diderot_Neveu,1,undirected
a_Diderot_Religieuse,he_Diderot_Ceci,2,undirected
a_Diderot_Religieuse,he_Diderot_Oiseau,1,undirected
a_Diderot_Religieuse,he_Marmontel_Dejeunes,2,undirected
a_Ducray_Soirees,he_Ducray_Cinquante,5,undirected
a_Ducray_Soirees,he_Ducray_Coelina,3,undirected
a_Ducray_Soirees,he_Ducray_Victor,5,undirected
a_Florian_Numa,he_Florian_Estelle,5,undirected
a_Florian_Numa,he_Florian_Galatee,3,undirected
a_Florian_Numa,he_Marmontel_Incas,5,undirected
a_Florian_Numa,he_PigaultLebrun_Metusko,3,undirected
a_Loaisel_Dolbreuse,a_Mercier_An,2,undirected
a_Loaisel_Dolbreuse,a_Mercier_Songes,3,undirected
a_Loaisel_Dolbreuse,e_Loaisel_Ainsi,6,undirected
a_Loaisel_Dolbreuse,he_Loaisel_Comtesse,5,undirected
a_Loaisel_Dolbreuse,mi_Mercier_Jezennemours,2,undirected
a_Mercier_An,a_Loaisel_Dolbreuse,2,undirected
a_Mercier_An,a_Mercier_Songes,6,undirected
a_Mercier_An,he_Diderot_Pensees,1,undirected
a_Mercier_An,he_Marmontel_Belisaire,3,undirected
a_Mercier_An,mi_Mercier_Jezennemours,1,undirected
a_Mercier_Songes,a_Loaisel_Dolbreuse,3,undirected
a_Mercier_Songes,a_Mercier_An,6,undirected
a_Mercier_Songes,he_Loaisel_Comtesse,1,undirected
a_Mercier_Songes,he_Marmontel_Belisaire,1,undirected
a_Mercier_Songes,he_Marmontel_Incas,1,undirected
a_Mercier_Songes,mi_Mercier_Jezennemours,4,undirected
a_Nerciat_Doctorat,a_Nerciat_Felicia,4,undirected
a_Nerciat_Doctorat,a_Nerciat_Monrose,4,undirected
a_Nerciat_Doctorat,d_Nerciat_Aphrodites,3,undirected
a_Nerciat_Etourdi,a_Nerciat_Felicia,3,undirected
a_Nerciat_Etourdi,Anonym_Enfant,2,undirected
a_Nerciat_Etourdi,mi_Retif_Sara,1,undirected
a_Nerciat_Felicia,a_Nerciat_Doctorat,4,undirected
a_Nerciat_Felicia,a_Nerciat_Etourdi,3,undirected
a_Nerciat_Felicia,a_Nerciat_Monrose,6,undirected
a_Nerciat_Felicia,d_Nerciat_Aphrodites,2,undirected
a_Nerciat_Monrose,a_Nerciat_Doctorat,4,undirected
a_Nerciat_Monrose,a_Nerciat_Felicia,6,undirected
a_Nerciat_Monrose,d_Nerciat_Aphrodites,5,undirected
a_PigaultLebrun_Enfant,a_Cazotte_Diable,1,undirected
a_PigaultLebrun_Enfant,a_Diderot_Religieuse,4,undirected
a_PigaultLebrun_Enfant,Anonym_Enfant,5,undirected
a_PigaultLebrun_Enfant,he_PigaultLebrun_Adele,2,undirected
a_PigaultLebrun_Enfant,he_PigaultLebrun_Kinglin,5,undirected
a_Retif_AntiJustine,Anonym_Enfant,5,undirected
a_Retif_AntiJustine,he_Sade_120,6,undirected
a_Retif_AntiJustine,mi_Retif_Sara,4,undirected
a_Riccoboni_MissJenny,e_Riccoboni_LettreJuliette,1,undirected
a_Riccoboni_MissJenny,e_Riccoboni_LettresAdelaide,3,undirected
a_Riccoboni_MissJenny,e_Riccoboni_MylordRivers,2,undirected
a_Riccoboni_MissJenny,he_Genlis_Chevaliers,2,undirected
a_Riccoboni_MissJenny,he_Riccoboni_Histoire,6,undirected
a_Riccoboni_MissJenny,u_Riccoboni_Ernestine,5,undirected
a_Rousseau_Emile,d_Diderot_Neveu,2,undirected
a_Rousseau_Emile,d_Diderot_Supplement,3,undirected
a_Rousseau_Emile,d_Sade_Philosophie,2,undirected
a_Rousseau_Emile,e_Rousseau_Julie,6,undirected
a_Rousseau_Emile,he_Charriere_Observations,1,undirected
a_Rousseau_Emile,he_Diderot_Pensees,3,undirected
a_Rousseau_Emile,he_Rousseau_Reveries,5,undirected
Anonym_Enfant,a_Nerciat_Etourdi,2,undirected
Anonym_Enfant,a_PigaultLebrun_Enfant,5,undirected
Anonym_Enfant,a_Retif_AntiJustine,5,undirected
Anonym_Enfant,he_Sade_120,1,undirected
d_Crebillon_Nuit,e_Crebillon_Atheniennes,6,undirected
d_Crebillon_Nuit,e_Riccoboni_LettresFanni,1,undirected
d_Crebillon_Nuit,mi_Crebillon_Conte,4,undirected
d_Diderot_Jacques,a_Diderot_Religieuse,3,undirected
d_Diderot_Jacques,d_Diderot_Neveu,6,undirected
d_Diderot_Jacques,he_Diderot_Ceci,3,undirected
d_Diderot_Jacques,he_Diderot_Oiseau,3,undirected
d_Diderot_Jacques,he_Duvernet_Devotions,1,undirected
d_Diderot_Jacques,he_PigaultLebrun_Kinglin,1,undirected
d_Diderot_Jacques,he_Voltaire_Candide,2,undirected
d_Diderot_Neveu,a_Diderot_Religieuse,1,undirected
d_Diderot_Neveu,a_Rousseau_Emile,2,undirected
d_Diderot_Neveu,d_Diderot_Jacques,6,undirected
d_Diderot_Neveu,d_Diderot_Supplement,1,undirected
d_Diderot_Neveu,d_Nerciat_Aphrodites,1,undirected
d_Diderot_Neveu,he_Diderot_Ceci,1,undirected
d_Diderot_Neveu,he_Duvernet_Guillaume,1,undirected
d_Diderot_Supplement,a_Rousseau_Emile,3,undirected
d_Diderot_Supplement,d_Diderot_Neveu,1,undirected
d_Diderot_Supplement,d_Sade_Philosophie,2,undirected
d_Nerciat_Aphrodites,a_Nerciat_Doctorat,3,undirected
d_Nerciat_Aphrodites,a_Nerciat_Felicia,2,undirected
d_Nerciat_Aphrodites,a_Nerciat_Monrose,5,undirected
d_Nerciat_Aphrodites,d_Diderot_Neveu,1,undirected
d_Sade_Philosophie,a_Rousseau_Emile,2,undirected
d_Sade_Philosophie,d_Diderot_Supplement,2,undirected
d_Sade_Philosophie,e_Sade_Aline,2,undirected
d_Sade_Philosophie,he_Diderot_Pensees,2,undirected
d_Sade_Philosophie,he_Sade_Justine,4,undirected
e_Beaumont_Clarice,e_Genlis_Emigres,3,undirected
e_Beaumont_Clarice,he_Retif_Vie,3,undirected
e_Beaumont_Clarice,mi_Charriere_Caliste,1,undirected
e_Charriere_Lausanne,e_Charriere_Neuchateloises,6,undirected
e_Charriere_Lausanne,he_Charriere_Femmes,4,undirected
e_Charriere_Lausanne,he_Charriere_Sainte,2,undirected
e_Charriere_Lausanne,mi_Charriere_Caliste,4,undirected
e_Charriere_Neuchateloises,e_Charriere_Lausanne,6,undirected
e_Charriere_Neuchateloises,e_Genlis_Emigres,1,undirected
e_Charriere_Neuchateloises,e_Retif_Paysan,2,undirected
e_Charriere_Neuchateloises,e_Retif_Paysanne,3,undirected
