Source,Target,Weight,Type
a_Arnaud_Epoux,a_Arnaud_Fanny,18,undirected
a_Arnaud_Epoux,a_Arnaud_Sidney,63,undirected
a_Arnaud_Epoux,he_Arnaud_Adelson,75,undirected
a_Arnaud_Epoux,he_Arnaud_Anne,64,undirected
a_Arnaud_Epoux,he_Arnaud_Batilde,34,undirected
a_Arnaud_Epoux,he_Arnaud_Julie,1,undirected
a_Arnaud_Epoux,he_Arnaud_Lucie,98,undirected
a_Arnaud_Epoux,he_Arnaud_Matinees,114,undirected
a_Arnaud_Epoux,he_Arnaud_Nancy,19,undirected
a_Arnaud_Epoux,he_Arnaud_Selicourt,67,undirected
a_Arnaud_Epoux,he_Arnaud_Zenothemis,47,undirected
a_Arnaud_Epoux,ho_Arnaud_Bal,63,undirected
a_Arnaud_Epoux,mi_Arnaud_Clary,63,undirected
a_Arnaud_Fanny,a_Arnaud_Epoux,18,undirected
a_Arnaud_Fanny,a_Arnaud_Sidney,1,undirected
a_Arnaud_Fanny,he_Arnaud_Adelson,17,undirected
a_Arnaud_Fanny,he_Arnaud_Anne,105,undirected
a_Arnaud_Fanny,mi_Arnaud_Clary,51,undirected
a_Arnaud_Sidney,a_Arnaud_Epoux,63,undirected
a_Arnaud_Sidney,a_Arnaud_Fanny,1,undirected
a_Arnaud_Sidney,he_Arnaud_Anne,63,undirected
a_Arnaud_Sidney,he_Arnaud_Julie,2,undirected
a_Arnaud_Sidney,he_Arnaud_Zenothemis,37,undirected
a_Arnaud_Sidney,mi_Arnaud_Clary,12,undirected
a_Cazotte_Diable,a_PigaultLebrun_Enfant,6,undirected
a_Cazotte_Diable,Anonym_Enfant,15,undirected
a_Cazotte_Diable,he_Cazotte_Honneur,84,undirected
a_Cazotte_Diable,he_Cazotte_Ollivier,119,undirected
a_Diderot_Religieuse,a_PigaultLebrun_Enfant,86,undirected
a_Diderot_Religieuse,d_Diderot_Jacques,62,undirected
a_Diderot_Religieuse,d_Diderot_Neveu,17,undirected
a_Diderot_Religieuse,he_Diderot_Ceci,44,undirected
a_Diderot_Religieuse,he_Diderot_Oiseau,33,undirected
a_Diderot_Religieuse,he_Marmontel_Dejeunes,36,undirected
a_Diderot_Religieuse,mi_Charriere_Caliste,1,undirected
a_Ducray_Soirees,he_Ducray_Cinquante,104,undirected
a_Ducray_Soirees,he_Ducray_Coelina,65,undirected
a_Ducray_Soirees,he_Ducray_Victor,116,undirected
a_Florian_Numa,he_Florian_Estelle,119,undirected
a_Florian_Numa,he_Florian_Galatee,63,undirected
a_Florian_Numa,he_Loaisel_Comtesse,17,undirected
a_Florian_Numa,he_Marmontel_Incas,107,undirected
a_Florian_Numa,he_PigaultLebrun_Metusko,44,undirected
a_Loaisel_Dolbreuse,a_Mercier_An,42,undirected
a_Loaisel_Dolbreuse,a_Mercier_Songes,63,undirected
a_Loaisel_Dolbreuse,e_Loaisel_Ainsi,126,undirected
a_Loaisel_Dolbreuse,he_Loaisel_Comtesse,105,undirected
a_Loaisel_Dolbreuse,mi_Mercier_Jezennemours,21,undirected
a_Mercier_An,a_Loaisel_Dolbreuse,42,undirected
a_Mercier_An,a_Mercier_Songes,126,undirected
a_Mercier_An,d_Diderot_Supplement,3,undirected
a_Mercier_An,he_Diderot_Pensees,10,undirected
a_Mercier_An,he_Marmontel_Belisaire,63,undirected
a_Mercier_An,he_Voltaire_Eloge,3,undirected
a_Mercier_An,mi_Mercier_Jezennemours,13,undirected
a_Mercier_Songes,a_Loaisel_Dolbreuse,63,undirected
a_Mercier_Songes,a_Mercier_An,126,undirected
