Source,Target,Weight,Type
Arnaud_Adelson,Arnaud_Anne,2,undirected
Arnaud_Adelson,Arnaud_Batilde,2,undirected
Arnaud_Adelson,Arnaud_Epoux,5,undirected
Arnaud_Adelson,Arnaud_Fanny,2,undirected
Arnaud_Adelson,Arnaud_Lucie,2,undirected
Arnaud_Adelson,Arnaud_Matinees,4,undirected
Arnaud_Adelson,Arnaud_Nancy,3,undirected
Arnaud_Adelson,Arnaud_Sargines,2,undirected
Arnaud_Adelson,Arnaud_Selicourt,3,undirected
Arnaud_Adelson,Arnaud_Zenothemis,1,undirected
Arnaud_Anne,Arnaud_Adelson,2,undirected
Arnaud_Anne,Arnaud_Epoux,4,undirected
Arnaud_Anne,Arnaud_Fanny,1,undirected
Arnaud_Anne,Arnaud_Julie,2,undirected
Arnaud_Anne,Arnaud_Sidney,1,undirected
Arnaud_Anne,Arnaud_Zenothemis,1,undirected
Arnaud_Bal,Arnaud_Epoux,2,undirected
Arnaud_Bal,Marmontel_Contes,3,undirected
Arnaud_Bal,Mercier_Jezennemours,1,undirected
Arnaud_Batilde,Arnaud_Adelson,2,undirected
Arnaud_Batilde,Arnaud_Epoux,3,undirected
Arnaud_Batilde,Arnaud_Selicourt,1,undirected
Arnaud_Clary,Arnaud_Epoux,3,undirected
Arnaud_Clary,Arnaud_Fanny,2,undirected
Arnaud_Clary,Arnaud_Sidney,1,undirected
Arnaud_Epoux,Arnaud_Adelson,5,undirected
Arnaud_Epoux,Arnaud_Anne,4,undirected
Arnaud_Epoux,Arnaud_Bal,2,undirected
Arnaud_Epoux,Arnaud_Batilde,3,undirected
Arnaud_Epoux,Arnaud_Clary,3,undirected
Arnaud_Epoux,Arnaud_Lucie,3,undirected
Arnaud_Epoux,Arnaud_Matinees,6,undirected
Arnaud_Epoux,Arnaud_Selicourt,3,undirected
Arnaud_Epoux,Arnaud_Sidney,3,undirected
Arnaud_Fanny,Arnaud_Adelson,2,undirected
Arnaud_Fanny,Arnaud_Anne,1,undirected
Arnaud_Fanny,Arnaud_Clary,2,undirected
Arnaud_Fanny,Arnaud_Nancy,4,undirected
Arnaud_Julie,Arnaud_Anne,2,undirected
Arnaud_Julie,Arnaud_Nancy,3,undirected
Arnaud_Julie,Arnaud_Zenothemis,1,undirected
Arnaud_Lucie,Arnaud_Adelson,2,undirected
Arnaud_Lucie,Arnaud_Epoux,3,undirected
Arnaud_Lucie,Arnaud_Selicourt,1,undirected
Arnaud_Matinees,Arnaud_Adelson,4,undirected
Arnaud_Matinees,Arnaud_Epoux,6,undirected
Arnaud_Matinees,Arnaud_Nancy,2,undirected
Arnaud_Matinees,Arnaud_Sargines,1,undirected
Arnaud_Matinees,Arnaud_Selicourt,2,undirected
Arnaud_Matinees,Arnaud_Zenothemis,3,undirected
Arnaud_Nancy,Arnaud_Adelson,3,undirected
Arnaud_Nancy,Arnaud_Fanny,4,undirected
Arnaud_Nancy,Arnaud_Julie,3,undirected
Arnaud_Nancy,Arnaud_Matinees,2,undirected
Arnaud_Sargines,Arnaud_Adelson,2,undirected
Arnaud_Sargines,Arnaud_Matinees,1,undirected
Arnaud_Sargines,Arnaud_Zenothemis,3,undirected
Arnaud_Selicourt,Arnaud_Adelson,3,undirected
Arnaud_Selicourt,Arnaud_Batilde,1,undirected
Arnaud_Selicourt,Arnaud_Epoux,3,undirected
Arnaud_Selicourt,Arnaud_Lucie,1,undirected
Arnaud_Selicourt,Arnaud_Matinees,2,undirected
Arnaud_Sidney,Arnaud_Anne,1,undirected
Arnaud_Sidney,Arnaud_Clary,1,undirected
Arnaud_Sidney,Arnaud_Epoux,3,undirected
Arnaud_Sidney,Arnaud_Zenothemis,4,undirected
Arnaud_Zenothemis,Arnaud_Adelson,1,undirected
Arnaud_Zenothemis,Arnaud_Anne,1,undirected
Arnaud_Zenothemis,Arnaud_Julie,1,undirected
Arnaud_Zenothemis,Arnaud_Matinees,3,undirected
Arnaud_Zenothemis,Arnaud_Sargines,3,undirected
Arnaud_Zenothemis,Arnaud_Sidney,4,undirected
Beaumont_Belle,Charriere_Sainte,2,undirected
Beaumont_Belle,Diderot_Oiseau,1,undirected
Beaumont_Belle,Voltaire_Candide,3,undirected
Beaumont_Clarice,Retif_Paysan,2,undirected
Beaumont_Clarice,Sade_Aline,3,undirected
Beaumont_Clarice,Sade_Crimes,1,undirected
Beaumont_Prince,Diderot_Oiseau,1,undirected
Beaumont_Prince,Voltaire_Candide,3,undirected
Beaumont_Prince,Voltaire_Jenni,2,undirected
Cazotte_Diable,Cazotte_Honneur,2,undirected
Cazotte_Diable,Cazotte_Ollivier,6,undirected
Cazotte_Diable,PigaultLebrun_Enfant,2,undirected
Cazotte_Diable,Sade_Aline,1,undirected
Cazotte_Honneur,Cazotte_Diable,2,undirected
Cazotte_Honneur,Cazotte_Ollivier,3,undirected
Cazotte_Honneur,Sade_Crimes,1,undirected
Cazotte_Ollivier,Cazotte_Diable,6,undirected
Cazotte_Ollivier,Cazotte_Honneur,3,undirected
Cazotte_Ollivier,Nerciat_Aphrodites,2,undirected
Cazotte_Ollivier,PigaultLebrun_Enfant,1,undirected
Charriere_Caliste,Charriere_Femmes,3,undirected
Charriere_Caliste,Charriere_Sainte,1,undirected
Charriere_Caliste,Genlis_Emigres,2,undirected
Charriere_Caliste,Nerciat_Felicia,1,undirected
Charriere_Femmes,Charriere_Caliste,3,undirected
Charriere_Femmes,Charriere_Lausanne,3,undirected
Charriere_Femmes,Charriere_Ruines,3,undirected
Charriere_Femmes,Charriere_Sainte,5,undirected
Charriere_Femmes,Diderot_Neveu,2,undirected
Charriere_Femmes,Retif_Paysan,1,undirected
Charriere_Femmes,Sade_Aline,3,undirected
Charriere_Lausanne,Charriere_Femmes,3,undirected
Charriere_Lausanne,Charriere_Neuchateloises,5,undirected
Charriere_Lausanne,Retif_Paysan,1,undirected
Charriere_Neuchateloises,Charriere_Lausanne,5,undirected
Charriere_Neuchateloises,Retif_Paysan,1,undirected
Charriere_Neuchateloises,Retif_Paysanne,2,undirected
Charriere_Noble,Charriere_Sainte,2,undirected
Charriere_Noble,Diderot_Oiseau,1,undirected
Charriere_Noble,Voltaire_Ingenu,3,undirected
Charriere_Observations,PigaultLebrun_Kinglin,3,undirected
Charriere_Observations,Retif_Vie,2,undirected
Charriere_Observations,Voltaire_Candide,1,undirected
Charriere_Ruines,Charriere_Femmes,3,undirected
Charriere_Ruines,Charriere_Sainte,4,undirected
Charriere_Ruines,Sade_Aline,1,undirected
Charriere_Sainte,Beaumont_Belle,2,undirected
Charriere_Sainte,Charriere_Caliste,1,undirected
Charriere_Sainte,Charriere_Femmes,5,undirected
Charriere_Sainte,Charriere_Noble,2,undirected
Charriere_Sainte,Charriere_Ruines,4,undirected
Crebillon_Atheniennes,Crebillon_Conte,6,undirected
Crebillon_Atheniennes,Crebillon_Nuit,4,undirected
Crebillon_Atheniennes,Rousseau_Julie,1,undirected
Crebillon_Conte,Crebillon_Atheniennes,6,undirected
Crebillon_Conte,Crebillon_Nuit,5,undirected
Crebillon_Conte,Nerciat_Felicia,1,undirected
Crebillon_Nuit,Crebillon_Atheniennes,4,undirected
Crebillon_Nuit,Crebillon_Conte,5,undirected
Crebillon_Nuit,Marmontel_Contes,1,undirected
Diderot_Ceci,Diderot_Jacques,3,undirected
Diderot_Ceci,Diderot_Neveu,1,undirected
Diderot_Ceci,Diderot_Religieuse,2,undirected
Diderot_Jacques,Diderot_Ceci,3,undirected
Diderot_Jacques,Diderot_Neveu,6,undirected
Diderot_Jacques,Diderot_Oiseau,3,undirected
Diderot_Jacques,Diderot_Religieuse,5,undirected
Diderot_Jacques,Duvernet_Devotions,2,undirected
Diderot_Jacques,Duvernet_Guillaume,1,undirected
Diderot_Jacques,PigaultLebrun_Enfant,1,undirected
Diderot_Neveu,Charriere_Femmes,2,undirected
Diderot_Neveu,Diderot_Ceci,1,undirected
Diderot_Neveu,Diderot_Jacques,6,undirected
Diderot_Neveu,Diderot_Pensees,3,undirected
Diderot_Neveu,Diderot_Religieuse,1,undirected
Diderot_Neveu,Duvernet_Guillaume,2,undirected
Diderot_Neveu,Nerciat_Aphrodites,1,undirected
Diderot_Neveu,Voltaire_Micromegas,1,undirected
Diderot_Neveu,Voltaire_Oreilles,1,undirected
Diderot_Oiseau,Beaumont_Belle,1,undirected
Diderot_Oiseau,Beaumont_Prince,1,undirected
Diderot_Oiseau,Charriere_Noble,1,undirected
Diderot_Oiseau,Diderot_Jacques,3,undirected
Diderot_Oiseau,Diderot_Religieuse,1,undirected
Diderot_Oiseau,PigaultLebrun_Enfant,2,undirected
Diderot_Oiseau,Rousseau_Reine,3,undirected
Diderot_Pensees,Diderot_Neveu,3,undirected
Diderot_Pensees,Rousseau_Emile,2,undirected
Diderot_Pensees,Voltaire_Bramin,2,undirected
Diderot_Pensees,Voltaire_Jenni,1,undirected
Diderot_Religieuse,Diderot_Ceci,2,undirected
Diderot_Religieuse,Diderot_Jacques,5,undirected
Diderot_Religieuse,Diderot_Neveu,1,undirected
Diderot_Religieuse,Diderot_Oiseau,1,undirected
Diderot_Religieuse,PigaultLebrun_Enfant,2,undirected
Diderot_Supplement,Mercier_An,2,undirected
Diderot_Supplement,Rousseau_Emile,1,undirected
Diderot_Supplement,Sade_Aline,3,undirected
Ducray_Cinquante,Ducray_Coelina,4,undirected
Ducray_Cinquante,Ducray_Soirees,3,undirected
Ducray_Cinquante,Ducray_Victor,2,undirected
Ducray_Coelina,Ducray_Cinquante,4,undirected
Ducray_Coelina,Ducray_Soirees,6,undirected
Ducray_Coelina,Ducray_Victor,5,undirected
Ducray_Soirees,Ducray_Cinquante,3,undirected
Ducray_Soirees,Ducray_Coelina,6,undirected
Ducray_Soirees,Ducray_Victor,4,undirected
Ducray_Soirees,Retif_Vie,1,undirected
Ducray_Victor,Ducray_Cinquante,2,undirected
Ducray_Victor,Ducray_Coelina,5,undirected
Ducray_Victor,Ducray_Soirees,4,undirected
Duvernet_Devotions,Diderot_Jacques,2,undirected
Duvernet_Devotions,Duvernet_Guillaume,4,undirected
Duvernet_Devotions,Duvernet_Retraite,6,undirected
Duvernet_Guillaume,Diderot_Jacques,1,undirected
Duvernet_Guillaume,Diderot_Neveu,2,undirected
Duvernet_Guillaume,Duvernet_Devotions,4,undirected
Duvernet_Retraite,Duvernet_Devotions,6,undirected
Duvernet_Retraite,PigaultLebrun_Enfant,2,undirected
Duvernet_Retraite,Voltaire_Ingenu,1,undirected
Florian_Estelle,Florian_Galatee,5,undirected
Florian_Estelle,Florian_Numa,6,undirected
Florian_Estelle,Mercier_Jezennemours,1,undirected
Florian_Galatee,Florian_Estelle,5,undirected
Florian_Galatee,Florian_Numa,2,undirected
Florian_Galatee,Mercier_Jezennemours,1,undirected
Florian_Numa,Florian_Estelle,6,undirected
Florian_Numa,Florian_Galatee,2,undirected
Florian_Numa,Loaisel_Comtesse,1,undirected
Florian_Numa,Marmontel_Incas,5,undirected
Florian_Numa,Mercier_Songes,1,undirected
Genlis_Adele,Genlis_Chevaliers,1,undirected
Genlis_Adele,Genlis_Emigres,4,undirected
Genlis_Adele,Genlis_Meres,6,undirected
Genlis_Adele,Sade_Aline,1,undirected
Genlis_Chevaliers,Genlis_Adele,1,undirected
Genlis_Chevaliers,Genlis_Meres,4,undirected
Genlis_Chevaliers,Mercier_Jezennemours,3,undirected
Genlis_Emigres,Charriere_Caliste,2,undirected
Genlis_Emigres,Genlis_Adele,4,undirected
Genlis_Emigres,Genlis_Meres,5,undirected
Genlis_Emigres,Retif_Paysan,1,undirected
Genlis_Emigres,Retif_Paysanne,1,undirected
Genlis_Meres,Genlis_Adele,6,undirected
Genlis_Meres,Genlis_Chevaliers,4,undirected
Genlis_Meres,Genlis_Emigres,5,undirected
Genlis_Meres,Retif_Sara,3,undirected
Loaisel_Ainsi,Loaisel_Dolbreuse,5,undirected
Loaisel_Ainsi,Mercier_Jezennemours,1,undirected
Loaisel_Ainsi,Rousseau_Julie,3,undirected
Loaisel_Ainsi,Rousseau_Reveries,1,undirected
Loaisel_Comtesse,Florian_Numa,1,undirected
Loaisel_Comtesse,Loaisel_Dolbreuse,4,undirected
Loaisel_Comtesse,Mercier_Jezennemours,2,undirected
Loaisel_Comtesse,PigaultLebrun_Metusko,1,undirected
Loaisel_Dolbreuse,Loaisel_Ainsi,5,undirected
Loaisel_Dolbreuse,Loaisel_Comtesse,4,undirected
Loaisel_Dolbreuse,Mercier_An,1,undirected
Loaisel_Dolbreuse,Mercier_Songes,3,undirected
Loaisel_Dolbreuse,PigaultLebrun_Metusko,2,undirected
Marmontel_Belisaire,Marmontel_Contes,2,undirected
Marmontel_Belisaire,Marmontel_Incas,5,undirected
Marmontel_Belisaire,Sade_Aline,1,undirected
Marmontel_Contes,Arnaud_Bal,3,undirected
Marmontel_Contes,Crebillon_Nuit,1,undirected
Marmontel_Contes,Marmontel_Belisaire,2,undirected
Marmontel_Contes,Marmontel_Dejeunes,3,undirected
Marmontel_Contes,Mercier_Jezennemours,1,undirected
Marmontel_Contes,Sade_Aline,2,undirected
Marmontel_Contes,Sade_Crimes,3,undirected
Marmontel_Dejeunes,Marmontel_Contes,3,undirected
Marmontel_Dejeunes,Mercier_Jezennemours,1,undirected
Marmontel_Dejeunes,PigaultLebrun_Enfant,2,undirected
Marmontel_Incas,Florian_Numa,5,undirected
Marmontel_Incas,Marmontel_Belisaire,5,undirected
Marmontel_Incas,Mercier_Songes,1,undirected
Marmontel_Incas,PigaultLebrun_Metusko,3,undirected
Mercier_An,Diderot_Supplement,2,undirected
Mercier_An,Loaisel_Dolbreuse,1,undirected
Mercier_An,Mercier_Jezennemours,2,undirected
Mercier_An,Mercier_Songes,6,undirected
Mercier_Jezennemours,Arnaud_Bal,1,undirected
Mercier_Jezennemours,Florian_Estelle,1,undirected
Mercier_Jezennemours,Florian_Galatee,1,undirected
Mercier_Jezennemours,Genlis_Chevaliers,3,undirected
Mercier_Jezennemours,Loaisel_Ainsi,1,undirected
Mercier_Jezennemours,Loaisel_Comtesse,2,undirected
Mercier_Jezennemours,Marmontel_Contes,1,undirected
Mercier_Jezennemours,Marmontel_Dejeunes,1,undirected
Mercier_Jezennemours,Mercier_An,2,undirected
Mercier_Jezennemours,Mercier_Songes,5,undirected
Mercier_Jezennemours,Sade_Aline,2,undirected
Mercier_Songes,Florian_Numa,1,undirected
Mercier_Songes,Loaisel_Dolbreuse,3,undirected
Mercier_Songes,Marmontel_Incas,1,undirected
Mercier_Songes,Mercier_An,6,undirected
Mercier_Songes,Mercier_Jezennemours,5,undirected
Nerciat_Aphrodites,Cazotte_Ollivier,2,undirected
Nerciat_Aphrodites,Diderot_Neveu,1,undirected
Nerciat_Aphrodites,Nerciat_Doctorat,1,undirected
Nerciat_Aphrodites,Nerciat_Felicia,3,undirected
Nerciat_Aphrodites,Nerciat_Monrose,5,undirected
Nerciat_Aphrodites,Sade_Aline,1,undirected
Nerciat_Doctorat,Nerciat_Aphrodites,1,undirected
Nerciat_Doctorat,Nerciat_Felicia,2,undirected
Nerciat_Doctorat,Nerciat_Monrose,3,undirected
Nerciat_Felicia,Charriere_Caliste,1,undirected
Nerciat_Felicia,Crebillon_Conte,1,undirected
Nerciat_Felicia,Nerciat_Aphrodites,3,undirected
Nerciat_Felicia,Nerciat_Doctorat,2,undirected
Nerciat_Felicia,Nerciat_Monrose,6,undirected
Nerciat_Felicia,PigaultLebrun_Adele,2,undirected
Nerciat_Felicia,PigaultLebrun_Enfant,5,undirected
Nerciat_Felicia,Retif_Sara,1,undirected
Nerciat_Felicia,XXX_Etourdi,3,undirected
Nerciat_Monrose,Nerciat_Aphrodites,5,undirected
Nerciat_Monrose,Nerciat_Doctorat,3,undirected
Nerciat_Monrose,Nerciat_Felicia,6,undirected
Nerciat_Monrose,PigaultLebrun_Enfant,3,undirected
Nerciat_Monrose,XXX_Etourdi,1,undirected
PigaultLebrun_Adele,Nerciat_Felicia,2,undirected
PigaultLebrun_Adele,PigaultLebrun_Enfant,3,undirected
PigaultLebrun_Adele,PigaultLebrun_Kinglin,1,undirected
PigaultLebrun_Enfant,Cazotte_Diable,2,undirected
PigaultLebrun_Enfant,Cazotte_Ollivier,1,undirected
PigaultLebrun_Enfant,Diderot_Jacques,1,undirected
PigaultLebrun_Enfant,Diderot_Oiseau,2,undirected
PigaultLebrun_Enfant,Diderot_Religieuse,2,undirected
PigaultLebrun_Enfant,Duvernet_Retraite,2,undirected
PigaultLebrun_Enfant,Marmontel_Dejeunes,2,undirected
PigaultLebrun_Enfant,Nerciat_Felicia,5,undirected
