Source,Target,Weight,Type
Arnaud_Adelson,Arnaud_Anne,4,undirected
Arnaud_Adelson,Arnaud_Epoux,76,undirected
Arnaud_Adelson,Arnaud_Fanny,17,undirected
Arnaud_Adelson,Arnaud_Lucie,6,undirected
Arnaud_Adelson,Arnaud_Matinees,21,undirected
Arnaud_Adelson,Arnaud_Nancy,4,undirected
Arnaud_Adelson,Arnaud_Sargines,6,undirected
Arnaud_Adelson,Arnaud_Selicourt,42,undirected
Arnaud_Adelson,Arnaud_Zenothemis,4,undirected
Arnaud_Anne,Arnaud_Adelson,4,undirected
Arnaud_Anne,Arnaud_Clary,18,undirected
Arnaud_Anne,Arnaud_Epoux,64,undirected
Arnaud_Anne,Arnaud_Fanny,105,undirected
Arnaud_Anne,Arnaud_Julie,55,undirected
Arnaud_Anne,Arnaud_Nancy,54,undirected
Arnaud_Anne,Arnaud_Sidney,63,undirected
Arnaud_Anne,Arnaud_Zenothemis,24,undirected
Arnaud_Bal,Arnaud_Epoux,63,undirected
Arnaud_Bal,Arnaud_Lucie,41,undirected
Arnaud_Bal,Arnaud_Selicourt,21,undirected
Arnaud_Bal,Marmontel_Contes,11,undirected
Arnaud_Batilde,Arnaud_Epoux,32,undirected
Arnaud_Batilde,Arnaud_Lucie,84,undirected
Arnaud_Batilde,Arnaud_Sargines,15,undirected
Arnaud_Batilde,Arnaud_Selicourt,31,undirected
Arnaud_Batilde,Arnaud_Zenothemis,13,undirected
Arnaud_Clary,Arnaud_Anne,18,undirected
Arnaud_Clary,Arnaud_Epoux,63,undirected
Arnaud_Clary,Arnaud_Fanny,57,undirected
Arnaud_Clary,Arnaud_Julie,66,undirected
Arnaud_Clary,Arnaud_Sidney,12,undirected
Arnaud_Epoux,Arnaud_Adelson,76,undirected
Arnaud_Epoux,Arnaud_Anne,64,undirected
Arnaud_Epoux,Arnaud_Bal,63,undirected
Arnaud_Epoux,Arnaud_Batilde,32,undirected
Arnaud_Epoux,Arnaud_Clary,63,undirected
Arnaud_Epoux,Arnaud_Fanny,15,undirected
Arnaud_Epoux,Arnaud_Julie,1,undirected
Arnaud_Epoux,Arnaud_Lucie,98,undirected
Arnaud_Epoux,Arnaud_Matinees,110,undirected
Arnaud_Epoux,Arnaud_Nancy,19,undirected
Arnaud_Epoux,Arnaud_Selicourt,67,undirected
Arnaud_Epoux,Arnaud_Sidney,63,undirected
Arnaud_Epoux,Arnaud_Zenothemis,47,undirected
Arnaud_Fanny,Arnaud_Adelson,17,undirected
Arnaud_Fanny,Arnaud_Anne,105,undirected
Arnaud_Fanny,Arnaud_Clary,57,undirected
Arnaud_Fanny,Arnaud_Epoux,15,undirected
Arnaud_Julie,Arnaud_Anne,55,undirected
Arnaud_Julie,Arnaud_Clary,66,undirected
Arnaud_Julie,Arnaud_Epoux,1,undirected
Arnaud_Julie,Arnaud_Nancy,13,undirected
Arnaud_Julie,Arnaud_Sidney,2,undirected
Arnaud_Julie,Arnaud_Zenothemis,5,undirected
Arnaud_Lucie,Arnaud_Adelson,6,undirected
Arnaud_Lucie,Arnaud_Bal,41,undirected
Arnaud_Lucie,Arnaud_Batilde,84,undirected
Arnaud_Lucie,Arnaud_Epoux,98,undirected
Arnaud_Lucie,Arnaud_Matinees,11,undirected
Arnaud_Lucie,Arnaud_Selicourt,110,undirected
Arnaud_Matinees,Arnaud_Adelson,21,undirected
Arnaud_Matinees,Arnaud_Epoux,110,undirected
Arnaud_Matinees,Arnaud_Lucie,11,undirected
Arnaud_Matinees,Arnaud_Nancy,49,undirected
Arnaud_Matinees,Arnaud_Sargines,42,undirected
Arnaud_Matinees,Arnaud_Selicourt,63,undirected
Arnaud_Matinees,Arnaud_Sidney,1,undirected
Arnaud_Matinees,Arnaud_Zenothemis,11,undirected
Arnaud_Matinees,Cazotte_Honneur,5,undirected
Arnaud_Nancy,Arnaud_Adelson,4,undirected
Arnaud_Nancy,Arnaud_Anne,54,undirected
Arnaud_Nancy,Arnaud_Epoux,19,undirected
Arnaud_Nancy,Arnaud_Julie,13,undirected
Arnaud_Nancy,Arnaud_Matinees,49,undirected
Arnaud_Sargines,Arnaud_Adelson,6,undirected
Arnaud_Sargines,Arnaud_Batilde,15,undirected
Arnaud_Sargines,Arnaud_Matinees,42,undirected
Arnaud_Sargines,Arnaud_Zenothemis,63,undirected
Arnaud_Sargines,Cazotte_Honneur,15,undirected
Arnaud_Selicourt,Arnaud_Adelson,42,undirected
Arnaud_Selicourt,Arnaud_Bal,21,undirected
Arnaud_Selicourt,Arnaud_Batilde,31,undirected
Arnaud_Selicourt,Arnaud_Epoux,67,undirected
Arnaud_Selicourt,Arnaud_Lucie,110,undirected
Arnaud_Selicourt,Arnaud_Matinees,63,undirected
Arnaud_Sidney,Arnaud_Anne,63,undirected
Arnaud_Sidney,Arnaud_Clary,12,undirected
Arnaud_Sidney,Arnaud_Epoux,63,undirected
Arnaud_Sidney,Arnaud_Julie,2,undirected
Arnaud_Sidney,Arnaud_Matinees,1,undirected
Arnaud_Sidney,Arnaud_Zenothemis,38,undirected
Arnaud_Zenothemis,Arnaud_Adelson,4,undirected
Arnaud_Zenothemis,Arnaud_Anne,24,undirected
Arnaud_Zenothemis,Arnaud_Batilde,13,undirected
Arnaud_Zenothemis,Arnaud_Epoux,47,undirected
Arnaud_Zenothemis,Arnaud_Julie,5,undirected
Arnaud_Zenothemis,Arnaud_Matinees,11,undirected
Arnaud_Zenothemis,Arnaud_Sargines,63,undirected
Arnaud_Zenothemis,Arnaud_Sidney,38,undirected
Beaumont_Belle,Beaumont_Prince,126,undirected
Beaumont_Belle,Charriere_Caliste,15,undirected
Beaumont_Belle,Charriere_Noble,1,undirected
Beaumont_Belle,Charriere_Sainte,9,undirected
Beaumont_Belle,Voltaire_Candide,39,undirected
Beaumont_Clarice,Genlis_Emigres,42,undirected
Beaumont_Clarice,Neufville_Confessions,104,undirected
Beaumont_Clarice,Retif_Vie,32,undirected
Beaumont_Clarice,Sade_Infortunes,3,undirected
Beaumont_Prince,Beaumont_Belle,126,undirected
Beaumont_Prince,Diderot_Oiseau,9,undirected
Beaumont_Prince,Voltaire_Candide,28,undirected
Beaumont_Prince,Voltaire_Ingenu,1,undirected
Beaumont_Prince,Voltaire_Jenni,1,undirected
Beaumont_Prince,Voltaire_Taureau,24,undirected
Cazotte_Diable,Cazotte_Honneur,84,undirected
Cazotte_Diable,Cazotte_Ollivier,115,undirected
Cazotte_Diable,PigaultLebrun_Enfant,21,undirected
Cazotte_Honneur,Arnaud_Matinees,5,undirected
Cazotte_Honneur,Arnaud_Sargines,15,undirected
Cazotte_Honneur,Cazotte_Diable,84,undirected
Cazotte_Honneur,Cazotte_Ollivier,116,undirected
Cazotte_Honneur,PigaultLebrun_Metusko,1,undirected
Cazotte_Ollivier,Cazotte_Diable,115,undirected
Cazotte_Ollivier,Cazotte_Honneur,116,undirected
Cazotte_Ollivier,Loaisel_Comtesse,6,undirected
Cazotte_Ollivier,Marmontel_Incas,15,undirected
Charriere_Caliste,Beaumont_Belle,15,undirected
Charriere_Caliste,Charriere_Femmes,10,undirected
Charriere_Caliste,Charriere_Lausanne,85,undirected
Charriere_Caliste,Charriere_Neuchateloises,104,undirected
Charriere_Caliste,Charriere_Noble,12,undirected
Charriere_Caliste,Charriere_Ruines,35,undirected
Charriere_Caliste,Charriere_Sainte,8,undirected
Charriere_Caliste,Diderot_Religieuse,1,undirected
Charriere_Caliste,Retif_Sara,58,undirected
Charriere_Femmes,Charriere_Caliste,10,undirected
Charriere_Femmes,Charriere_Lausanne,84,undirected
Charriere_Femmes,Charriere_Neuchateloises,11,undirected
Charriere_Femmes,Charriere_Observations,1,undirected
Charriere_Femmes,Charriere_Ruines,28,undirected
Charriere_Femmes,Charriere_Sainte,96,undirected
Charriere_Lausanne,Charriere_Caliste,85,undirected
Charriere_Lausanne,Charriere_Femmes,84,undirected
Charriere_Lausanne,Charriere_Neuchateloises,126,undirected
Charriere_Lausanne,Charriere_Sainte,37,undirected
Charriere_Neuchateloises,Charriere_Caliste,104,undirected
Charriere_Neuchateloises,Charriere_Femmes,11,undirected
Charriere_Neuchateloises,Charriere_Lausanne,126,undirected
Charriere_Neuchateloises,Genlis_Emigres,31,undirected
Charriere_Neuchateloises,Retif_Paysan,40,undirected
Charriere_Neuchateloises,Retif_Paysanne,53,undirected
Charriere_Noble,Beaumont_Belle,1,undirected
Charriere_Noble,Charriere_Caliste,12,undirected
Charriere_Noble,Charriere_Sainte,63,undirected
Charriere_Noble,Crebillon_Conte,6,undirected
Charriere_Noble,Neufville_Almanach_text_only,40,undirected
Charriere_Noble,Riccoboni_Histoire,4,undirected
Charriere_Observations,Charriere_Femmes,1,undirected
Charriere_Observations,Duvernet_Guillaume,1,undirected
Charriere_Observations,Retif_Vie,14,undirected
Charriere_Observations,Rousseau_Emile,39,undirected
Charriere_Observations,Voltaire_Eloge,12,undirected
Charriere_Observations,Voltaire_Homme,59,undirected
Charriere_Ruines,Charriere_Caliste,35,undirected
Charriere_Ruines,Charriere_Femmes,28,undirected
Charriere_Ruines,Charriere_Sainte,90,undirected
Charriere_Ruines,Neufville_Almanach_text_only,1,undirected
Charriere_Sainte,Beaumont_Belle,9,undirected
Charriere_Sainte,Charriere_Caliste,8,undirected
Charriere_Sainte,Charriere_Femmes,96,undirected
Charriere_Sainte,Charriere_Lausanne,37,undirected
Charriere_Sainte,Charriere_Noble,63,undirected
Charriere_Sainte,Charriere_Ruines,90,undirected
Crebillon_Atheniennes,Crebillon_Conte,105,undirected
Crebillon_Atheniennes,Crebillon_Nuit,126,undirected
Crebillon_Atheniennes,Riccoboni_LettresFanni,20,undirected
Crebillon_Atheniennes,Riccoboni_MylordRivers,1,undirected
Crebillon_Conte,Charriere_Noble,6,undirected
Crebillon_Conte,Crebillon_Atheniennes,105,undirected
Crebillon_Conte,Crebillon_Nuit,84,undirected
Crebillon_Conte,Diderot_Oiseau,17,undirected
Crebillon_Conte,Riccoboni_Histoire,21,undirected
Crebillon_Conte,Rousseau_Reine,62,undirected
Crebillon_Nuit,Crebillon_Atheniennes,126,undirected
Crebillon_Nuit,Crebillon_Conte,84,undirected
Crebillon_Nuit,Riccoboni_LettresFanni,21,undirected
Diderot_Ceci,Diderot_Jacques,63,undirected
Diderot_Ceci,Diderot_Neveu,21,undirected
Diderot_Ceci,Diderot_Religieuse,44,undirected
Diderot_Jacques,Diderot_Ceci,63,undirected
Diderot_Jacques,Diderot_Neveu,126,undirected
Diderot_Jacques,Diderot_Oiseau,65,undirected
Diderot_Jacques,Diderot_Religieuse,61,undirected
Diderot_Jacques,Duvernet_Devotions,6,undirected
Diderot_Jacques,PigaultLebrun_Kinglin,8,undirected
Diderot_Jacques,Voltaire_Candide,42,undirected
Diderot_Neveu,Diderot_Ceci,21,undirected
Diderot_Neveu,Diderot_Jacques,126,undirected
Diderot_Neveu,Diderot_Oiseau,13,undirected
Diderot_Neveu,Diderot_Pensees,11,undirected
Diderot_Neveu,Diderot_Religieuse,14,undirected
Diderot_Neveu,Diderot_Supplement,21,undirected
Diderot_Neveu,Duvernet_Devotions,10,undirected
Diderot_Neveu,Duvernet_Guillaume,41,undirected
Diderot_Neveu,Nerciat_Aphrodites,28,undirected
Diderot_Neveu,Rousseau_Emile,35,undirected
Diderot_Oiseau,Beaumont_Prince,9,undirected
Diderot_Oiseau,Crebillon_Conte,17,undirected
Diderot_Oiseau,Diderot_Jacques,65,undirected
Diderot_Oiseau,Diderot_Neveu,13,undirected
Diderot_Oiseau,Diderot_Religieuse,37,undirected
Diderot_Oiseau,Rousseau_Reine,41,undirected
Diderot_Pensees,Diderot_Neveu,11,undirected
Diderot_Pensees,Diderot_Supplement,7,undirected
Diderot_Pensees,Mercier_An,11,undirected
Diderot_Pensees,Rousseau_Emile,63,undirected
Diderot_Pensees,Sade_Philosophie,34,undirected
Diderot_Pensees,Voltaire_Bramin,1,undirected
Diderot_Religieuse,Charriere_Caliste,1,undirected
Diderot_Religieuse,Diderot_Ceci,44,undirected
Diderot_Religieuse,Diderot_Jacques,61,undirected
Diderot_Religieuse,Diderot_Neveu,14,undirected
Diderot_Religieuse,Diderot_Oiseau,37,undirected
Diderot_Religieuse,Marmontel_Dejeunes,40,undirected
Diderot_Religieuse,PigaultLebrun_Enfant,112,undirected
Diderot_Supplement,Diderot_Neveu,21,undirected
Diderot_Supplement,Diderot_Pensees,7,undirected
Diderot_Supplement,Mercier_An,3,undirected
Diderot_Supplement,Rousseau_Emile,63,undirected
Diderot_Supplement,Sade_Philosophie,39,undirected
Ducray_Cinquante,Ducray_Coelina,61,undirected
Ducray_Cinquante,Ducray_Soirees,102,undirected
Ducray_Cinquante,Ducray_Victor,46,undirected
Ducray_Coelina,Ducray_Cinquante,61,undirected
Ducray_Coelina,Ducray_Soirees,66,undirected
Ducray_Coelina,Ducray_Victor,111,undirected
Ducray_Soirees,Ducray_Cinquante,102,undirected
Ducray_Soirees,Ducray_Coelina,66,undirected
Ducray_Soirees,Ducray_Victor,118,undirected
Ducray_Victor,Ducray_Cinquante,46,undirected
Ducray_Victor,Ducray_Coelina,111,undirected
Ducray_Victor,Ducray_Soirees,118,undirected
Duvernet_Devotions,Diderot_Jacques,6,undirected
Duvernet_Devotions,Diderot_Neveu,10,undirected
Duvernet_Devotions,Duvernet_Guillaume,105,undirected
Duvernet_Devotions,Duvernet_Retraite,126,undirected
Duvernet_Devotions,Voltaire_Oreilles,5,undirected
Duvernet_Guillaume,Charriere_Observations,1,undirected
Duvernet_Guillaume,Diderot_Neveu,41,undirected
Duvernet_Guillaume,Duvernet_Devotions,105,undirected
Duvernet_Guillaume,Duvernet_Retraite,42,undirected
Duvernet_Guillaume,Voltaire_Candide,2,undirected
Duvernet_Guillaume,Voltaire_Homme,20,undirected
Duvernet_Retraite,Duvernet_Devotions,126,undirected
Duvernet_Retraite,Duvernet_Guillaume,42,undirected
Duvernet_Retraite,Sade_120,5,undirected
Duvernet_Retraite,Voltaire_Taureau,16,undirected
Florian_Estelle,Florian_Galatee,111,undirected
Florian_Estelle,Florian_Numa,117,undirected
Florian_Estelle,Loaisel_Comtesse,21,undirected
Florian_Galatee,Florian_Estelle,111,undirected
Florian_Galatee,Florian_Numa,63,undirected
Florian_Galatee,Loaisel_Comtesse,21,undirected
Florian_Numa,Florian_Estelle,117,undirected
Florian_Numa,Florian_Galatee,63,undirected
Florian_Numa,Loaisel_Comtesse,17,undirected
Florian_Numa,Marmontel_Incas,108,undirected
Florian_Numa,PigaultLebrun_Metusko,43,undirected
Genlis_Adele,Genlis_Chevaliers,42,undirected
Genlis_Adele,Genlis_Emigres,103,undirected
Genlis_Adele,Genlis_Meres,123,undirected
Genlis_Chevaliers,Genlis_Adele,42,undirected
Genlis_Chevaliers,Genlis_Meres,84,undirected
Genlis_Chevaliers,Riccoboni_MissJenny,42,undirected
Genlis_Emigres,Beaumont_Clarice,42,undirected
Genlis_Emigres,Charriere_Neuchateloises,31,undirected
Genlis_Emigres,Genlis_Adele,103,undirected
Genlis_Emigres,Genlis_Meres,89,undirected
Genlis_Emigres,Retif_Paysanne,4,undirected
Genlis_Meres,Genlis_Adele,123,undirected
Genlis_Meres,Genlis_Chevaliers,84,undirected
Genlis_Meres,Genlis_Emigres,89,undirected
Loaisel_Ainsi,Loaisel_Comtesse,15,undirected
Loaisel_Ainsi,Loaisel_Dolbreuse,126,undirected
Loaisel_Ainsi,Rousseau_Julie,32,undirected
Loaisel_Ainsi,Rousseau_Reveries,58,undirected
Loaisel_Comtesse,Cazotte_Ollivier,6,undirected
Loaisel_Comtesse,Florian_Estelle,21,undirected
Loaisel_Comtesse,Florian_Galatee,21,undirected
Loaisel_Comtesse,Florian_Numa,17,undirected
Loaisel_Comtesse,Loaisel_Ainsi,15,undirected
Loaisel_Comtesse,Loaisel_Dolbreuse,105,undirected
Loaisel_Comtesse,Marmontel_Incas,41,undirected
Loaisel_Comtesse,Mercier_Jezennemours,33,undirected
Loaisel_Comtesse,Mercier_Songes,5,undirected
Loaisel_Comtesse,PigaultLebrun_Metusko,30,undirected
Loaisel_Dolbreuse,Loaisel_Ainsi,126,undirected
Loaisel_Dolbreuse,Loaisel_Comtesse,105,undirected
Loaisel_Dolbreuse,Mercier_An,42,undirected
Loaisel_Dolbreuse,Mercier_Jezennemours,25,undirected
Loaisel_Dolbreuse,Mercier_Songes,63,undirected
Marmontel_Belisaire,Marmontel_Contes,63,undirected
Marmontel_Belisaire,Marmontel_Incas,105,undirected
Marmontel_Belisaire,Mercier_An,63,undirected
Marmontel_Belisaire,Mercier_Songes,21,undirected
Marmontel_Contes,Arnaud_Bal,11,undirected
Marmontel_Contes,Marmontel_Belisaire,63,undirected
Marmontel_Contes,Marmontel_Dejeunes,105,undirected
Marmontel_Contes,Marmontel_Incas,11,undirected
Marmontel_Dejeunes,Diderot_Religieuse,40,undirected
Marmontel_Dejeunes,Marmontel_Contes,105,undirected
Marmontel_Dejeunes,Marmontel_Incas,14,undirected
Marmontel_Dejeunes,Neufville_Confessions,2,undirected
Marmontel_Dejeunes,Retif_Sara,7,undirected
Marmontel_Incas,Cazotte_Ollivier,15,undirected
Marmontel_Incas,Florian_Numa,108,undirected
Marmontel_Incas,Loaisel_Comtesse,41,undirected
Marmontel_Incas,Marmontel_Belisaire,105,undirected
Marmontel_Incas,Marmontel_Contes,11,undirected
Marmontel_Incas,Marmontel_Dejeunes,14,undirected
Marmontel_Incas,Mercier_Songes,33,undirected
Marmontel_Incas,PigaultLebrun_Metusko,53,undirected
Mercier_An,Diderot_Pensees,11,undirected
Mercier_An,Diderot_Supplement,3,undirected
Mercier_An,Loaisel_Dolbreuse,42,undirected
Mercier_An,Marmontel_Belisaire,63,undirected
Mercier_An,Mercier_Jezennemours,5,undirected
Mercier_An,Mercier_Songes,126,undirected
Mercier_An,Voltaire_Eloge,3,undirected
Mercier_Jezennemours,Loaisel_Comtesse,33,undirected
Mercier_Jezennemours,Loaisel_Dolbreuse,25,undirected
Mercier_Jezennemours,Mercier_An,5,undirected
Mercier_Jezennemours,Mercier_Songes,72,undirected
Mercier_Songes,Loaisel_Comtesse,5,undirected
Mercier_Songes,Loaisel_Dolbreuse,63,undirected
Mercier_Songes,Marmontel_Belisaire,21,undirected
Mercier_Songes,Marmontel_Incas,33,undirected
Mercier_Songes,Mercier_An,126,undirected
Mercier_Songes,Mercier_Jezennemours,72,undirected
Nerciat_Aphrodites,Diderot_Neveu,28,undirected
Nerciat_Aphrodites,Nerciat_Doctorat,61,undirected
Nerciat_Aphrodites,Nerciat_Felicia,50,undirected
Nerciat_Aphrodites,Nerciat_Monrose,105,undirected
Nerciat_Doctorat,Nerciat_Aphrodites,61,undirected
Nerciat_Doctorat,Nerciat_Felicia,78,undirected
Nerciat_Doctorat,Nerciat_Monrose,84,undirected
Nerciat_Felicia,Nerciat_Aphrodites,50,undirected
Nerciat_Felicia,Nerciat_Doctorat,78,undirected
Nerciat_Felicia,Nerciat_Monrose,126,undirected
Nerciat_Felicia,Neufville_Almanach_text_only,12,undirected
Nerciat_Felicia,Neufville_Confessions,1,undirected
Nerciat_Felicia,PigaultLebrun_Adele,9,undirected
Nerciat_Felicia,Rousseau_Reine,1,undirected
Nerciat_Felicia,XXX_Etourdi,63,undirected
Nerciat_Monrose,Nerciat_Aphrodites,105,undirected
Nerciat_Monrose,Nerciat_Doctorat,84,undirected
Nerciat_Monrose,Nerciat_Felicia,126,undirected
Nerciat_Monrose,Neufville_Almanach_text_only,2,undirected
Nerciat_Monrose,XXX_Etourdi,4,undirected
Neufville_Almanach_text_only,Charriere_Noble,40,undirected
Neufville_Almanach_text_only,Charriere_Ruines,1,undirected
Neufville_Almanach_text_only,Nerciat_Felicia,12,undirected
Neufville_Almanach_text_only,Nerciat_Monrose,2,undirected
Neufville_Almanach_text_only,Neufville_Confessions,99,undirected
Neufville_Almanach_text_only,PigaultLebrun_Kinglin,44,undirected
Neufville_Almanach_text_only,Rousseau_Reine,12,undirected
Neufville_Almanach_text_only,Sade_120,6,undirected
Neufville_Confessions,Beaumont_Clarice,104,undirected
Neufville_Confessions,Marmontel_Dejeunes,2,undirected
Neufville_Confessions,Nerciat_Felicia,1,undirected
Neufville_Confessions,Neufville_Almanach_text_only,99,undirected
Neufville_Confessions,Retif_Sara,79,undirected
Neufville_Confessions,XXX_Etourdi,42,undirected
PigaultLebrun_Adele,Nerciat_Felicia,9,undirected
PigaultLebrun_Adele,PigaultLebrun_Enfant,41,undirected
PigaultLebrun_Adele,PigaultLebrun_Kinglin,105,undirected
PigaultLebrun_Adele,PigaultLebrun_Metusko,13,undirected
PigaultLebrun_Enfant,Cazotte_Diable,21,undirected
PigaultLebrun_Enfant,Diderot_Religieuse,112,undirected
PigaultLebrun_Enfant,PigaultLebrun_Adele,41,undirected
PigaultLebrun_Enfant,PigaultLebrun_Kinglin,119,undirected
PigaultLebrun_Enfant,Retif_AntiJustine,41,undirected
PigaultLebrun_Enfant,Retif_Sara,2,undirected
PigaultLebrun_Kinglin,Diderot_Jacques,8,undirected
PigaultLebrun_Kinglin,Neufville_Almanach_text_only,44,undirected
PigaultLebrun_Kinglin,PigaultLebrun_Adele,105,undirected
PigaultLebrun_Kinglin,PigaultLebrun_Enfant,119,undirected
PigaultLebrun_Kinglin,Rousseau_Reine,10,undirected
PigaultLebrun_Kinglin,Voltaire_Candide,6,undirected
PigaultLebrun_Kinglin,Voltaire_Homme,5,undirected
PigaultLebrun_Metusko,Cazotte_Honneur,1,undirected
PigaultLebrun_Metusko,Florian_Numa,43,undirected
PigaultLebrun_Metusko,Loaisel_Comtesse,30,undirected
PigaultLebrun_Metusko,Marmontel_Incas,53,undirected
PigaultLebrun_Metusko,PigaultLebrun_Adele,13,undirected
Retif_AntiJustine,PigaultLebrun_Enfant,41,undirected
Retif_AntiJustine,Retif_Sara,99,undirected
Retif_AntiJustine,Sade_120,124,undirected
Retif_AntiJustine,Voltaire_Consoles,3,undirected
Retif_Paysan,Charriere_Neuchateloises,40,undirected
Retif_Paysan,Retif_Paysanne,126,undirected
Retif_Paysan,Retif_Vie,65,undirected
Retif_Paysanne,Charriere_Neuchateloises,53,undirected
Retif_Paysanne,Genlis_Emigres,4,undirected
Retif_Paysanne,Retif_Paysan,126,undirected
Retif_Paysanne,Retif_Vie,80,undirected
Retif_Sara,Charriere_Caliste,58,undirected
Retif_Sara,Marmontel_Dejeunes,7,undirected
Retif_Sara,Neufville_Confessions,79,undirected
Retif_Sara,PigaultLebrun_Enfant,2,undirected
Retif_Sara,Retif_AntiJustine,99,undirected
Retif_Sara,XXX_Etourdi,17,undirected
Retif_Vie,Beaumont_Clarice,32,undirected
Retif_Vie,Charriere_Observations,14,undirected
Retif_Vie,Retif_Paysan,65,undirected
