Source,Target,Weight,Type
Arnaud_Adelson,Arnaud_Anne,5,undirected
Arnaud_Adelson,Arnaud_Batilde,12,undirected
Arnaud_Adelson,Arnaud_Epoux,53,undirected
Arnaud_Adelson,Arnaud_Fanny,21,undirected
Arnaud_Adelson,Arnaud_Lucie,21,undirected
Arnaud_Adelson,Arnaud_Matinees,50,undirected
Arnaud_Adelson,Arnaud_Nancy,10,undirected
Arnaud_Adelson,Arnaud_Sargines,11,undirected
Arnaud_Adelson,Arnaud_Selicourt,29,undirected
Arnaud_Adelson,Arnaud_Zenothemis,6,undirected
Arnaud_Adelson,Mercier_Jezennemours,2,undirected
Arnaud_Anne,Arnaud_Adelson,5,undirected
Arnaud_Anne,Arnaud_Clary,13,undirected
Arnaud_Anne,Arnaud_Epoux,49,undirected
Arnaud_Anne,Arnaud_Fanny,93,undirected
Arnaud_Anne,Arnaud_Julie,56,undirected
Arnaud_Anne,Arnaud_Lucie,29,undirected
Arnaud_Anne,Arnaud_Nancy,70,undirected
Arnaud_Anne,Arnaud_Sargines,20,undirected
Arnaud_Anne,Arnaud_Sidney,47,undirected
Arnaud_Anne,Arnaud_Zenothemis,29,undirected
Arnaud_Bal,Arnaud_Batilde,2,undirected
Arnaud_Bal,Arnaud_Epoux,57,undirected
Arnaud_Bal,Arnaud_Fanny,8,undirected
Arnaud_Bal,Arnaud_Lucie,16,undirected
Arnaud_Bal,Arnaud_Matinees,11,undirected
Arnaud_Bal,Arnaud_Nancy,1,undirected
Arnaud_Bal,Arnaud_Selicourt,25,undirected
Arnaud_Batilde,Arnaud_Adelson,12,undirected
Arnaud_Batilde,Arnaud_Bal,2,undirected
Arnaud_Batilde,Arnaud_Clary,2,undirected
Arnaud_Batilde,Arnaud_Epoux,56,undirected
Arnaud_Batilde,Arnaud_Fanny,4,undirected
Arnaud_Batilde,Arnaud_Lucie,66,undirected
Arnaud_Batilde,Arnaud_Sargines,1,undirected
Arnaud_Batilde,Arnaud_Selicourt,28,undirected
Arnaud_Batilde,Arnaud_Zenothemis,5,undirected
Arnaud_Clary,Arnaud_Anne,13,undirected
Arnaud_Clary,Arnaud_Batilde,2,undirected
Arnaud_Clary,Arnaud_Epoux,66,undirected
Arnaud_Clary,Arnaud_Fanny,41,undirected
Arnaud_Clary,Arnaud_Julie,47,undirected
Arnaud_Clary,Arnaud_Sidney,32,undirected
Arnaud_Epoux,Arnaud_Adelson,53,undirected
Arnaud_Epoux,Arnaud_Anne,49,undirected
Arnaud_Epoux,Arnaud_Bal,57,undirected
Arnaud_Epoux,Arnaud_Batilde,56,undirected
Arnaud_Epoux,Arnaud_Clary,66,undirected
Arnaud_Epoux,Arnaud_Lucie,108,undirected
Arnaud_Epoux,Arnaud_Matinees,98,undirected
Arnaud_Epoux,Arnaud_Selicourt,35,undirected
Arnaud_Epoux,Arnaud_Sidney,56,undirected
Arnaud_Epoux,Riccoboni_LettreJuliette,2,undirected
Arnaud_Epoux,Riccoboni_LettresFanni,5,undirected
Arnaud_Fanny,Arnaud_Adelson,21,undirected
Arnaud_Fanny,Arnaud_Anne,93,undirected
Arnaud_Fanny,Arnaud_Bal,8,undirected
Arnaud_Fanny,Arnaud_Batilde,4,undirected
Arnaud_Fanny,Arnaud_Clary,41,undirected
Arnaud_Fanny,Arnaud_Nancy,28,undirected
Arnaud_Fanny,Arnaud_Sargines,6,undirected
Arnaud_Fanny,Arnaud_Sidney,2,undirected
Arnaud_Fanny,Arnaud_Zenothemis,10,undirected
Arnaud_Julie,Arnaud_Anne,56,undirected
Arnaud_Julie,Arnaud_Clary,47,undirected
Arnaud_Julie,Arnaud_Nancy,4,undirected
Arnaud_Julie,Arnaud_Sidney,10,undirected
Arnaud_Julie,Arnaud_Zenothemis,8,undirected
Arnaud_Lucie,Arnaud_Adelson,21,undirected
Arnaud_Lucie,Arnaud_Anne,29,undirected
Arnaud_Lucie,Arnaud_Bal,16,undirected
Arnaud_Lucie,Arnaud_Batilde,66,undirected
Arnaud_Lucie,Arnaud_Epoux,108,undirected
Arnaud_Lucie,Arnaud_Nancy,2,undirected
Arnaud_Lucie,Arnaud_Selicourt,49,undirected
Arnaud_Matinees,Arnaud_Adelson,50,undirected
Arnaud_Matinees,Arnaud_Bal,11,undirected
Arnaud_Matinees,Arnaud_Epoux,98,undirected
Arnaud_Matinees,Arnaud_Nancy,30,undirected
Arnaud_Matinees,Arnaud_Sargines,19,undirected
Arnaud_Matinees,Arnaud_Selicourt,75,undirected
Arnaud_Matinees,Arnaud_Zenothemis,19,undirected
Arnaud_Matinees,Cazotte_Honneur,5,undirected
Arnaud_Nancy,Arnaud_Adelson,10,undirected
Arnaud_Nancy,Arnaud_Anne,70,undirected
Arnaud_Nancy,Arnaud_Bal,1,undirected
Arnaud_Nancy,Arnaud_Fanny,28,undirected
Arnaud_Nancy,Arnaud_Julie,4,undirected
Arnaud_Nancy,Arnaud_Lucie,2,undirected
Arnaud_Nancy,Arnaud_Matinees,30,undirected
Arnaud_Nancy,Arnaud_Sargines,2,undirected
Arnaud_Nancy,Arnaud_Zenothemis,4,undirected
Arnaud_Sargines,Arnaud_Adelson,11,undirected
Arnaud_Sargines,Arnaud_Anne,20,undirected
Arnaud_Sargines,Arnaud_Batilde,1,undirected
Arnaud_Sargines,Arnaud_Fanny,6,undirected
Arnaud_Sargines,Arnaud_Matinees,19,undirected
Arnaud_Sargines,Arnaud_Nancy,2,undirected
Arnaud_Sargines,Arnaud_Zenothemis,60,undirected
Arnaud_Sargines,Cazotte_Honneur,1,undirected
Arnaud_Sargines,Loaisel_Comtesse,1,undirected
Arnaud_Sargines,PigaultLebrun_Metusko,1,undirected
Arnaud_Selicourt,Arnaud_Adelson,29,undirected
Arnaud_Selicourt,Arnaud_Bal,25,undirected
Arnaud_Selicourt,Arnaud_Batilde,28,undirected
Arnaud_Selicourt,Arnaud_Epoux,35,undirected
Arnaud_Selicourt,Arnaud_Lucie,49,undirected
Arnaud_Selicourt,Arnaud_Matinees,75,undirected
Arnaud_Sidney,Arnaud_Anne,47,undirected
Arnaud_Sidney,Arnaud_Clary,32,undirected
Arnaud_Sidney,Arnaud_Epoux,56,undirected
Arnaud_Sidney,Arnaud_Fanny,2,undirected
Arnaud_Sidney,Arnaud_Julie,10,undirected
Arnaud_Sidney,Arnaud_Zenothemis,82,undirected
Arnaud_Zenothemis,Arnaud_Adelson,6,undirected
Arnaud_Zenothemis,Arnaud_Anne,29,undirected
Arnaud_Zenothemis,Arnaud_Batilde,5,undirected
Arnaud_Zenothemis,Arnaud_Fanny,10,undirected
Arnaud_Zenothemis,Arnaud_Julie,8,undirected
Arnaud_Zenothemis,Arnaud_Matinees,19,undirected
Arnaud_Zenothemis,Arnaud_Nancy,4,undirected
Arnaud_Zenothemis,Arnaud_Sargines,60,undirected
Arnaud_Zenothemis,Arnaud_Sidney,82,undirected
Beaumont_Belle,Beaumont_Prince,119,undirected
Beaumont_Belle,Charriere_Caliste,1,undirected
Beaumont_Belle,Charriere_Noble,5,undirected
Beaumont_Belle,Charriere_Sainte,11,undirected
Beaumont_Belle,Diderot_Oiseau,5,undirected
Beaumont_Belle,Genlis_Emigres,8,undirected
Beaumont_Belle,Neufville_Almanach_text_only,4,undirected
Beaumont_Belle,Rousseau_Reine,1,undirected
Beaumont_Belle,Voltaire_Candide,28,undirected
Beaumont_Belle,Voltaire_Consoles,14,undirected
Beaumont_Clarice,Cazotte_Diable,1,undirected
Beaumont_Clarice,Charriere_Caliste,1,undirected
Beaumont_Clarice,Genlis_Emigres,37,undirected
Beaumont_Clarice,Nerciat_Monrose,1,undirected
Beaumont_Clarice,Neufville_Confessions,63,undirected
Beaumont_Clarice,Retif_Paysanne,5,undirected
Beaumont_Clarice,Retif_Vie,4,undirected
Beaumont_Clarice,Riccoboni_LettreJuliette,2,undirected
Beaumont_Clarice,Sade_Aline,8,undirected
Beaumont_Clarice,Sade_Infortunes,2,undirected
Beaumont_Prince,Beaumont_Belle,119,undirected
Beaumont_Prince,Charriere_Noble,10,undirected
Beaumont_Prince,Diderot_Oiseau,14,undirected
Beaumont_Prince,Neufville_Almanach_text_only,1,undirected
Beaumont_Prince,PigaultLebrun_Kinglin,12,undirected
Beaumont_Prince,Retif_Vie,4,undirected
Beaumont_Prince,Rousseau_Reine,11,undirected
Beaumont_Prince,Voltaire_Candide,6,undirected
Beaumont_Prince,Voltaire_Consoles,11,undirected
Beaumont_Prince,Voltaire_Princesse,3,undirected
Cazotte_Diable,Beaumont_Clarice,1,undirected
Cazotte_Diable,Cazotte_Honneur,69,undirected
Cazotte_Diable,Cazotte_Ollivier,89,undirected
Cazotte_Diable,Diderot_Religieuse,6,undirected
Cazotte_Diable,PigaultLebrun_Enfant,49,undirected
Cazotte_Diable,Retif_AntiJustine,2,undirected
Cazotte_Honneur,Arnaud_Matinees,5,undirected
Cazotte_Honneur,Arnaud_Sargines,1,undirected
Cazotte_Honneur,Cazotte_Diable,69,undirected
Cazotte_Honneur,Cazotte_Ollivier,120,undirected
Cazotte_Honneur,Nerciat_Aphrodites,12,undirected
Cazotte_Honneur,Riccoboni_Ernestine,1,undirected
Cazotte_Honneur,Riccoboni_MylordRivers,2,undirected
Cazotte_Honneur,Rousseau_Reine,2,undirected
Cazotte_Ollivier,Cazotte_Diable,89,undirected
Cazotte_Ollivier,Cazotte_Honneur,120,undirected
Cazotte_Ollivier,Florian_Numa,5,undirected
Cazotte_Ollivier,Loaisel_Comtesse,13,undirected
Cazotte_Ollivier,Marmontel_Incas,3,undirected
Cazotte_Ollivier,Nerciat_Aphrodites,1,undirected
Cazotte_Ollivier,PigaultLebrun_Metusko,2,undirected
Cazotte_Ollivier,Voltaire_Princesse,3,undirected
Cazotte_Ollivier,Voltaire_Songe,1,undirected
Charriere_Caliste,Beaumont_Belle,1,undirected
Charriere_Caliste,Beaumont_Clarice,1,undirected
Charriere_Caliste,Charriere_Femmes,2,undirected
Charriere_Caliste,Charriere_Lausanne,70,undirected
Charriere_Caliste,Charriere_Neuchateloises,92,undirected
Charriere_Caliste,Charriere_Noble,4,undirected
Charriere_Caliste,Charriere_Observations,1,undirected
Charriere_Caliste,Charriere_Ruines,10,undirected
Charriere_Caliste,Charriere_Sainte,16,undirected
Charriere_Caliste,Crebillon_Conte,1,undirected
Charriere_Caliste,Crebillon_Nuit,14,undirected
Charriere_Caliste,Diderot_Religieuse,10,undirected
Charriere_Caliste,Neufville_Confessions,5,undirected
Charriere_Caliste,Retif_Sara,57,undirected
Charriere_Caliste,Voltaire_Bramin,6,undirected
Charriere_Femmes,Charriere_Caliste,2,undirected
Charriere_Femmes,Charriere_Lausanne,91,undirected
Charriere_Femmes,Charriere_Neuchateloises,9,undirected
Charriere_Femmes,Charriere_Ruines,52,undirected
Charriere_Femmes,Charriere_Sainte,93,undirected
Charriere_Femmes,Diderot_Jacques,2,undirected
Charriere_Femmes,Diderot_Neveu,6,undirected
Charriere_Lausanne,Charriere_Caliste,70,undirected
Charriere_Lausanne,Charriere_Femmes,91,undirected
Charriere_Lausanne,Charriere_Neuchateloises,119,undirected
Charriere_Lausanne,Charriere_Ruines,7,undirected
Charriere_Lausanne,Charriere_Sainte,15,undirected
Charriere_Lausanne,Crebillon_Nuit,3,undirected
Charriere_Lausanne,Diderot_Ceci,2,undirected
Charriere_Lausanne,Diderot_Neveu,3,undirected
Charriere_Lausanne,Voltaire_Bramin,24,undirected
Charriere_Neuchateloises,Charriere_Caliste,92,undirected
Charriere_Neuchateloises,Charriere_Femmes,9,undirected
Charriere_Neuchateloises,Charriere_Lausanne,119,undirected
Charriere_Neuchateloises,Charriere_Ruines,3,undirected
Charriere_Neuchateloises,Genlis_Emigres,28,undirected
Charriere_Neuchateloises,Retif_Paysan,45,undirected
Charriere_Neuchateloises,Retif_Paysanne,48,undirected
Charriere_Neuchateloises,Voltaire_Bramin,2,undirected
Charriere_Noble,Beaumont_Belle,5,undirected
Charriere_Noble,Beaumont_Prince,10,undirected
Charriere_Noble,Charriere_Caliste,4,undirected
Charriere_Noble,Charriere_Sainte,51,undirected
Charriere_Noble,Crebillon_Conte,36,undirected
Charriere_Noble,Diderot_Oiseau,4,undirected
Charriere_Noble,Neufville_Almanach_text_only,15,undirected
Charriere_Noble,PigaultLebrun_Adele,17,undirected
Charriere_Noble,Voltaire_Consoles,2,undirected
Charriere_Observations,Charriere_Caliste,1,undirected
Charriere_Observations,Charriere_Ruines,15,undirected
Charriere_Observations,Diderot_Supplement,27,undirected
Charriere_Observations,Retif_Vie,30,undirected
