Source,Target,Weight,Type
Arnaud_Adelson,Arnaud_Anne,5,undirected
Arnaud_Adelson,Arnaud_Batilde,5,undirected
Arnaud_Adelson,Arnaud_Epoux,73,undirected
Arnaud_Adelson,Arnaud_Fanny,31,undirected
Arnaud_Adelson,Arnaud_Lucie,21,undirected
Arnaud_Adelson,Arnaud_Matinees,39,undirected
Arnaud_Adelson,Arnaud_Nancy,13,undirected
Arnaud_Adelson,Arnaud_Sargines,7,undirected
Arnaud_Adelson,Arnaud_Selicourt,39,undirected
Arnaud_Adelson,Arnaud_Zenothemis,1,undirected
Arnaud_Anne,Arnaud_Adelson,5,undirected
Arnaud_Anne,Arnaud_Clary,23,undirected
Arnaud_Anne,Arnaud_Epoux,63,undirected
Arnaud_Anne,Arnaud_Fanny,95,undirected
Arnaud_Anne,Arnaud_Julie,59,undirected
Arnaud_Anne,Arnaud_Lucie,26,undirected
Arnaud_Anne,Arnaud_Nancy,64,undirected
Arnaud_Anne,Arnaud_Sargines,17,undirected
Arnaud_Anne,Arnaud_Sidney,57,undirected
Arnaud_Anne,Arnaud_Zenothemis,23,undirected
Arnaud_Bal,Arnaud_Batilde,2,undirected
Arnaud_Bal,Arnaud_Epoux,63,undirected
Arnaud_Bal,Arnaud_Fanny,5,undirected
Arnaud_Bal,Arnaud_Lucie,25,undirected
Arnaud_Bal,Arnaud_Matinees,2,undirected
Arnaud_Bal,Arnaud_Selicourt,29,undirected
Arnaud_Batilde,Arnaud_Adelson,5,undirected
Arnaud_Batilde,Arnaud_Bal,2,undirected
Arnaud_Batilde,Arnaud_Epoux,51,undirected
Arnaud_Batilde,Arnaud_Lucie,67,undirected
Arnaud_Batilde,Arnaud_Sargines,4,undirected
Arnaud_Batilde,Arnaud_Selicourt,19,undirected
Arnaud_Batilde,Arnaud_Zenothemis,10,undirected
Arnaud_Clary,Arnaud_Anne,23,undirected
Arnaud_Clary,Arnaud_Epoux,65,undirected
Arnaud_Clary,Arnaud_Fanny,39,undirected
Arnaud_Clary,Arnaud_Julie,53,undirected
Arnaud_Clary,Arnaud_Sidney,20,undirected
Arnaud_Epoux,Arnaud_Adelson,73,undirected
Arnaud_Epoux,Arnaud_Anne,63,undirected
Arnaud_Epoux,Arnaud_Bal,63,undirected
Arnaud_Epoux,Arnaud_Batilde,51,undirected
Arnaud_Epoux,Arnaud_Clary,65,undirected
Arnaud_Epoux,Arnaud_Fanny,2,undirected
Arnaud_Epoux,Arnaud_Lucie,116,undirected
Arnaud_Epoux,Arnaud_Matinees,115,undirected
Arnaud_Epoux,Arnaud_Nancy,2,undirected
Arnaud_Epoux,Arnaud_Selicourt,44,undirected
Arnaud_Epoux,Arnaud_Sidney,66,undirected
Arnaud_Epoux,Arnaud_Zenothemis,4,undirected
Arnaud_Fanny,Arnaud_Adelson,31,undirected
Arnaud_Fanny,Arnaud_Anne,95,undirected
Arnaud_Fanny,Arnaud_Bal,5,undirected
Arnaud_Fanny,Arnaud_Clary,39,undirected
Arnaud_Fanny,Arnaud_Epoux,2,undirected
Arnaud_Fanny,Arnaud_Nancy,20,undirected
Arnaud_Fanny,Arnaud_Sargines,6,undirected
Arnaud_Fanny,Arnaud_Zenothemis,6,undirected
Arnaud_Julie,Arnaud_Anne,59,undirected
Arnaud_Julie,Arnaud_Clary,53,undirected
Arnaud_Julie,Arnaud_Nancy,6,undirected
Arnaud_Julie,Arnaud_Sidney,11,undirected
Arnaud_Julie,Arnaud_Zenothemis,4,undirected
Arnaud_Lucie,Arnaud_Adelson,21,undirected
Arnaud_Lucie,Arnaud_Anne,26,undirected
Arnaud_Lucie,Arnaud_Bal,25,undirected
Arnaud_Lucie,Arnaud_Batilde,67,undirected
Arnaud_Lucie,Arnaud_Epoux,116,undirected
Arnaud_Lucie,Arnaud_Selicourt,69,undirected
Arnaud_Matinees,Arnaud_Adelson,39,undirected
Arnaud_Matinees,Arnaud_Bal,2,undirected
Arnaud_Matinees,Arnaud_Epoux,115,undirected
Arnaud_Matinees,Arnaud_Nancy,34,undirected
Arnaud_Matinees,Arnaud_Sargines,29,undirected
Arnaud_Matinees,Arnaud_Selicourt,71,undirected
